,obs_wavelength,obs_ep,obs_ew,element
0,4001.7,2.18,9.3,FeI
1,4007.3,2.76,7.8,FeI
2,4009.7,2.22,26.8,FeI
3,4044.6,2.83,10.6,FeI
4,4062.4,2.84,17.4,FeI
5,4184.9,2.83,18.1,FeI
6,4196.2,3.4,9.4,FeI
7,4216.2,0.0,36.9,FeI
8,4219.4,3.57,24.8,FeI
9,4222.2,2.45,29.9,FeI
10,4238.8,3.4,21.5,FeI
11,4282.4,2.18,48.1,FeI
12,4422.6,2.84,12.5,FeI
13,4494.6,2.2,36.3,FeI
14,4531.2,1.48,23.3,FeI
15,4736.8,3.21,14.4,FeI
16,4919.0,2.87,39.9,FeI
17,4920.5,2.83,61.4,FeI
18,5001.9,3.88,13.8,FeI
19,5006.1,2.83,28.9,FeI
20,5012.1,0.86,33.6,FeI
21,5049.8,2.28,22.5,FeI
22,5051.6,0.91,23.9,FeI
23,5133.7,4.18,15.9,FeI
24,5171.6,1.48,42.8,FeI
25,5191.4,3.04,22.8,FeI
26,5192.3,3.0,30.2,FeI
27,5194.9,1.56,24.7,FeI
28,5216.3,1.61,21.0,FeI
29,5281.8,3.04,14.8,FeI
30,5283.6,3.24,20.6,FeI
31,5302.3,3.28,11.0,FeI
32,5324.2,3.21,34.7,FeI
33,5339.9,3.27,13.4,FeI
34,5367.5,4.42,12.3,FeI
35,5383.4,4.31,19.7,FeI
36,5393.2,3.24,12.3,FeI
37,5397.1,0.91,65.8,FeI
38,5415.2,4.39,16.6,FeI
39,5434.5,1.01,53.7,FeI
40,5497.5,1.01,19.3,FeI
41,5569.6,3.42,12.9,FeI
42,5572.8,3.4,19.9,FeI
43,5586.8,3.37,28.4,FeI
44,6191.6,2.43,18.0,FeI
45,6230.7,2.56,19.7,FeI
46,6400.0,3.6,15.8,FeI
47,6495.0,2.4,25.3,FeI
48,4416.8,2.78,12.1,FeII
49,4491.4,2.86,7.5,FeII
50,4508.3,2.86,17.0,FeII
51,4515.3,2.85,12.9,FeII
52,4520.2,2.81,11.6,FeII
53,4583.8,2.81,38.7,FeII
54,4923.9,2.89,59.2,FeII
55,5197.6,3.23,11.6,FeII
56,5234.6,3.22,14.5,FeII
57,5276.0,3.2,19.4,FeII
58,5316.6,3.16,26.5,FeII
