,element,obs_wavelength,obs_ep,obs_ew
79,FeI,4404.75,    1.560,168.0
80,FeI,4415.12,    1.610,141.8
81,FeI,4430.61,    2.220,57.4
82,FeI,4442.34,    2.200,83.5
83,FeI,4445.47,    0.090,13.0
84,FeI,4447.13,    2.200,10.0
85,FeI,4447.72,    2.220,76.0
86,FeI,4461.65,    0.090,125.8
87,FeI,4461.97,    3.600,11.3
88,FeI,4481.61,    3.690,2.5
89,FeI,4482.74,    3.650,4.6
90,FeI,4484.22,    3.600,18.0
91,FeI,4489.74,    0.120,89.5
92,FeI,4494.56,    2.200,86.0
93,FeI,4531.15,    1.480,84.0
94,FeI,4602.0,    1.610,22.4
95,FeI,4602.94,    1.480,90.0
96,FeI,4607.65,    3.260,13.4
97,FeI,4704.95,    3.680,2.2
98,FeI,4707.27,    3.240,28.3
99,FeI,4733.59,    1.480,43.4
100,FeI,4736.77,    3.210,41.5
101,FeI,4745.8,    3.650,6.5
102,FeI,4772.8,    1.560,21.4
103,FeI,4843.14,    3.390,5.4
104,FeI,4871.32,    2.870,83.0
105,FeI,4875.88,    3.330,3.0
106,FeI,4882.14,    3.410,6.6
107,FeI,4885.43,    3.880,4.7
108,FeI,4890.76,    2.880,75.0
109,FeI,4903.31,    2.880,51.7
110,FeI,4907.73,    3.430,3.2
111,FeI,4910.02,    3.390,9.8
112,FeI,4924.77,    2.280,28.5
113,FeI,4939.69,    0.860,74.5
114,FeI,4946.39,    3.370,15.7
115,FeI,4950.11,    3.410,6.3
116,FeI,4985.25,    3.930,13.4
117,FeI,4994.13,    0.910,85.3
118,FeI,5001.86,    3.880,31.6
119,FeI,5002.79,    3.400,7.0
120,FeI,5005.71,    3.880,25.7
121,FeI,5012.07,    0.860,107.5
122,FeI,5014.94,    3.940,20.8
123,FeI,5028.13,    3.570,7.1
124,FeI,5039.25,    3.370,10.3
125,FeI,5041.07,    0.960,81.5
126,FeI,5041.76,    1.480,89.2
127,FeI,5048.44,    3.960,3.2
128,FeI,5049.82,    2.280,70.3
129,FeI,5051.64,    0.910,97.7
130,FeI,5060.08,    0.000,17.8
131,FeI,5079.22,    2.200,40.8
132,FeI,5083.34,    0.960,89.7
133,FeI,5099.08,    3.980,2.4
