,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,50.1,2.2
1,4531.148,FeI,35.6,1.48
2,4592.651,FeI,22.3,1.56
3,4602.941,FeI,33.3,1.49
4,4619.287,FeI,8.0,3.6
5,4637.503,FeI,8.8,3.28
6,4647.434,FeI,14.0,2.95
7,4733.591,FeI,7.8,1.49
8,4736.773,FeI,28.6,3.21
9,4871.318,FeI,54.8,2.87
10,4872.137,FeI,43.8,2.88
11,4918.994,FeI,58.4,2.86
12,4924.77,FeI,8.6,2.28
13,4938.814,FeI,26.4,2.88
14,4985.547,FeI,14.3,2.87
15,4994.13,FeI,26.7,0.92
16,5001.862,FeI,27.7,3.88
17,5006.119,FeI,46.4,2.83
18,5022.236,FeI,12.3,3.98
19,5028.127,FeI,5.9,3.57
20,5049.819,FeI,36.1,2.28
21,5051.635,FeI,30.2,0.92
22,5068.766,FeI,21.4,2.94
23,5079.74,FeI,21.4,0.99
24,5083.339,FeI,31.5,0.96
25,5123.72,FeI,19.0,1.01
26,5150.84,FeI,17.6,0.99
27,5171.596,FeI,56.4,1.49
28,5192.344,FeI,48.5,3.0
29,5194.942,FeI,36.7,1.56
30,5198.711,FeI,11.1,2.22
31,5215.182,FeI,17.3,3.27
32,5216.274,FeI,30.5,1.61
33,5217.39,FeI,13.5,3.21
34,5232.94,FeI,67.3,2.94
35,5242.491,FeI,8.0,3.63
36,5250.646,FeI,14.3,2.2
37,5263.305,FeI,18.5,3.27
38,5307.361,FeI,7.0,1.61
39,5332.9,FeI,11.8,1.56
40,5339.93,FeI,26.5,3.27
41,5341.024,FeI,42.5,1.61
42,5397.128,FeI,72.8,0.92
43,5405.775,FeI,76.3,0.99
44,5429.696,FeI,77.2,0.96
45,5434.524,FeI,64.0,1.01
46,5497.516,FeI,28.7,1.01
47,5501.465,FeI,21.5,0.96
48,5506.779,FeI,30.2,0.99
49,5569.618,FeI,26.2,3.42
50,5576.09,FeI,14.9,3.43
51,5586.756,FeI,46.0,3.37
52,4508.289,FeII,37.0,2.86
53,4515.339,FeII,31.5,2.84
54,4522.634,FeII,50.2,2.84
55,4576.339,FeII,15.2,2.84
56,4583.837,FeII,61.5,2.81
57,5197.576,FeII,27.9,3.23
58,5234.63,FeII,30.7,3.22
59,5276.002,FeII,38.4,3.2
