,obs_wavelength,element,obs_ew,obs_ep
0,4531.148,FeI,59.1,1.48
1,4592.651,FeI,45.0,1.56
2,4602.0,FeI,13.3,1.61
3,4602.941,FeI,57.3,1.49
4,4619.287,FeI,20.8,3.6
5,4630.12,FeI,12.9,2.28
6,4637.503,FeI,23.8,3.28
7,4647.434,FeI,32.5,2.95
8,4733.591,FeI,22.8,1.49
9,4736.773,FeI,52.9,3.21
10,4872.137,FeI,71.0,2.88
11,4882.144,FeI,10.5,3.42
12,4924.77,FeI,27.3,2.28
13,4938.814,FeI,47.0,2.88
14,4994.13,FeI,47.7,0.92
15,5001.862,FeI,50.1,3.88
16,5006.119,FeI,74.2,2.83
17,5022.236,FeI,31.0,3.98
18,5028.127,FeI,18.1,3.57
19,5044.212,FeI,15.6,2.85
20,5049.819,FeI,61.9,2.28
21,5051.635,FeI,58.7,0.92
22,5068.766,FeI,44.5,2.94
23,5079.224,FeI,40.1,2.2
24,5079.74,FeI,41.5,0.99
25,5083.339,FeI,49.9,0.96
26,5123.72,FeI,42.0,1.01
27,5150.84,FeI,39.3,0.99
28,5192.344,FeI,75.4,3.0
29,5194.942,FeI,63.2,1.56
30,5198.711,FeI,29.8,2.22
31,5202.336,FeI,53.8,2.18
32,5215.182,FeI,39.2,3.27
33,5216.274,FeI,57.5,1.61
34,5217.39,FeI,32.8,3.21
35,5242.491,FeI,23.9,3.63
36,5250.646,FeI,36.1,2.2
37,5263.305,FeI,39.3,3.27
38,5307.361,FeI,20.2,1.61
39,5332.9,FeI,27.0,1.56
40,5339.93,FeI,52.3,3.27
41,5341.024,FeI,69.5,1.61
42,5497.516,FeI,57.2,1.01
43,5501.465,FeI,47.4,0.96
44,5506.779,FeI,58.3,0.99
45,5569.618,FeI,50.9,3.42
46,5576.09,FeI,36.2,3.43
47,5586.756,FeI,74.7,3.37
48,4508.289,FeII,49.2,2.86
49,4515.339,FeII,41.3,2.84
50,4522.634,FeII,59.9,2.84
51,4576.339,FeII,22.5,2.84
52,5197.576,FeII,41.3,3.23
53,5234.63,FeII,43.7,3.22
54,5276.002,FeII,52.5,3.2
55,5325.56,FeII,8.5,3.22
