,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,61.6,2.2
1,4531.148,FeI,47.5,1.48
2,4592.651,FeI,33.8,1.56
3,4602.0,FeI,5.8,1.61
4,4602.941,FeI,45.6,1.49
5,4619.287,FeI,17.9,3.6
6,4630.12,FeI,10.5,2.28
7,4637.503,FeI,11.8,3.28
8,4647.434,FeI,22.7,2.95
9,4733.591,FeI,24.9,1.49
10,4736.773,FeI,39.7,3.21
11,4871.318,FeI,68.4,2.87
12,4872.137,FeI,56.4,2.88
13,4882.144,FeI,6.2,3.42
14,4918.994,FeI,73.5,2.86
15,4924.77,FeI,14.9,2.28
16,4938.814,FeI,34.6,2.88
17,4985.547,FeI,24.4,2.87
18,4994.13,FeI,33.8,0.92
19,5001.862,FeI,38.9,3.88
20,5006.119,FeI,58.5,2.83
21,5022.236,FeI,19.0,3.98
22,5028.127,FeI,13.4,3.57
23,5044.212,FeI,6.8,2.85
24,5049.819,FeI,51.3,2.28
25,5051.635,FeI,49.2,0.92
26,5068.766,FeI,42.3,2.94
27,5079.224,FeI,28.3,2.2
28,5079.74,FeI,30.8,0.99
29,5083.339,FeI,37.9,0.96
30,5123.72,FeI,32.0,1.01
31,5150.84,FeI,30.2,0.99
32,5171.596,FeI,66.8,1.49
33,5192.344,FeI,66.2,3.0
34,5194.942,FeI,53.4,1.56
35,5198.711,FeI,22.5,2.22
36,5202.336,FeI,40.3,2.18
37,5215.182,FeI,30.8,3.27
38,5216.274,FeI,36.9,1.61
39,5217.39,FeI,22.9,3.21
40,5232.94,FeI,83.5,2.94
41,5242.491,FeI,19.1,3.63
42,5250.646,FeI,22.8,2.2
43,5263.305,FeI,25.6,3.27
44,5307.361,FeI,7.5,1.61
45,5332.9,FeI,17.5,1.56
46,5339.93,FeI,38.0,3.27
47,5341.024,FeI,60.4,1.61
48,5434.524,FeI,76.7,1.01
49,5497.516,FeI,46.2,1.01
50,5501.465,FeI,36.9,0.96
51,5506.779,FeI,52.6,0.99
52,5569.618,FeI,41.6,3.42
53,5576.09,FeI,28.3,3.43
54,5586.756,FeI,64.6,3.37
55,4508.289,FeII,35.7,2.86
56,4515.339,FeII,30.1,2.84
57,4522.634,FeII,46.7,2.84
58,4576.339,FeII,13.5,2.84
59,4583.837,FeII,60.0,2.81
60,5197.576,FeII,23.9,3.23
61,5234.63,FeII,26.9,3.22
62,5276.002,FeII,44.1,3.2
63,5325.56,FeII,5.4,3.22
64,6149.249,FeII,5.4,3.89
