,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,55.6,2.2
1,4531.148,FeI,39.3,1.48
2,4592.651,FeI,25.5,1.56
3,4602.941,FeI,37.1,1.49
4,4619.287,FeI,9.8,3.6
5,4630.12,FeI,5.8,2.28
6,4637.503,FeI,9.2,3.28
7,4647.434,FeI,15.9,2.95
8,4733.591,FeI,11.3,1.49
9,4736.773,FeI,33.4,3.21
10,4871.318,FeI,60.0,2.87
11,4872.137,FeI,49.7,2.88
12,4882.144,FeI,5.5,3.42
13,4918.994,FeI,64.9,2.86
14,4924.77,FeI,12.9,2.28
15,4938.814,FeI,33.2,2.88
16,4985.547,FeI,17.8,2.87
17,4994.13,FeI,24.8,0.92
18,5001.862,FeI,32.3,3.88
19,5006.119,FeI,51.0,2.83
20,5022.236,FeI,15.9,3.98
21,5028.127,FeI,7.9,3.57
22,5044.212,FeI,8.8,2.85
23,5049.819,FeI,43.5,2.28
24,5051.635,FeI,40.9,0.92
25,5068.766,FeI,30.4,2.94
26,5079.224,FeI,18.5,2.2
27,5079.74,FeI,19.9,0.99
28,5083.339,FeI,32.1,0.96
29,5123.72,FeI,23.6,1.01
30,5150.84,FeI,18.9,0.99
31,5171.596,FeI,62.5,1.49
32,5192.344,FeI,59.4,3.0
33,5194.942,FeI,41.9,1.56
34,5198.711,FeI,15.2,2.22
35,5202.336,FeI,31.4,2.18
36,5215.182,FeI,22.3,3.27
37,5216.274,FeI,37.8,1.61
38,5217.39,FeI,19.0,3.21
39,5232.94,FeI,74.0,2.94
40,5242.491,FeI,13.9,3.63
41,5250.646,FeI,16.9,2.2
42,5263.305,FeI,20.5,3.27
43,5307.361,FeI,8.0,1.61
44,5332.9,FeI,15.7,1.56
45,5339.93,FeI,31.8,3.27
46,5341.024,FeI,48.8,1.61
47,5397.128,FeI,77.3,0.92
48,5405.775,FeI,79.7,0.99
49,5429.696,FeI,83.6,0.96
50,5434.524,FeI,67.4,1.01
51,5497.516,FeI,33.5,1.01
52,5501.465,FeI,28.3,0.96
53,5506.779,FeI,37.1,0.99
54,5569.618,FeI,33.1,3.42
55,5576.09,FeI,19.0,3.43
56,5586.756,FeI,51.1,3.37
57,4508.289,FeII,36.4,2.86
58,4515.339,FeII,29.1,2.84
59,4522.634,FeII,45.5,2.84
60,4576.339,FeII,11.8,2.84
61,4583.837,FeII,59.8,2.81
62,4923.927,FeII,79.0,2.89
63,5197.576,FeII,27.3,3.23
64,5234.63,FeII,32.1,3.22
65,5276.002,FeII,38.2,3.2
66,5325.56,FeII,6.4,3.22
