,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3765.539,3.24,66.15,4.34
1,FeI,3786.677,1.01,68.86,4.44
2,FeI,3787.88,1.01,116.21,4.4
3,FeI,3805.343,3.3,53.19,4.27
4,FeI,3846.8,3.25,40.17,4.24
5,FeI,3849.967,1.01,114.55,4.36
6,FeI,3850.818,0.99,92.99,4.64
7,FeI,3852.573,2.18,44.8,4.25
8,FeI,3863.741,2.69,16.85,4.43
9,FeI,3865.523,1.01,117.92,4.52
10,FeI,3878.018,0.96,120.39,4.46
11,FeI,3902.946,1.56,111.98,4.5
12,FeI,3917.181,0.99,81.02,4.68
13,FeI,3940.878,0.96,57.66,4.49
14,FeI,3949.953,2.18,46.22,4.34
15,FeI,3977.741,2.2,55.28,4.43
16,FeI,4001.661,2.18,19.5,4.37
17,FeI,4005.242,1.56,108.17,4.51
18,FeI,4007.272,2.76,16.06,4.33
19,FeI,4014.531,3.05,44.51,4.66
20,FeI,4021.866,2.76,39.08,4.34
21,FeI,4032.627,1.49,29.74,4.29
22,FeI,4044.609,2.83,19.33,4.44
23,FeI,4062.441,2.85,29.31,4.36
24,FeI,4067.271,2.56,22.39,4.41
25,FeI,4067.978,3.21,30.74,4.42
26,FeI,4070.769,3.24,18.5,4.47
27,FeI,4071.738,1.61,127.73,4.41
28,FeI,4073.763,3.27,12.56,4.41
29,FeI,4076.629,3.21,30.26,4.31
30,FeI,4079.838,2.86,14.41,4.46
31,FeI,4095.97,2.59,17.69,4.38
32,FeI,4098.176,3.24,12.7,4.36
33,FeI,4109.802,2.85,24.94,4.34
34,FeI,4114.445,2.83,16.24,4.43
35,FeI,4120.207,2.99,15.31,4.55
36,FeI,4121.802,2.83,18.32,4.64
37,FeI,4132.899,2.85,27.7,4.47
38,FeI,4134.678,2.83,45.63,4.47
39,FeI,4136.998,3.42,16.81,4.28
40,FeI,4139.927,0.99,11.08,4.39
41,FeI,4143.414,3.05,49.58,4.36
42,FeI,4143.868,1.56,108.63,4.4
43,FeI,4147.669,1.48,53.73,4.45
44,FeI,4152.169,0.96,29.8,4.51
45,FeI,4153.899,3.4,27.35,4.41
46,FeI,4154.498,2.83,39.58,4.39
47,FeI,4154.805,3.37,25.47,4.41
48,FeI,4156.799,2.83,36.6,4.44
49,FeI,4157.78,3.42,21.95,4.38
50,FeI,4158.793,3.43,13.2,4.39
51,FeI,4174.913,0.91,48.46,4.54
52,FeI,4175.636,2.85,35.9,4.47
53,FeI,4181.755,2.83,52.8,4.34
54,FeI,4182.382,3.02,11.21,4.33
55,FeI,4184.892,2.83,29.07,4.34
56,FeI,4187.039,2.45,66.21,4.32
57,FeI,4187.795,2.42,72.09,4.43
58,FeI,4191.43,2.47,60.98,4.39
59,FeI,4195.329,3.33,29.11,4.54
60,FeI,4196.208,3.4,12.19,4.34
61,FeI,4199.095,3.05,63.89,4.32
62,FeI,4202.029,1.49,105.81,4.4
63,FeI,4216.184,0.0,82.24,4.62
64,FeI,4217.545,3.43,17.35,4.34
65,FeI,4222.213,2.45,50.37,4.37
66,FeI,4227.427,3.33,62.86,4.51
67,FeI,4233.603,2.48,65.21,4.4
68,FeI,4238.81,3.4,28.66,4.35
69,FeI,4247.426,3.37,36.4,4.49
70,FeI,4250.119,2.47,74.23,4.4
71,FeI,4250.787,1.56,104.59,4.46
72,FeI,4260.474,2.4,94.2,4.36
73,FeI,4271.76,1.49,135.53,4.51
74,FeI,4282.403,2.18,71.25,4.39
75,FeI,4325.762,1.61,136.23,4.47
76,FeI,4337.046,1.56,69.8,4.52
77,FeI,4352.735,2.22,51.42,4.49
78,FeI,4388.407,3.6,8.92,4.39
79,FeI,4404.75,1.56,130.06,4.43
80,FeI,4407.709,2.18,28.73,4.65
81,FeI,4415.122,1.61,108.49,4.48
82,FeI,4422.568,2.85,23.69,4.46
83,FeI,4427.31,0.05,99.34,4.65
84,FeI,4430.614,2.22,35.02,4.52
85,FeI,4442.339,2.2,56.62,4.5
86,FeI,4443.194,2.86,22.71,4.38
87,FeI,4447.717,2.22,49.25,4.48
88,FeI,4454.381,2.83,15.61,4.39
89,FeI,4459.118,2.18,60.74,4.62
90,FeI,4461.653,0.09,89.6,4.7
91,FeI,4466.552,2.83,53.76,4.56
92,FeI,4476.019,2.85,42.82,4.58
93,FeI,4484.22,3.6,12.17,4.72
94,FeI,4489.739,0.12,47.98,4.5
95,FeI,4490.083,3.02,6.07,4.43
96,FeI,4494.563,2.2,58.86,4.46
97,FeI,4528.614,2.18,76.51,4.51
98,FeI,4531.148,1.48,51.16,4.39
99,FeI,4592.651,1.56,36.39,4.55
100,FeI,4602.941,1.49,53.59,4.55
101,FeI,4630.12,2.28,6.6,4.6
102,FeI,4632.912,1.61,14.54,4.51
103,FeI,4647.434,2.95,13.7,4.5
104,FeI,4678.846,3.6,9.2,4.54
105,FeI,4691.411,2.99,12.03,4.65
106,FeI,4707.274,3.24,12.83,4.53
107,FeI,4710.283,3.02,8.55,4.61
108,FeI,4733.591,1.49,16.15,4.5
109,FeI,4736.772,3.21,26.67,4.58
110,FeI,4786.806,3.0,7.51,4.52
111,FeI,4789.65,3.53,6.38,4.41
112,FeI,4859.741,2.88,32.64,4.32
113,FeI,4871.318,2.87,56.63,4.39
114,FeI,4872.137,2.88,45.88,4.39
115,FeI,4890.755,2.88,53.4,4.36
116,FeI,4891.492,2.85,69.15,4.38
117,FeI,4903.31,2.88,31.17,4.46
118,FeI,4918.994,2.85,56.87,4.35
119,FeI,4920.503,2.83,79.22,4.39
120,FeI,4924.77,2.28,11.4,4.37
121,FeI,4938.814,2.88,23.54,4.43
122,FeI,4939.687,0.86,34.53,4.44
123,FeI,4946.388,3.37,7.9,4.53
124,FeI,4966.089,3.33,17.11,4.57
125,FeI,4994.13,0.92,42.69,4.38
126,FeI,5001.87,3.88,17.39,4.3
127,FeI,5006.119,2.83,50.64,4.46
128,FeI,5012.068,0.86,79.19,4.73
129,FeI,5014.942,3.94,12.71,4.55
130,FeI,5022.236,3.98,4.99,4.38
131,FeI,5041.072,0.96,49.29,4.67
132,FeI,5041.756,1.49,59.71,4.62
133,FeI,5049.82,2.28,47.07,4.48
134,FeI,5051.634,0.92,62.64,4.55
135,FeI,5060.08,0.0,4.69,4.57
136,FeI,5068.766,2.94,24.17,4.47
137,FeI,5074.749,4.22,11.11,4.71
138,FeI,5079.224,2.2,19.48,4.53
139,FeI,5079.74,0.99,33.63,4.57
140,FeI,5083.339,0.96,51.48,4.46
141,FeI,5090.77,4.26,5.02,4.53
142,FeI,5098.697,2.18,27.55,4.64
143,FeI,5110.413,0.0,78.64,4.77
144,FeI,5123.72,1.01,38.73,4.5
145,FeI,5127.36,0.92,31.79,4.44
146,FeI,5131.468,2.22,8.95,4.58
147,FeI,5133.689,4.18,18.52,4.59
148,FeI,5137.382,4.18,7.2,4.65
149,FeI,5141.739,2.42,8.69,4.52
150,FeI,5142.929,0.96,42.99,4.54
151,FeI,5150.839,0.99,38.23,4.44
152,FeI,5151.911,1.01,26.74,4.51
153,FeI,5162.273,4.18,18.41,4.7
154,FeI,5166.282,0.0,50.44,4.55
155,FeI,5171.596,1.49,78.56,4.54
156,FeI,5191.455,3.04,40.76,4.45
157,FeI,5192.344,3.0,47.81,4.41
158,FeI,5194.942,1.56,58.74,4.49
159,FeI,5198.711,2.22,15.79,4.43
160,FeI,5202.336,2.18,32.08,4.57
161,FeI,5216.274,1.61,51.85,4.48
162,FeI,5217.39,3.21,12.51,4.54
163,FeI,5225.526,0.11,13.1,4.47
164,FeI,5232.94,2.94,68.86,4.4
165,FeI,5242.491,3.63,6.01,4.49
166,FeI,5247.05,0.09,11.3,4.57
167,FeI,5250.21,0.12,9.67,4.52
168,FeI,5250.646,2.2,20.44,4.63
169,FeI,5254.956,0.11,18.69,4.66
170,FeI,5263.305,3.27,15.79,4.45
171,FeI,5266.555,3.0,48.71,4.39
172,FeI,5269.537,0.86,132.42,4.6
173,FeI,5281.79,3.04,23.77,4.36
174,FeI,5283.621,3.24,34.02,4.51
175,FeI,5302.3,3.28,21.3,4.47
176,FeI,5307.361,1.61,13.92,4.45
177,FeI,5324.179,3.21,46.78,4.31
178,FeI,5328.039,0.92,125.56,4.66
179,FeI,5328.531,1.56,73.49,4.62
180,FeI,5332.9,1.55,17.69,4.37
181,FeI,5339.93,3.27,24.78,4.54
182,FeI,5364.871,4.45,14.13,4.66
183,FeI,5367.467,4.42,16.86,4.51
184,FeI,5369.962,4.37,16.8,4.34
185,FeI,5371.489,0.96,118.18,4.71
186,FeI,5383.369,4.31,25.06,4.4
187,FeI,5393.168,3.24,22.58,4.64
188,FeI,5397.128,0.92,103.65,4.66
189,FeI,5405.775,0.99,103.34,4.61
190,FeI,5410.91,4.47,9.18,4.29
191,FeI,5415.199,4.39,20.71,4.38
192,FeI,5424.068,4.32,25.47,4.55
193,FeI,5429.696,0.96,107.15,4.68
194,FeI,5434.524,1.01,89.15,4.56
195,FeI,5446.917,0.99,107.14,4.75
196,FeI,5497.516,1.01,55.0,4.54
197,FeI,5501.465,0.96,49.79,4.61
198,FeI,5506.779,0.99,60.29,4.58
199,FeI,5569.618,3.42,23.44,4.49
200,FeI,5572.842,3.4,30.27,4.37
201,FeI,5576.088,3.43,8.9,4.46
202,FeI,5586.756,3.37,40.91,4.41
203,FeI,5615.644,3.33,49.31,4.34
204,FeI,5624.542,3.42,14.04,4.43
205,FeI,5658.816,3.4,14.37,4.45
206,FeI,5662.516,4.18,4.95,4.63
207,FeI,5701.544,2.56,5.97,4.38
208,FeI,6065.481,2.61,22.0,4.35
209,FeI,6136.615,2.45,40.84,4.56
210,FeI,6137.691,2.59,30.9,4.46
211,FeI,6191.558,2.43,36.49,4.46
212,FeI,6213.429,2.22,6.75,4.35
213,FeI,6219.28,2.2,9.28,4.44
214,FeI,6230.723,2.56,43.32,4.6
215,FeI,6246.318,3.6,9.5,4.54
216,FeI,6252.555,2.4,30.7,4.57
217,FeI,6254.257,2.28,9.4,4.54
218,FeI,6265.134,2.18,10.17,4.56
219,FeI,6335.33,2.2,20.82,4.58
220,FeI,6336.835,3.69,6.62,4.64
221,FeI,6355.029,2.84,3.64,4.6
222,FeI,6393.601,2.43,34.99,4.58
223,FeI,6400.0,3.6,21.6,4.38
224,FeI,6411.649,3.65,12.78,4.45
225,FeI,6421.35,2.28,20.32,4.49
226,FeI,6430.846,2.18,27.41,4.48
227,FeI,6494.98,2.4,50.0,4.48
228,FeI,6592.912,2.73,17.0,4.38
229,FeI,6593.868,2.44,6.66,4.48
230,FeI,6677.986,2.69,26.63,4.53
231,FeI,6750.152,2.42,4.18,4.44
232,FeI,6978.85,2.48,5.44,4.49
233,FeII,4128.748,2.58,7.72,4.45
234,FeII,4178.86,2.58,36.51,4.36
235,FeII,4233.17,2.58,67.82,4.47
236,FeII,4416.817,2.78,23.81,4.39
237,FeII,4489.185,2.83,12.56,4.47
238,FeII,4491.41,2.86,17.09,4.4
239,FeII,4508.283,2.86,31.9,4.64
240,FeII,4515.34,2.84,26.55,4.52
241,FeII,4520.224,2.81,25.32,4.45
242,FeII,4522.63,2.84,43.81,4.53
243,FeII,4541.523,2.86,12.99,4.6
244,FeII,4555.89,2.83,32.06,4.43
245,FeII,4576.34,2.84,12.61,4.45
246,FeII,4583.84,2.81,58.5,4.46
247,FeII,4620.52,2.83,9.07,4.54
248,FeII,4923.93,2.89,80.37,4.39
249,FeII,5018.45,2.89,90.12,4.5
250,FeII,5197.58,3.23,22.14,4.45
251,FeII,5234.63,3.22,27.29,4.53
252,FeII,5276.0,3.2,29.28,4.38
253,FeII,5284.08,2.89,7.96,4.5
254,FeII,5534.834,3.25,6.74,4.57
255,FeII,6247.545,3.89,3.94,4.62
256,FeII,6456.383,3.9,9.15,4.59
