,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3727.619,0.96,57.63,4.26
1,FeI,3743.362,0.99,46.25,4.16
2,FeI,3758.233,0.96,73.02,4.14
3,FeI,3763.789,0.99,74.23,4.41
4,FeI,3765.539,3.24,18.37,4.25
5,FeI,3767.192,1.01,67.9,4.4
6,FeI,3787.88,1.01,46.53,4.23
7,FeI,3815.84,1.48,69.77,4.24
8,FeI,3824.444,0.0,61.17,4.21
9,FeI,3825.881,0.91,79.48,4.29
10,FeI,3827.823,1.56,67.08,4.38
11,FeI,3849.967,1.01,55.05,4.47
12,FeI,3850.818,0.99,14.88,4.29
13,FeI,3865.523,1.01,39.77,4.17
14,FeI,3878.018,0.96,42.72,4.14
15,FeI,3895.656,0.11,48.24,4.25
16,FeI,3899.707,0.09,50.99,4.14
17,FeI,3902.946,1.56,38.42,4.13
18,FeI,3920.258,0.12,45.17,4.25
19,FeI,3922.912,0.05,55.15,4.34
20,FeI,4005.242,1.56,31.66,4.11
21,FeI,4045.812,1.49,71.57,4.24
22,FeI,4063.594,1.56,68.92,4.44
23,FeI,4071.738,1.61,54.38,4.13
24,FeI,4132.058,1.61,28.52,4.17
25,FeI,4143.868,1.56,34.43,4.09
26,FeI,4187.039,2.45,13.72,4.33
27,FeI,4202.029,1.49,36.92,4.26
28,FeI,4233.603,2.48,8.34,4.17
29,FeI,4250.787,1.56,27.54,4.12
30,FeI,4260.474,2.4,40.83,4.41
31,FeI,4271.154,2.45,12.35,4.1
32,FeI,4271.76,1.49,64.95,4.47
33,FeI,4282.403,2.18,8.49,4.11
34,FeI,4325.762,1.61,61.16,4.29
35,FeI,4383.545,1.48,72.81,4.32
36,FeI,4404.75,1.56,60.18,4.37
37,FeI,4415.122,1.61,32.56,4.19
38,FeI,4459.118,2.18,4.98,4.35
39,FeI,4466.552,2.83,7.06,4.43
40,FeI,4528.614,2.18,14.4,4.41
41,FeI,5192.344,3.0,4.9,4.21
42,FeI,5269.537,0.86,39.53,4.34
43,FeI,5328.039,0.92,33.09,4.38
44,FeI,5371.489,0.96,18.14,4.19
45,FeI,5429.696,0.96,17.37,4.4
46,FeI,5434.524,1.01,10.21,4.42
47,FeI,5455.609,1.01,10.64,4.39
48,FeII,4923.93,2.89,25.18,4.3
49,FeII,5018.45,2.89,28.11,4.27
