,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3787.88,1.01,118.79,4.39
1,FeI,3805.343,3.3,59.72,4.39
2,FeI,3839.256,3.05,38.9,4.3
3,FeI,3841.048,1.61,116.02,4.2
4,FeI,3846.8,3.25,49.94,4.44
5,FeI,3849.967,1.01,114.51,4.28
6,FeI,3867.216,3.02,34.32,4.29
7,FeI,3878.018,0.96,115.96,4.29
8,FeI,3902.946,1.56,106.37,4.28
9,FeI,3917.181,0.99,67.23,4.27
10,FeI,3940.878,0.96,61.17,4.56
11,FeI,3949.953,2.18,40.98,4.24
12,FeI,3977.741,2.2,60.43,4.52
13,FeI,4005.242,1.56,101.09,4.25
14,FeI,4014.531,3.05,33.26,4.43
15,FeI,4062.441,2.85,24.54,4.27
16,FeI,4067.271,2.56,27.7,4.57
17,FeI,4067.978,3.21,22.77,4.25
18,FeI,4070.769,3.24,14.34,4.35
19,FeI,4071.738,1.61,120.62,4.2
20,FeI,4073.763,3.27,17.14,4.59
21,FeI,4076.629,3.21,28.94,4.3
22,FeI,4079.838,2.86,16.55,4.56
23,FeI,4098.176,3.24,16.14,4.5
24,FeI,4109.802,2.85,24.69,4.35
25,FeI,4114.445,2.83,12.7,4.33
26,FeI,4121.802,2.83,13.8,4.52
27,FeI,4132.058,1.61,103.8,4.44
28,FeI,4132.899,2.85,22.95,4.38
29,FeI,4134.678,2.83,35.71,4.28
30,FeI,4136.998,3.42,22.01,4.45
31,FeI,4139.927,0.99,14.45,4.57
32,FeI,4143.414,3.05,48.04,4.32
33,FeI,4143.868,1.56,102.55,4.17
34,FeI,4147.669,1.48,46.71,4.33
35,FeI,4152.169,0.96,36.03,4.67
36,FeI,4153.899,3.4,24.54,4.36
37,FeI,4154.498,2.83,44.29,4.48
38,FeI,4154.805,3.37,21.05,4.32
39,FeI,4156.799,2.83,31.54,4.35
40,FeI,4158.793,3.43,10.95,4.31
41,FeI,4174.913,0.91,51.55,4.61
42,FeI,4175.636,2.85,34.06,4.45
43,FeI,4181.755,2.83,59.5,4.47
44,FeI,4182.382,3.02,15.15,4.51
45,FeI,4184.892,2.83,28.33,4.34
46,FeI,4187.039,2.45,62.91,4.22
47,FeI,4187.795,2.42,75.6,4.47
48,FeI,4191.43,2.47,55.23,4.25
49,FeI,4202.029,1.49,102.84,4.26
50,FeI,4216.184,0.0,75.83,4.45
