,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3727.619,0.96,46.46,4.09
1,FeI,3743.362,0.99,41.63,4.19
2,FeI,3758.233,0.96,68.79,4.06
3,FeI,3763.789,0.99,60.53,4.07
4,FeI,3787.88,1.01,35.26,4.11
5,FeI,3805.343,3.3,12.83,4.38
6,FeI,3815.84,1.48,66.39,4.18
7,FeI,3820.425,0.86,84.23,4.18
8,FeI,3827.823,1.56,54.89,4.12
9,FeI,3846.8,3.25,5.46,4.25
10,FeI,3849.967,1.01,42.97,4.3
11,FeI,3850.818,0.99,8.6,4.18
12,FeI,3856.372,0.05,62.91,4.34
13,FeI,3859.911,0.0,86.67,4.36
14,FeI,3865.523,1.01,35.1,4.21
15,FeI,3878.018,0.96,35.95,4.13
16,FeI,3886.282,0.05,66.53,4.23
17,FeI,3895.656,0.11,39.81,4.22
18,FeI,3899.707,0.09,48.98,4.25
19,FeI,3902.946,1.56,36.12,4.21
20,FeI,3920.258,0.12,39.3,4.27
21,FeI,3922.912,0.05,46.89,4.28
22,FeI,4005.242,1.56,31.94,4.25
23,FeI,4045.812,1.49,71.15,4.25
24,FeI,4063.594,1.56,59.11,4.23
25,FeI,4071.738,1.61,55.07,4.25
26,FeI,4132.058,1.61,23.61,4.19
27,FeI,4134.678,2.83,2.48,4.14
28,FeI,4143.414,3.05,3.9,4.08
29,FeI,4143.868,1.56,30.28,4.14
30,FeI,4187.039,2.45,10.8,4.34
31,FeI,4187.795,2.42,11.86,4.36
32,FeI,4191.43,2.47,4.11,4.06
33,FeI,4199.095,3.05,9.59,4.15
34,FeI,4202.029,1.49,27.93,4.19
35,FeI,4222.213,2.45,3.58,4.22
36,FeI,4227.427,3.33,8.68,4.24
37,FeI,4233.603,2.48,5.6,4.12
38,FeI,4247.426,3.37,3.13,4.3
39,FeI,4250.119,2.47,7.06,4.02
40,FeI,4250.787,1.56,24.07,4.18
41,FeI,4260.474,2.4,25.0,4.16
42,FeI,4271.154,2.45,11.48,4.2
43,FeI,4271.76,1.49,54.85,4.28
44,FeI,4282.403,2.18,8.97,4.27
45,FeI,4325.762,1.61,53.59,4.18
46,FeI,4383.545,1.48,70.41,4.28
47,FeI,4404.75,1.56,53.03,4.27
48,FeI,4415.122,1.61,29.05,4.25
49,FeI,4461.653,0.09,2.93,4.25
50,FeI,4871.318,2.87,5.71,4.23
51,FeI,4890.755,2.88,5.53,4.26
52,FeI,4891.492,2.85,10.69,4.27
53,FeI,4918.994,2.85,5.47,4.18
54,FeI,4920.503,2.83,14.21,4.21
55,FeI,5191.455,3.04,3.16,4.3
56,FeI,5192.344,3.0,3.87,4.23
57,FeI,5269.537,0.86,32.63,4.33
58,FeI,5324.179,3.21,6.59,4.34
59,FeI,5328.039,0.92,20.2,4.21
60,FeI,5371.489,0.96,15.79,4.27
61,FeI,5383.369,4.31,3.05,4.22
62,FeI,5397.128,0.92,6.42,4.12
63,FeI,5405.775,0.99,8.26,4.18
64,FeI,5424.068,4.32,3.2,4.37
65,FeI,5429.696,0.96,10.69,4.31
66,FeI,5434.524,1.01,4.28,4.17
67,FeI,5455.609,1.01,6.73,4.34
68,FeI,5586.756,3.37,3.15,4.18
69,FeI,5615.644,3.33,4.94,4.15
70,FeII,4233.17,2.58,6.46,4.25
71,FeII,4923.93,2.89,13.67,4.22
72,FeII,5018.45,2.89,17.25,4.25
