,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4001.661,2.18,9.76,4.86
1,FeI,4005.242,1.56,86.24,5.0
2,FeI,4007.272,2.76,8.14,4.73
3,FeI,4014.531,3.05,21.08,4.83
4,FeI,4021.866,2.76,26.17,4.82
5,FeI,4044.609,2.83,7.5,4.7
6,FeI,4058.217,3.21,7.32,4.95
7,FeI,4062.441,2.85,16.86,4.77
8,FeI,4063.594,1.56,109.98,4.84
9,FeI,4067.271,2.56,10.74,4.8
10,FeI,4067.978,3.21,17.72,4.76
11,FeI,4070.769,3.24,13.21,4.96
12,FeI,4071.738,1.61,104.82,4.86
13,FeI,4073.763,3.27,10.65,4.99
14,FeI,4076.629,3.21,21.18,4.77
15,FeI,4079.838,2.86,5.74,4.74
16,FeI,4095.97,2.59,10.78,4.89
17,FeI,4098.176,3.24,9.89,4.9
18,FeI,4109.802,2.85,15.0,4.78
19,FeI,4114.445,2.83,8.39,4.83
20,FeI,4120.207,2.99,8.43,4.96
21,FeI,4132.058,1.61,79.89,4.96
22,FeI,4132.899,2.85,13.81,4.81
23,FeI,4134.678,2.83,28.42,4.86
24,FeI,4136.998,3.42,11.26,4.71
25,FeI,4139.927,0.99,2.76,4.79
26,FeI,4143.414,3.05,36.6,4.82
27,FeI,4143.868,1.56,86.45,4.91
28,FeI,4147.669,1.48,21.95,4.75
29,FeI,4152.169,0.96,11.04,5.0
30,FeI,4153.899,3.4,19.37,4.85
31,FeI,4154.498,2.83,24.06,4.79
32,FeI,4154.805,3.37,14.75,4.75
33,FeI,4156.799,2.83,21.51,4.84
34,FeI,4157.78,3.42,12.24,4.7
35,FeI,4158.793,3.43,7.88,4.76
36,FeI,4174.913,0.91,16.03,4.85
37,FeI,4175.636,2.85,20.93,4.86
38,FeI,4181.755,2.83,39.33,4.83
39,FeI,4182.382,3.02,5.94,4.73
40,FeI,4184.892,2.83,16.69,4.75
41,FeI,4187.039,2.45,47.31,4.75
42,FeI,4187.795,2.42,51.64,4.82
43,FeI,4191.43,2.47,41.87,4.81
44,FeI,4195.329,3.33,16.25,4.85
45,FeI,4196.208,3.4,8.18,4.78
46,FeI,4199.095,3.05,49.99,4.78
47,FeI,4202.029,1.49,81.84,4.9
48,FeI,4216.184,0.0,38.06,4.91
49,FeI,4217.545,3.43,11.65,4.76
50,FeI,4222.213,2.45,29.95,4.76
51,FeI,4227.427,3.33,45.91,4.84
52,FeI,4233.603,2.48,44.56,4.79
53,FeI,4238.81,3.4,21.33,4.81
54,FeI,4247.426,3.37,25.79,4.91
55,FeI,4250.119,2.47,54.66,4.8
56,FeI,4250.787,1.56,77.67,4.87
57,FeI,4260.474,2.4,78.14,4.82
58,FeI,4271.154,2.45,60.94,4.88
59,FeI,4271.76,1.49,107.96,4.95
60,FeI,4282.403,2.18,46.64,4.75
61,FeI,4325.762,1.61,105.89,4.84
62,FeI,4352.735,2.22,24.81,4.78
63,FeI,4375.93,0.0,56.77,4.98
64,FeI,4388.407,3.6,5.54,4.76
65,FeI,4404.75,1.56,107.14,4.96
66,FeI,4407.709,2.18,10.17,4.93
67,FeI,4415.122,1.61,83.41,4.96
68,FeI,4422.568,2.85,11.75,4.81
69,FeI,4427.31,0.05,53.33,4.86
70,FeI,4430.614,2.22,16.03,4.89
71,FeI,4442.339,2.2,29.12,4.8
72,FeI,4443.194,2.86,11.82,4.75
73,FeI,4447.717,2.22,26.42,4.86
74,FeI,4454.381,2.83,8.99,4.85
75,FeI,4459.118,2.18,33.76,4.94
76,FeI,4461.653,0.09,40.79,4.87
77,FeI,4466.552,2.83,28.68,4.8
78,FeI,4476.019,2.85,26.81,4.99
79,FeI,4484.22,3.6,6.25,5.0
80,FeI,4489.739,0.12,12.34,4.85
81,FeI,4494.563,2.2,34.4,4.83
82,FeI,4528.614,2.18,50.56,4.86
83,FeI,4531.148,1.48,25.83,4.86
84,FeI,4592.651,1.56,12.75,4.89
85,FeI,4602.941,1.49,20.12,4.82
86,FeI,4630.12,2.28,2.21,4.92
87,FeI,4647.434,2.95,8.42,4.97
88,FeI,4678.846,3.6,5.53,4.9
89,FeI,4707.274,3.24,7.41,4.93
90,FeI,4710.283,3.02,3.65,4.91
91,FeI,4733.591,1.49,3.98,4.79
92,FeI,4736.772,3.21,14.0,4.89
93,FeI,4786.806,3.0,3.62,4.88
94,FeI,4789.65,3.53,3.46,4.75
95,FeI,4871.318,2.87,36.67,4.76
96,FeI,4872.137,2.88,30.06,4.83
97,FeI,4890.755,2.88,38.94,4.85
98,FeI,4891.492,2.85,50.88,4.8
99,FeI,4903.31,2.88,16.18,4.81
100,FeI,4918.994,2.85,39.79,4.79
101,FeI,4920.503,2.83,63.26,4.88
102,FeI,4924.77,2.28,6.69,4.94
103,FeI,4938.814,2.88,14.54,4.9
104,FeI,4939.687,0.86,11.98,4.92
105,FeI,4994.13,0.92,12.85,4.73
106,FeI,5006.119,2.83,30.0,4.81
107,FeI,5012.068,0.86,36.51,4.99
108,FeI,5014.942,3.94,10.42,5.01
109,FeI,5041.072,0.96,12.61,4.88
110,FeI,5041.756,1.49,22.49,4.86
111,FeI,5049.82,2.28,24.77,4.87
112,FeI,5051.634,0.92,23.08,4.85
113,FeI,5068.766,2.94,13.51,4.88
114,FeI,5079.224,2.2,8.01,4.93
115,FeI,5079.74,0.99,7.96,4.84
116,FeI,5090.77,4.26,3.86,4.92
117,FeI,5098.697,2.18,12.53,5.06
118,FeI,5110.413,0.0,22.64,4.88
119,FeI,5123.72,1.01,10.94,4.82
120,FeI,5127.36,0.92,7.45,4.74
121,FeI,5133.689,4.18,13.67,4.95
122,FeI,5150.839,0.99,9.91,4.74
123,FeI,5151.911,1.01,5.4,4.75
124,FeI,5162.273,4.18,12.02,5.0
125,FeI,5166.282,0.0,9.83,4.79
126,FeI,5171.596,1.49,44.63,4.9
127,FeI,5191.455,3.04,22.07,4.76
128,FeI,5192.344,3.0,28.17,4.75
129,FeI,5194.942,1.56,23.63,4.77
130,FeI,5198.711,2.22,6.56,4.84
131,FeI,5202.336,2.18,11.24,4.84
132,FeI,5216.274,1.61,19.76,4.78
133,FeI,5217.39,3.21,6.42,4.9
134,FeI,5232.94,2.94,50.92,4.84
135,FeI,5250.646,2.2,8.34,5.02
136,FeI,5263.305,3.27,8.16,4.8
137,FeI,5266.555,3.0,31.2,4.79
138,FeI,5281.79,3.04,13.67,4.77
139,FeI,5283.621,3.24,20.03,4.87
140,FeI,5302.3,3.28,11.31,4.81
141,FeI,5307.361,1.61,3.86,4.79
142,FeI,5324.179,3.21,35.46,4.81
143,FeI,5328.531,1.56,37.72,4.94
144,FeI,5339.93,3.27,14.65,4.93
145,FeI,5364.871,4.45,8.52,4.88
146,FeI,5367.467,4.42,10.92,4.77
147,FeI,5369.962,4.37,13.97,4.75
148,FeI,5383.369,4.31,19.12,4.75
149,FeI,5393.168,3.24,11.8,4.97
150,FeI,5397.128,0.92,67.19,5.13
151,FeI,5415.199,4.39,19.6,4.85
152,FeI,5424.068,4.32,18.75,4.88
153,FeI,5434.524,1.01,52.85,5.0
154,FeI,5446.917,0.99,67.37,5.13
155,FeI,5497.516,1.01,18.86,4.87
156,FeI,5501.465,0.96,15.31,4.93
157,FeI,5506.779,0.99,22.33,4.91
158,FeI,5569.618,3.42,12.4,4.81
159,FeI,5572.842,3.4,22.73,4.86
160,FeI,5576.088,3.43,6.42,4.95
161,FeI,5586.756,3.37,27.34,4.81
162,FeI,5615.644,3.33,37.31,4.81
163,FeI,5624.542,3.42,7.46,4.78
164,FeI,5701.544,2.56,2.95,4.84
165,FeI,6065.481,2.61,12.88,4.87
166,FeI,6136.615,2.45,19.27,4.92
167,FeI,6137.691,2.59,14.82,4.86
168,FeI,6191.558,2.43,17.61,4.86
169,FeI,6213.429,2.22,3.46,4.91
170,FeI,6219.28,2.2,3.22,4.82
171,FeI,6230.723,2.56,20.28,4.93
172,FeI,6252.555,2.4,12.72,4.92
173,FeI,6254.257,2.28,4.43,5.03
174,FeI,6335.33,2.2,6.03,4.83
175,FeI,6393.601,2.43,17.4,5.01
176,FeI,6400.0,3.6,13.79,4.78
177,FeI,6411.649,3.65,7.52,4.82
178,FeI,6421.35,2.28,8.87,4.93
179,FeI,6430.846,2.18,12.7,4.95
180,FeI,6494.98,2.4,27.52,4.92
181,FeI,6592.912,2.73,8.54,4.82
182,FeI,6663.44,2.42,2.79,4.99
183,FeI,6677.986,2.69,14.12,4.99
184,FeI,6978.85,2.48,2.41,4.94
185,FeII,4178.86,2.58,17.98,4.75
186,FeII,4233.17,2.58,43.77,4.85
187,FeII,4416.817,2.78,11.57,4.8
188,FeII,4489.185,2.83,6.05,4.9
189,FeII,4491.41,2.86,7.31,4.76
190,FeII,4515.34,2.84,12.0,4.87
191,FeII,4520.224,2.81,10.73,4.79
192,FeII,4522.63,2.84,25.13,4.94
193,FeII,4541.523,2.86,4.28,4.85
194,FeII,4555.89,2.83,18.58,4.9
195,FeII,4576.34,2.84,6.4,4.91
196,FeII,4583.84,2.81,35.65,4.84
197,FeII,4923.93,2.89,60.88,4.9
198,FeII,5018.45,2.89,68.97,5.01
199,FeII,5197.58,3.23,11.15,4.83
200,FeII,5234.63,3.22,15.67,4.96
201,FeII,5276.0,3.2,16.6,4.8
202,FeII,5325.55,3.22,1.81,4.9
203,FeII,6456.383,3.9,4.32,4.88
