,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,3863.741,2.69,43.41,4.83
1,FeI,3867.216,3.02,63.11,4.6
2,FeI,3917.181,0.99,99.45,4.52
3,FeI,3949.953,2.18,69.55,4.49
4,FeI,3977.741,2.2,77.42,4.53
5,FeI,4001.661,2.18,46.3,4.73
6,FeI,4014.531,3.05,67.9,4.85
7,FeI,4032.627,1.49,60.65,4.6
8,FeI,4058.217,3.21,30.13,4.88
9,FeI,4062.441,2.85,57.6,4.68
10,FeI,4067.978,3.21,45.12,4.52
11,FeI,4070.769,3.24,31.28,4.62
12,FeI,4098.176,3.24,39.1,4.86
13,FeI,4109.802,2.85,42.01,4.5
14,FeI,4114.445,2.83,27.29,4.55
15,FeI,4120.207,2.99,23.69,4.63
16,FeI,4121.802,2.83,22.27,4.59
17,FeI,4134.678,2.83,68.87,4.64
18,FeI,4136.998,3.42,35.4,4.57
19,FeI,4139.927,0.99,33.77,4.76
20,FeI,4143.414,3.05,74.55,4.56
21,FeI,4147.669,1.48,92.31,4.84
22,FeI,4153.899,3.4,42.41,4.54
23,FeI,4154.498,2.83,58.3,4.5
24,FeI,4154.805,3.37,37.49,4.5
25,FeI,4156.799,2.83,55.5,4.57
26,FeI,4157.78,3.42,44.04,4.67
27,FeI,4158.793,3.43,25.93,4.61
28,FeI,4174.913,0.91,83.19,4.81
29,FeI,4181.755,2.83,73.07,4.43
30,FeI,4182.382,3.02,34.22,4.79
31,FeI,4184.892,2.83,52.96,4.58
32,FeI,4187.039,2.45,92.31,4.47
33,FeI,4187.795,2.42,96.42,4.52
34,FeI,4191.43,2.47,98.06,4.77
35,FeI,4195.329,3.33,37.48,4.54
36,FeI,4199.095,3.05,90.27,4.51
37,FeI,4216.184,0.0,120.96,4.83
38,FeI,4217.545,3.43,35.61,4.61
39,FeI,4222.213,2.45,77.44,4.57
40,FeI,4227.427,3.33,89.67,4.72
41,FeI,4233.603,2.48,86.3,4.44
42,FeI,4238.81,3.4,47.78,4.54
43,FeI,4250.119,2.47,101.86,4.55
44,FeI,4271.154,2.45,100.63,4.45
45,FeI,4337.046,1.56,96.45,4.59
46,FeI,4352.735,2.22,71.86,4.56
47,FeI,4375.93,0.0,139.02,4.75
