,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4786.81,3.02,-1.606000000,118.71,7.65,    0.0300
1,FeI,4787.83,3.0,-2.604000000,90.71,7.8,    0.1900
2,FeI,4788.76,3.24,-1.763000000,106.81,7.76,    0.1400
3,FeI,4793.96,3.05,-3.430000000,33.61,7.48,    0.1300
4,FeI,4794.35,2.42,-3.950000000,49.81,7.61,    0.0000
5,FeI,4799.41,3.64,-2.130000000,71.91,7.68,    0.0600
6,FeI,4802.88,3.64,-1.514000000,90.71,7.53,    0.0800
7,FeI,4808.15,3.25,-2.690000000,64.21,7.61,    0.0000
8,FeI,4809.94,3.57,-2.620000000,49.01,7.58,    0.0300
9,FeI,4839.54,3.27,-1.822000000,102.21,7.72,    0.1000
10,FeI,4843.14,3.4,-1.650000000,115.61,7.75,    0.1400
11,FeI,4848.88,2.28,-3.137000000,93.51,7.63,    0.0100
12,FeI,4855.67,3.37,-1.700000000,110.11,7.83,    0.2100
13,FeI,4869.46,3.55,-2.420000000,59.31,7.56,    0.0400
14,FeI,4875.88,3.33,-1.900000000,93.61,7.52,    0.0900
15,FeI,4877.6,3.0,-3.050000000,65.31,7.67,    0.0500
16,FeI,4882.14,3.42,-1.480000000,118.11,7.64,    0.0200
17,FeI,4885.43,3.88,-0.970000000,99.31,7.43,    0.1800
18,FeI,4892.86,4.22,-1.290000000,81.01,7.62,    0.0000
19,FeII,4893.81,2.83,-4.267000000,39.41,7.8,    0.3000
20,FeI,4905.13,3.93,-1.730000000,76.31,7.64,    0.0200
21,FeI,4907.73,3.43,-1.700000000,99.41,7.53,    0.0800
22,FeI,4911.53,4.26,-1.840000000,62.71,7.82,    0.2000
23,FeI,4911.78,3.93,-1.790000000,78.21,7.76,    0.1400
24,FeI,4917.23,4.19,-1.080000000,97.11,7.71,    0.0900
25,FeI,4918.01,4.23,-1.260000000,83.21,7.64,    0.0300
26,FeI,4950.1,3.42,-1.490000000,116.51,7.62,    0.0000
27,FeI,4961.91,3.63,-2.190000000,68.21,7.62,    0.0000
28,FeI,4962.57,4.18,-1.182000000,83.81,7.53,    0.0800
29,FeI,4969.92,4.22,-0.710000000,108.21,7.56,    0.0500
30,FeI,4986.22,4.22,-1.290000000,80.41,7.6,    0.0100
31,FeI,4992.78,4.26,-2.350000000,22.31,7.48,    0.1300
32,FeII,4993.35,2.81,-3.684000000,47.01,7.39,    0.1000
33,FeI,4999.11,4.19,-1.640000000,62.71,7.57,    0.0400
34,FeII,5000.73,2.78,-4.578000000,15.01,7.36,    0.1300
35,FeI,5002.79,3.4,-1.460000000,116.01,7.55,    0.0600
36,FeI,5012.7,4.28,-1.690000000,67.01,7.78,    0.1600
37,FeI,5023.19,4.28,-1.500000000,65.31,7.56,    0.0500
38,FeI,5023.5,4.31,-1.670000000,65.71,7.77,    0.1500
39,FeI,5029.62,3.42,-1.950000000,89.71,7.65,    0.0400
40,FeI,5030.78,3.24,-2.830000000,61.31,7.65,    0.0300
41,FeI,5031.91,4.37,-1.570000000,57.01,7.55,    0.0600
42,FeI,5036.92,3.02,-3.010000000,62.71,7.6,    0.0100
43,FeI,5044.21,2.85,-2.038000000,114.71,7.52,    0.0900
44,FeI,5048.44,3.96,-1.005000000,106.91,7.59,    0.0200
45,FeI,5058.5,3.64,-2.830000000,34.21,7.55,    0.0600
46,FeI,5065.19,3.64,-1.513000000,94.81,7.6,    0.0100
47,FeI,5067.15,4.22,-0.970000000,103.11,7.73,    0.1100
48,FeI,5088.15,4.15,-1.680000000,61.81,7.52,    0.0800
49,FeII,5100.66,2.81,-4.197000000,31.81,7.53,    0.0300
50,FeI,5104.44,4.28,-1.590000000,71.51,7.77,    0.1600
51,FeI,5109.65,4.3,-0.980000000,97.31,7.7,    0.0800
52,FeI,5115.78,3.57,-2.640000000,57.71,7.76,    0.1400
53,FeII,5132.66,2.81,-4.094000000,30.11,7.38,    0.1100
54,FeII,5136.8,2.84,-4.356000000,18.81,7.35,    0.1400
55,FeI,5143.72,2.2,-3.690000000,74.61,7.56,    0.0400
56,FeI,5145.09,2.2,-2.876000000,104.21,7.45,    0.1600
57,FeI,5180.06,4.47,-1.160000000,79.01,7.68,    0.0700
58,FeI,5217.92,3.64,-1.719000000,84.21,7.5,    0.1000
59,FeI,5228.38,4.22,-1.190000000,94.31,7.78,    0.1600
60,FeII,5234.62,3.22,-2.180000000,93.11,7.44,    0.0500
61,FeI,5236.2,4.19,-1.497000000,68.51,7.54,    0.0700
62,FeI,5242.49,3.63,-0.967000000,115.31,7.43,    0.1800
63,FeI,5243.78,4.26,-1.050000000,87.81,7.54,    0.0700
64,FeI,5253.02,2.28,-3.840000000,57.81,7.44,    0.1700
65,FeII,5256.93,2.89,-4.182000000,26.81,7.47,    0.0200
66,FeII,5264.8,3.23,-3.130000000,49.01,7.35,    0.1400
67,FeI,5267.27,4.37,-1.596000000,62.61,7.68,    0.0600
68,FeII,5284.1,2.89,-3.195000000,76.51,7.7,    0.2000
69,FeI,5285.13,4.43,-1.660000000,57.01,7.7,    0.0800
70,FeI,5288.52,3.7,-1.493000000,94.71,7.57,    0.0400
71,FeI,5293.96,4.14,-1.770000000,62.11,7.62,    0.0000
72,FeI,5294.55,3.64,-2.760000000,41.91,7.62,    0.0000
73,FeI,5295.31,4.42,-1.590000000,54.21,7.55,    0.0600
74,FeII,5316.78,3.22,-2.740000000,68.91,7.43,    0.0600
75,FeI,5320.04,3.64,-2.440000000,52.91,7.52,    0.0900
76,FeI,5322.04,2.28,-2.802000000,109.41,7.54,    0.0600
77,FeII,5325.55,3.22,-3.160000000,51.61,7.43,    0.0600
78,FeI,5326.14,3.57,-2.071000000,81.41,7.7,    0.0800
79,FeI,5329.99,4.08,-1.196000000,94.51,7.73,    0.1100
80,FeI,5373.71,4.47,-0.710000000,90.01,7.44,    0.1700
81,FeI,5376.83,4.29,-2.210000000,41.81,7.8,    0.1800
82,FeI,5379.57,3.7,-1.514000000,96.91,7.62,    0.0000
83,FeI,5386.33,4.15,-1.670000000,61.11,7.47,    0.1400
84,FeI,5401.27,4.32,-1.820000000,60.61,7.8,    0.1900
85,FeI,5403.82,4.08,-1.034000000,104.81,7.8,    0.1800
86,FeI,5406.78,4.37,-1.620000000,64.71,7.74,    0.1200
87,FeI,5409.13,4.37,-1.200000000,88.01,7.79,    0.1800
88,FeI,5412.78,4.43,-1.716000000,43.31,7.48,    0.1300
89,FeII,5414.07,3.22,-3.580000000,29.31,7.29,    0.2000
90,FeI,5417.03,4.42,-1.580000000,59.91,7.65,    0.0300
91,FeII,5425.25,3.2,-3.220000000,46.31,7.34,    0.1500
92,FeI,5432.95,4.45,-0.940000000,94.71,7.72,    0.1100
93,FeI,5436.3,4.39,-1.440000000,70.11,7.68,    0.0600
94,FeI,5436.59,2.28,-2.964000000,111.71,7.72,    0.1000
95,FeI,5441.34,4.31,-1.630000000,57.41,7.54,    0.0700
96,FeI,5461.55,4.45,-1.800000000,54.41,7.8,    0.1800
97,FeI,5466.4,4.37,-0.630000000,105.41,7.55,    0.0600
98,FeI,5466.99,3.57,-2.233000000,71.91,7.63,    0.0100
99,FeI,5470.09,4.45,-1.710000000,53.31,7.68,    0.0600
100,FeI,5472.71,4.21,-1.495000000,80.31,7.76,    0.1400
101,FeI,5473.16,4.19,-2.040000000,46.31,7.59,    0.0200
102,FeI,5473.9,4.15,-0.720000000,111.21,7.52,    0.0900
103,FeI,5483.1,4.15,-1.392000000,77.11,7.52,    0.0800
104,FeI,5487.14,4.42,-1.430000000,71.21,7.73,    0.1100
105,FeI,5491.83,4.19,-2.188000000,34.71,7.5,    0.1000
106,FeI,5493.5,4.1,-1.480000000,78.81,7.59,    0.0200
107,FeI,5494.46,4.08,-1.990000000,60.01,7.7,    0.0800
108,FeI,5522.45,4.21,-1.450000000,68.71,7.47,    0.1400
109,FeI,5525.54,4.23,-1.084000000,85.21,7.47,    0.1400
110,FeII,5534.84,3.24,-2.865000000,72.81,7.67,    0.1700
111,FeI,5536.58,2.83,-3.710000000,33.91,7.47,    0.1400
112,FeI,5538.52,4.22,-1.540000000,69.91,7.61,    0.0000
113,FeI,5539.28,3.64,-2.560000000,50.11,7.57,    0.0400
114,FeI,5539.82,4.29,-2.430000000,26.31,7.68,    0.0600
115,FeI,5543.15,3.7,-1.470000000,95.51,7.51,    0.0900
116,FeI,5543.94,4.22,-1.040000000,91.11,7.53,    0.0800
117,FeI,5546.51,4.37,-1.210000000,84.91,7.74,    0.1200
118,FeI,5549.95,3.7,-2.810000000,34.51,7.57,    0.0400
119,FeI,5552.69,4.96,-1.890000000,20.81,7.72,    0.1100
120,FeI,5559.64,4.99,-1.730000000,18.21,7.52,    0.0900
121,FeI,5560.21,4.43,-1.090000000,76.11,7.5,    0.1100
122,FeI,5584.76,3.57,-2.220000000,76.11,7.69,    0.0700
123,FeI,5587.57,4.14,-1.750000000,71.01,7.77,    0.1500
124,FeI,5600.22,4.26,-1.420000000,70.41,7.55,    0.0600
125,FeI,5618.63,4.21,-1.255000000,77.71,7.45,    0.1600
126,FeI,5619.6,4.39,-1.600000000,68.81,7.81,    0.2000
127,FeI,5633.95,4.99,-0.230000000,89.61,7.56,    0.0400
128,FeI,5635.82,4.26,-1.790000000,65.11,7.77,    0.1500
129,FeI,5636.7,3.64,-2.510000000,51.81,7.54,    0.0700
130,FeI,5638.26,4.22,-0.720000000,106.71,7.5,    0.1100
131,FeI,5641.43,4.26,-1.080000000,102.51,7.82,    0.2000
132,FeI,5649.99,5.1,-0.820000000,59.11,7.65,    0.0300
133,FeI,5650.7,5.09,-0.860000000,62.61,7.75,    0.1300
134,FeI,5651.47,4.47,-1.900000000,42.81,7.69,    0.0700
135,FeI,5652.32,4.26,-1.850000000,55.71,7.66,    0.0400
136,FeI,5653.86,4.39,-1.540000000,68.81,7.75,    0.1300
137,FeI,5655.18,5.06,-0.600000000,77.01,7.64,    0.0200
138,FeI,5655.49,4.26,-0.980000000,93.91,7.62,    0.0100
139,FeI,5661.34,4.28,-1.756000000,55.21,7.58,    0.0300
140,FeI,5679.02,4.65,-0.820000000,81.21,7.55,    0.0600
141,FeI,5686.53,4.55,-0.445000000,99.91,7.53,    0.0800
142,FeI,5691.5,4.3,-1.450000000,74.01,7.67,    0.0600
143,FeI,5696.09,4.55,-1.720000000,36.41,7.46,    0.1500
144,FeI,5698.02,3.64,-2.580000000,45.91,7.49,    0.1100
145,FeI,5705.46,4.3,-1.355000000,66.71,7.42,    0.1800
146,FeI,5712.13,3.42,-1.994000000,92.31,7.55,    0.0600
147,FeI,5717.83,4.28,-0.990000000,92.31,7.55,    0.0600
148,FeI,5731.76,4.26,-1.200000000,89.91,7.69,    0.0700
149,FeI,5732.3,4.99,-1.460000000,37.11,7.71,    0.1000
150,FeI,5741.85,4.26,-1.672000000,63.31,7.62,    0.0000
151,FeI,5742.96,4.18,-2.410000000,39.91,7.81,    0.1900
152,FeI,5754.4,3.64,-2.600000000,44.31,7.48,    0.1300
153,FeI,5760.34,3.64,-2.390000000,59.91,7.58,    0.0300
154,FeI,5837.7,4.29,-2.240000000,28.11,7.52,    0.0900
155,FeI,5838.37,3.94,-2.240000000,51.81,7.59,    0.0200
156,FeI,5849.68,3.7,-2.890000000,31.11,7.56,    0.0500
157,FeI,5853.15,1.48,-5.180000000,52.51,7.69,    0.0700
158,FeI,5855.08,4.61,-1.478000000,47.91,7.51,    0.1000
159,FeI,5856.09,4.29,-1.327000000,67.71,7.42,    0.1900
160,FeI,5858.78,4.22,-2.160000000,37.41,7.55,    0.0600
161,FeI,5873.21,4.26,-2.040000000,55.01,7.82,    0.2000
162,FeI,5879.49,4.61,-2.040000000,31.81,7.74,    0.1300
163,FeI,5880.03,4.56,-1.840000000,31.21,7.48,    0.1300
164,FeI,5881.28,4.61,-1.740000000,40.71,7.63,    0.0100
165,FeI,5883.82,3.96,-1.260000000,96.31,7.47,    0.1400
166,FeI,5898.22,4.73,-1.730000000,31.81,7.57,    0.0400
167,FeI,5905.67,4.65,-0.690000000,82.61,7.44,    0.1600
168,FeI,5909.97,3.21,-2.587000000,82.11,7.69,    0.0700
169,FeI,5916.25,2.45,-2.994000000,107.51,7.77,    0.1500
170,FeI,5927.79,4.65,-0.990000000,68.31,7.46,    0.1500
171,FeI,5929.68,4.55,-1.310000000,69.21,7.69,    0.0700
172,FeI,5930.18,4.65,-0.230000000,113.91,7.51,    0.0900
