,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,17.7
1,FeI,4174.92,0.915,54.0
2,FeI,4187.81,2.426,94.2
3,FeI,4216.19,0.0,79.1
4,FeI,4233.61,2.482,88.0
5,FeI,4258.32,0.087,40.6
6,FeI,4271.16,2.45,109.4
7,FeI,4347.24,0.0,5.8
8,FeI,4389.25,0.052,19.5
9,FeI,4442.35,2.198,78.8
10,FeI,4442.84,2.176,8.6
11,FeI,4447.73,2.223,72.6
12,FeI,4489.75,0.121,47.8
13,FeI,4531.16,1.485,65.1
14,FeI,4592.66,1.557,48.0
15,FeI,4602.01,1.608,15.0
16,FeI,4602.95,1.485,63.8
17,FeI,5083.34,0.958,62.0
18,FeI,5198.72,2.223,32.0
19,FeI,5216.28,1.608,60.0
20,FeI,5217.4,3.211,34.0
21,FeI,5307.37,1.608,22.0
22,FeI,5379.58,3.695,8.1
23,FeI,5701.56,2.559,18.0
24,FeI,5731.77,4.256,7.1
25,FeI,5859.6,4.549,8.5
26,FeI,5862.37,4.549,16.0
27,FeI,5930.19,4.652,14.0
28,FeI,5976.79,3.944,7.2
29,FeI,5984.83,4.733,11.3
30,FeI,6003.02,3.882,11.1
31,FeI,6027.06,4.076,6.9
32,FeI,6056.01,4.733,6.9
33,FeI,6065.49,2.609,47.3
34,FeI,6078.5,4.796,7.2
35,FeI,6137.0,2.198,8.1
36,FeI,6173.34,2.223,13.1
37,FeI,6200.32,2.609,15.8
38,FeI,6213.44,2.223,26.5
39,FeI,6219.29,2.198,27.0
40,FeI,6232.65,3.654,17.9
41,FeI,6246.33,3.603,37.2
42,FeI,6252.56,2.404,52.0
43,FeI,6265.14,2.176,24.9
44,FeI,6270.23,2.858,7.9
45,FeI,6322.69,2.588,16.4
46,FeI,6335.34,2.198,34.5
47,FeI,6411.66,3.654,44.7
48,FeI,6421.36,2.279,42.0
49,FeI,6481.88,2.279,8.0
50,FeI,6593.88,2.433,20.9
51,FeI,6750.16,2.424,12.6
52,FeII,4178.86,2.583,49.8
53,FeII,4491.4,2.856,29.7
54,FeII,4508.3,2.856,50.3
55,FeII,4541.52,2.856,19.8
56,FeII,4555.89,2.828,50.0
57,FeII,4576.34,2.844,21.5
58,FeII,4582.83,2.844,14.2
59,FeII,4620.52,2.828,13.2
60,FeII,4993.35,2.807,8.9
61,FeII,5197.58,3.231,38.0
62,FeII,5234.63,3.221,45.0
63,FeII,5264.81,3.339,11.0
64,FeII,5325.56,3.221,8.7
65,FeII,5534.85,3.245,10.2
66,FeII,5991.38,3.153,9.2
67,FeII,6149.25,3.889,6.7
68,FeII,6247.56,3.892,18.0
69,FeII,6432.68,2.891,7.1
70,FeII,6456.39,3.904,20.2
71,FeII,6516.08,2.891,11.0
