,obs_wavelength,element,obs_ew,obs_ep
0,4063.59,FeI,65.5,1.56
1,4071.74,FeI,58.0,1.61
2,4132.06,FeI,34.4,1.61
3,4175.64,FeI,6.8,2.85
4,4181.76,FeI,14.0,2.83
5,4191.43,FeI,6.5,2.47
6,4227.43,FeI,20.9,3.33
7,4250.79,FeI,26.4,1.56
8,4271.76,FeI,64.8,1.49
9,4315.09,FeI,15.2,2.2
10,4404.75,FeI,60.3,1.56
11,4415.12,FeI,31.5,1.61
12,4736.77,FeI,4.9,3.21
13,4871.32,FeI,8.4,2.87
14,4918.99,FeI,14.1,2.86
15,4920.5,FeI,22.6,2.83
16,5216.27,FeI,4.3,1.61
17,5232.94,FeI,19.0,2.94
18,5266.56,FeI,5.9,3.0
19,5269.54,FeI,45.1,0.86
20,5324.18,FeI,7.8,3.21
21,5328.04,FeI,39.9,0.91
22,5339.93,FeI,4.9,3.26
23,5341.02,FeI,6.3,1.61
24,5371.49,FeI,26.3,0.96
25,5397.13,FeI,11.0,0.91
26,5405.78,FeI,14.4,0.99
27,5429.7,FeI,22.8,0.96
28,5434.52,FeI,7.7,1.01
29,5615.64,FeI,8.1,3.33
30,4178.86,FeII,11.6,2.58
31,4233.17,FeII,18.5,2.58
32,4522.63,FeII,9.3,2.84
33,4541.52,FeII,4.4,2.86
34,4549.47,FeII,41.0,2.83
35,4576.34,FeII,4.9,2.84
36,5018.44,FeII,32.0,2.89
