#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:15:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6140058ddf685	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea1}&key:source=J/A+A/592/A70/tablea1&HTTPPRM:&
#-source=J/A+A/592/A70/tablea1
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea1:
#Name: J/A+A/592/A70/tablea1
#Title: BD+26 4251 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|10.221| 6.166|      |  9.600|       | 10.016| 11.230|  6.142|       |  6.160|  6.197
Fe1|4802.88| 7.600| 6.095|      |  7.800|       |  5.873|  9.220|  6.161|       |  6.020|  6.104
Fe1|4907.73| 6.351| 6.195|      |  7.000|       |  6.885|  6.040|  6.231|       |  6.080|  6.274
Fe1|4924.77|26.051| 6.242| 0.030| 25.800| 27.410| 25.305| 26.270|  6.231|  6.245|  6.220|  6.271
Fe1|4939.69|36.337| 6.276| 0.040| 36.700| 37.810| 35.876| 35.920|  6.263|  6.261|  6.250|  6.332
Fe1|4946.39|25.267| 6.158| 0.020| 25.500| 25.310| 25.665| 25.110|  6.166|  6.139|  6.110|  6.218
Fe1|4950.11|10.304| 6.183| 0.020| 11.100| 10.310|  9.355| 10.710|  6.269|       |  6.000|  6.280
Fe1|4962.57| 5.571| 6.200|      |       |       |  6.548|  6.060|       |       |  6.220|  6.180
Fe1|4969.92|14.606| 6.181| 0.020| 13.500| 15.310| 15.081| 15.770|  6.134|       |  6.190|  6.219
Fe1|5044.21|11.830| 6.163| 0.020| 11.300| 11.610| 11.983| 12.860|  6.121|       |  6.150|  6.217
Fe1|5107.45|45.030| 6.252| 0.040|       | 44.110|       | 47.280|       |  6.256|       |  6.248
Fe1|5107.64|49.066| 6.165| 0.030| 48.100| 48.510| 48.029| 52.470|  6.159|  6.146|  6.160|  6.197
Fe1|5127.36|36.250| 6.280| 0.040| 36.100| 37.810| 35.870| 35.670|  6.261|  6.273|  6.260|  6.325
Fe1|5131.47|16.914| 6.245| 0.030| 16.200| 17.910| 17.379| 17.040|  6.201|       |  6.240|  6.293
Fe1|5198.71|30.028| 6.195| 0.030| 30.100| 29.910| 30.471| 29.670|  6.181|  6.155|  6.190|  6.253
Fe1|5217.39|33.468| 6.114| 0.030| 32.300| 34.110| 34.343| 33.270|  6.085|  6.105|  6.100|  6.167
Fe1|5225.53|11.736| 6.313| 0.030| 10.700| 12.610| 11.636| 12.260|  6.270|       |  6.320|  6.349
Fe1|5242.49|22.680| 6.153| 0.020| 22.500| 22.610| 23.032| 22.490|  6.139|  6.118|  6.150|  6.204
Fe1|5243.78| 6.571| 6.214|      |  6.700|       |  7.949|  6.590|  6.161|       |  6.240|  6.242
Fe1|5253.46|12.258| 6.120| 0.020| 12.100| 11.810| 13.071| 12.340|  6.077|       |  6.120|  6.163
Fe1|5322.04| 6.579| 6.057|      |  5.600|       |  6.169|  7.840|  6.009|       |  6.050|  6.112
