,obs_wavelength,element,obs_ep,obs_ew,abund
0,4924.77,FeI,2.28,27.41,6.245
1,4939.69,FeI,0.86,37.81,6.261
2,4946.39,FeI,3.37,25.31,6.139
3,4950.11,FeI,3.42,10.31,
4,4969.92,FeI,4.22,15.31,
5,5044.21,FeI,2.85,11.61,
6,5107.45,FeI,0.99,44.11,6.256
7,5107.64,FeI,1.56,48.51,6.146
8,5127.36,FeI,0.92,37.81,6.273
9,5131.47,FeI,2.22,17.91,
10,5198.71,FeI,2.22,29.91,6.155
11,5217.39,FeI,3.21,34.11,6.105
12,5225.53,FeI,0.11,12.61,
13,5242.49,FeI,3.63,22.61,6.118
14,5253.46,FeI,3.28,11.81,
15,5389.48,FeI,4.42,16.31,
16,5398.28,FeI,4.45,11.31,
17,5466.4,FeI,4.37,14.91,
18,5473.9,FeI,4.15,14.21,
19,5576.09,FeI,3.43,34.21,6.089
20,5638.26,FeI,4.22,12.71,
21,5662.52,FeI,4.18,21.41,6.167
22,5701.54,FeI,2.56,15.61,
23,6065.48,FeI,2.61,47.51,6.232
24,6200.31,FeI,2.61,10.41,
25,6219.28,FeI,2.2,22.21,6.201
26,6252.56,FeI,2.4,49.21,6.238
27,6265.13,FeI,2.18,19.21,
28,6297.79,FeI,2.22,13.31,
29,6322.69,FeI,2.59,10.91,
30,6335.33,FeI,2.2,30.11,6.132
31,6430.85,FeI,2.18,43.91,6.223
32,6593.87,FeI,2.43,16.41,
33,5883.82,FeI,3.96,10.61,
34,6003.01,FeI,3.88,13.41,
35,6246.32,FeI,3.6,33.01,6.082
36,6336.82,FeI,3.69,25.21,6.063
37,6393.6,FeI,2.43,55.41,6.134
38,4994.13,FeI,0.92,47.51,6.231
39,5302.3,FeI,3.28,46.61,6.016
40,5339.93,FeI,3.27,50.81,6.021
41,5083.34,FeI,0.96,52.01,6.24
42,5445.04,FeI,4.39,36.21,6.129
43,5264.81,FeII,3.23,11.71,
44,5316.78,FeII,3.22,23.01,6.237
45,5534.85,FeII,3.25,18.31,
46,6456.38,FeII,3.9,26.21,6.359
