,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,9.6,6.142
1,4802.88,FeI,3.64,7.8,6.161
2,4907.73,FeI,3.43,7.0,6.231
3,4924.77,FeI,2.28,25.8,6.231
4,4939.69,FeI,0.86,36.7,6.263
5,4946.39,FeI,3.37,25.5,6.166
6,4950.11,FeI,3.42,11.1,6.269
7,4969.92,FeI,4.22,13.5,6.134
8,5044.21,FeI,2.85,11.3,6.121
9,5107.64,FeI,1.56,48.1,6.159
10,5127.36,FeI,0.92,36.1,6.261
11,5131.47,FeI,2.22,16.2,6.201
12,5198.71,FeI,2.22,30.1,6.181
13,5217.39,FeI,3.21,32.3,6.085
14,5225.53,FeI,0.11,10.7,6.27
15,5242.49,FeI,3.63,22.5,6.139
16,5243.78,FeI,4.26,6.7,6.161
17,5253.46,FeI,3.28,12.1,6.077
18,5322.04,FeI,2.28,5.6,6.009
19,5373.71,FeI,4.47,7.4,6.11
20,5379.57,FeI,3.69,6.5,6.098
21,5389.48,FeI,4.42,16.8,6.11
22,5398.28,FeI,4.45,10.8,6.135
23,5466.4,FeI,4.37,13.3,6.169
24,5473.9,FeI,4.15,13.8,6.153
25,5543.94,FeI,4.22,6.4,6.086
26,5576.09,FeI,3.43,33.6,6.094
27,5638.26,FeI,4.22,12.0,6.117
28,5662.52,FeI,4.18,20.8,6.169
29,5679.02,FeI,4.65,5.6,6.192
30,5701.54,FeI,2.56,15.0,6.124
31,5731.76,FeI,4.26,5.6,6.212
32,6065.48,FeI,2.61,47.3,6.24
33,6136.99,FeI,2.2,8.3,6.229
34,6173.33,FeI,2.22,9.7,6.257
35,6200.31,FeI,2.61,10.3,6.199
36,6219.28,FeI,2.2,22.0,6.214
37,6265.13,FeI,2.18,19.1,6.229
38,6297.79,FeI,2.22,12.6,6.239
39,6322.69,FeI,2.59,11.3,6.217
40,6335.33,FeI,2.2,29.8,6.141
41,6430.85,FeI,2.18,44.5,6.245
42,6481.87,FeI,2.28,6.9,6.233
43,6593.87,FeI,2.43,16.3,6.239
44,6609.11,FeI,2.56,7.1,6.214
45,5883.82,FeI,3.96,10.5,6.29
46,5905.67,FeI,4.65,6.3,6.11
47,6003.01,FeI,3.88,13.1,6.185
48,6496.47,FeI,4.8,7.8,6.163
49,6246.32,FeI,3.6,32.7,6.089
50,6336.82,FeI,3.69,24.9,6.072
51,6393.6,FeI,2.43,55.5,6.14
52,4994.13,FeI,0.92,47.0,6.244
53,5302.3,FeI,3.28,45.6,6.012
54,5339.93,FeI,3.27,50.5,6.027
55,5083.34,FeI,0.96,51.0,6.24
56,5445.04,FeI,4.39,35.6,6.134
57,4993.36,FeII,2.81,6.8,6.203
58,5264.81,FeII,3.23,10.4,6.233
59,6456.38,FeII,3.9,25.1,6.347
60,6432.68,FeII,2.89,10.0,6.29
