,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,10.016,6.16
1,4802.88,FeI,3.64,5.873,6.02
2,4907.73,FeI,3.43,6.885,6.08
3,4924.77,FeI,2.28,25.305,6.22
4,4939.69,FeI,0.86,35.876,6.25
5,4946.39,FeI,3.37,25.665,6.11
6,4950.11,FeI,3.42,9.355,6.0
7,4962.57,FeI,4.18,6.548,6.22
8,4969.92,FeI,4.22,15.081,6.19
9,5044.21,FeI,2.85,11.983,6.15
10,5107.64,FeI,1.56,48.029,6.16
11,5127.36,FeI,0.92,35.87,6.26
12,5131.47,FeI,2.22,17.379,6.24
13,5198.71,FeI,2.22,30.471,6.19
14,5217.39,FeI,3.21,34.343,6.1
15,5225.53,FeI,0.11,11.636,6.32
16,5242.49,FeI,3.63,23.032,6.15
17,5243.78,FeI,4.26,7.949,6.24
18,5253.46,FeI,3.28,13.071,6.12
19,5322.04,FeI,2.28,6.169,6.05
20,5373.71,FeI,4.47,8.49,6.12
21,5379.57,FeI,3.69,7.935,6.19
22,5389.48,FeI,4.42,18.5,6.16
23,5398.28,FeI,4.45,12.635,6.21
24,5466.4,FeI,4.37,15.306,6.24
25,5473.9,FeI,4.15,15.274,6.13
26,5543.94,FeI,4.22,7.114,6.13
27,5560.21,FeI,4.43,5.74,6.28
28,5576.09,FeI,3.43,36.363,6.15
29,5618.63,FeI,4.21,5.897,6.25
30,5633.95,FeI,4.99,8.467,6.1
31,5638.26,FeI,4.22,12.973,6.1
32,5662.52,FeI,4.18,23.163,6.1
33,5679.02,FeI,4.65,6.936,6.29
34,5701.54,FeI,2.56,16.438,6.17
35,5731.76,FeI,4.26,7.204,6.33
36,6065.48,FeI,2.61,44.655,6.19
37,6136.99,FeI,2.2,8.479,6.24
38,6173.33,FeI,2.22,10.137,6.28
39,6200.31,FeI,2.61,10.57,6.21
40,6219.28,FeI,2.2,21.512,6.2
41,6252.56,FeI,2.4,47.666,6.22
42,6265.13,FeI,2.18,19.134,6.23
43,6297.79,FeI,2.22,13.37,6.27
44,6322.69,FeI,2.59,11.619,6.23
45,6335.33,FeI,2.2,29.449,6.13
46,6430.85,FeI,2.18,42.746,6.21
47,6481.87,FeI,2.28,7.904,6.3
48,6593.87,FeI,2.43,15.762,6.22
49,6609.11,FeI,2.56,7.986,6.27
50,5883.82,FeI,3.96,10.688,6.3
51,5905.67,FeI,4.65,8.532,6.25
52,6003.01,FeI,3.88,13.572,6.18
53,6496.47,FeI,4.8,8.502,6.2
54,6246.32,FeI,3.6,32.734,6.08
55,6336.82,FeI,3.69,25.153,6.07
56,6393.6,FeI,2.43,54.4,6.12
57,4994.13,FeI,0.92,46.636,6.24
58,5302.3,FeI,3.28,48.248,6.08
59,5339.93,FeI,3.27,53.996,6.06
60,5083.34,FeI,0.96,50.812,6.24
61,5445.04,FeI,4.39,38.277,6.19
62,4993.36,FeII,2.81,7.875,6.27
63,5264.81,FeII,3.23,11.976,6.3
64,5316.78,FeII,3.22,20.659,6.19
65,5414.07,FeII,3.22,4.731,6.29
66,5425.26,FeII,3.2,9.175,6.22
67,5534.85,FeII,3.25,19.563,6.3
68,6456.38,FeII,3.9,24.554,6.33
69,6432.68,FeII,2.89,9.848,6.28
