#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:40:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbba9b4c31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea2}&key:source=J/A+A/592/A70/tablea2&HTTPPRM:&
#-source=J/A+A/592/A70/tablea2
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea2:
#Name: J/A+A/592/A70/tablea2
#Title: HD 102200 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|11.959| 6.291| 0.040| 12.400| 13.510| 12.343| 11.500|  6.307|       |  6.280|  6.286
Fe1|4802.88| 8.648| 6.201|      |  9.100|       |  7.822|  9.800|  6.269|       |  6.170|  6.164
Fe1|4875.88| 7.913| 6.139|      |  7.800|       |  7.493| 10.360|  6.313|       |  6.250|  5.854
Fe1|4907.73| 7.873| 6.270|      |  8.500|       |  8.059|  7.560|  6.361|       |  6.170|  6.280
Fe1|4924.77|28.026| 6.314| 0.050| 28.000| 29.310| 27.783| 28.020|  6.331|  6.305|  6.300|  6.321
Fe1|4939.69|38.034| 6.334| 0.050| 38.700| 39.810| 37.510| 37.180|  6.362|  6.324|  6.310|  6.339
Fe1|4946.39|28.538| 6.246| 0.040| 28.500| 29.410| 28.737| 28.410|  6.280|  6.249|  6.200|  6.254
Fe1|4950.11|12.241| 6.266| 0.040| 13.000| 13.210| 11.299| 13.200|  6.387|       |  6.110|  6.301
Fe1|4962.57| 6.626| 6.295|      |  6.600|       |  7.729|  6.890|  6.256|       |  6.310|  6.320
Fe1|4969.92|16.548| 6.280| 0.040| 16.200| 17.010| 17.126| 16.750|  6.261|       |  6.270|  6.308
Fe1|5044.21|13.714| 6.258| 0.040| 13.100| 13.910| 14.071| 14.730|  6.240|       |  6.250|  6.283
Fe1|5107.45|49.063| 6.320| 0.050|       | 46.910|       | 53.980|       |  6.336|       |  6.305
Fe1|5127.36|37.711| 6.334| 0.060| 37.700| 38.910| 37.455| 37.070|  6.351|  6.316|  6.320|  6.349
Fe1|5131.47|19.286| 6.332| 0.040| 18.900| 19.910| 19.301| 19.550|  6.333|       |  6.320|  6.343
Fe1|5166.28|39.365| 6.382| 0.050| 39.800| 40.610| 38.320| 39.880|  6.415|  6.370|  6.360|  6.384
Fe1|5198.71|33.150| 6.277| 0.040| 33.000| 33.610| 33.167| 32.770|  6.293|  6.253|  6.270|  6.292
Fe1|5217.39|36.624| 6.200| 0.050| 35.900| 37.210| 37.090| 36.390|  6.208|  6.188|  6.180|  6.224
Fe1|5225.53|12.364| 6.396| 0.050| 11.900| 12.510| 12.385| 12.140|  6.388|       |  6.380|  6.421
Fe1|5242.49|26.242| 6.250| 0.040| 26.000| 26.410| 26.019| 26.230|  6.264|  6.226|  6.240|  6.270
Fe1|5243.78| 8.269| 6.296|      |  8.200|       |  8.976|  8.690|  6.287|       |  6.310|  6.291
Fe1|5250.21| 9.938| 6.429|      |  9.400|       |  9.273| 10.380|  6.425|       |  6.390|  6.472
