#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:51:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd0b424b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea3}&key:source=J/A+A/592/A70/tablea3&HTTPPRM:&
#-source=J/A+A/592/A70/tablea3
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea3:
#Name: J/A+A/592/A70/tablea3
#Title: HD 106038 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|10.507| 6.167| 0.020|  9.400| 10.310| 11.108| 12.990|  6.130|       |  6.210|  6.161
Fe1|4802.88| 7.564| 6.109|      |  8.200|       |  6.409|  8.650|  6.184|       |  6.060|  6.083
Fe1|4875.88| 8.570| 6.068|      |  7.200|       |  6.833| 12.070|  6.235|       |  6.190|  5.780
Fe1|4907.73| 6.309| 6.198|      |  6.900|       |  7.512|  5.920|  6.223|       |  6.120|  6.252
Fe1|4924.77|26.012| 6.234| 0.020| 25.900| 27.610| 25.532| 26.420|  6.228|  6.245|  6.220|  6.242
Fe1|4939.69|35.757| 6.251| 0.030| 36.200| 37.210| 35.323| 35.230|  6.246|  6.243|  6.230|  6.284
Fe1|4946.39|24.585| 6.133| 0.020| 24.700| 24.810| 25.193| 24.510|  6.141|  6.122|  6.090|  6.178
Fe1|4950.11|10.274| 6.185| 0.020| 10.900| 10.410| 10.017| 11.160|  6.257|       |  6.030|  6.268
Fe1|4962.57| 6.723| 6.250|      |  6.000|       |  7.127|  7.860|  6.181|       |  6.260|  6.310
Fe1|4969.92|13.430| 6.137| 0.020| 12.400| 14.110| 14.058| 14.350|  6.090|       |  6.150|  6.172
Fe1|5044.21|11.388| 6.126| 0.020| 10.600| 11.210| 11.879| 12.760|  6.087|       |  6.140|  6.151
Fe1|5107.45|44.803| 6.231| 0.030|       | 43.610|       | 47.600|       |  6.238|       |  6.225
Fe1|5107.64|49.547| 6.146| 0.030| 48.100| 48.510| 48.101| 54.320|  6.149|  6.137|  6.150|  6.148
Fe1|5127.36|35.174| 6.245| 0.030| 34.900| 36.510| 34.860| 34.530|  6.229|  6.239|  6.230|  6.284
Fe1|5131.47|17.488| 6.243| 0.020| 16.500| 18.310| 17.844| 18.180|  6.207|       |  6.250|  6.273
Fe1|5166.28|38.707| 6.317|      | 38.800| 39.910| 37.282| 40.220|  6.325|  6.325|  6.300|  6.318
Fe1|5198.71|29.161| 6.161| 0.020| 29.200| 28.910| 29.461| 28.980|  6.155|  6.127|  6.160|  6.203
Fe1|5217.39|33.437| 6.095| 0.020| 32.000| 33.910| 34.433| 33.790|  6.070|  6.091|  6.090|  6.128
Fe1|5225.53|12.627| 6.325|      | 11.300| 13.110| 11.597| 13.630|  6.291|       |  6.310|  6.374
Fe1|5242.49|22.438| 6.138| 0.020| 22.300| 22.310| 22.838| 22.540|  6.131|  6.108|  6.140|  6.173
Fe1|5243.78| 6.133| 6.177|      |  6.300|       |  7.492|  6.300|  6.132|       |  6.210|  6.190
