,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,11.108,6.21
1,4802.88,FeI,3.64,6.409,6.06
2,4875.88,FeI,3.33,6.833,6.19
3,4907.73,FeI,3.43,7.512,6.12
4,4924.77,FeI,2.28,25.532,6.22
5,4939.69,FeI,0.86,35.323,6.23
6,4946.39,FeI,3.37,25.193,6.09
7,4950.11,FeI,3.42,10.017,6.03
8,4962.57,FeI,4.18,7.127,6.26
9,4969.92,FeI,4.22,14.058,6.15
10,5044.21,FeI,2.85,11.879,6.14
11,5107.64,FeI,1.56,48.101,6.15
12,5127.36,FeI,0.92,34.86,6.23
13,5131.47,FeI,2.22,17.844,6.25
14,5166.28,FeI,0.0,37.282,6.3
15,5198.71,FeI,2.22,29.461,6.16
16,5217.39,FeI,3.21,34.433,6.09
17,5225.53,FeI,0.11,11.597,6.31
18,5242.49,FeI,3.63,22.838,6.14
19,5243.78,FeI,4.26,7.492,6.21
20,5250.21,FeI,0.12,8.64,6.32
21,5253.46,FeI,3.28,12.711,6.1
22,5322.04,FeI,2.28,5.85,6.02
23,5373.71,FeI,4.47,8.897,6.14
24,5379.57,FeI,3.69,7.82,6.18
25,5389.48,FeI,4.42,18.66,6.16
26,5398.28,FeI,4.45,13.205,6.23
27,5466.4,FeI,4.37,14.832,6.22
28,5473.9,FeI,4.15,14.531,6.1
29,5543.94,FeI,4.22,7.914,6.18
30,5560.21,FeI,4.43,5.868,6.29
31,5576.09,FeI,3.43,36.592,6.14
32,5633.95,FeI,4.99,9.01,6.13
33,5638.26,FeI,4.22,12.313,6.07
34,5662.52,FeI,4.18,22.627,6.08
35,5701.54,FeI,2.56,15.969,6.15
36,5731.76,FeI,4.26,6.928,6.31
37,5927.79,FeI,4.65,4.576,6.26
38,6065.48,FeI,2.61,44.318,6.17
39,6136.99,FeI,2.2,8.73,6.25
40,6173.33,FeI,2.22,9.088,6.22
41,6200.31,FeI,2.61,10.457,6.2
42,6219.28,FeI,2.2,21.338,6.19
43,6252.56,FeI,2.4,47.33,6.2
44,6265.13,FeI,2.18,17.706,6.18
45,6297.79,FeI,2.22,12.047,6.21
46,6322.69,FeI,2.59,11.501,6.22
47,6335.33,FeI,2.2,29.303,6.12
48,6481.87,FeI,2.28,8.965,6.36
49,5653.87,FeI,4.39,3.04,6.4
50,5930.18,FeI,4.65,23.25,6.3
51,6003.01,FeI,3.88,13.691,6.18
52,6165.36,FeI,4.14,4.835,6.3
53,6496.47,FeI,4.8,8.712,6.21
54,5215.18,FeI,3.27,39.061,6.01
55,6246.32,FeI,3.6,33.362,6.08
56,6270.22,FeI,2.86,6.911,6.27
57,6336.82,FeI,3.69,24.288,6.04
58,6393.6,FeI,2.43,53.291,6.08
59,6301.5,FeI,3.65,32.715,6.06
60,5339.93,FeI,3.27,53.682,6.03
61,5367.47,FeI,4.42,50.207,5.93
62,4993.36,FeII,2.81,6.742,6.25
63,5264.81,FeII,3.23,10.734,6.3
64,5316.78,FeII,3.22,18.485,6.18
65,5425.26,FeII,3.2,7.7,6.19
66,5534.85,FeII,3.25,16.829,6.27
67,6456.38,FeII,3.9,22.433,6.33
68,6432.68,FeII,2.89,8.135,6.24
