#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:21:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61400726e432b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea4}&key:source=J/A+A/592/A70/tablea4&HTTPPRM:&
#-source=J/A+A/592/A70/tablea4
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea4:
#Name: J/A+A/592/A70/tablea4
#Title: HD 126681 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|23.525| 6.358| 0.010| 25.600| 26.010| 21.758| 23.460|  6.386|  6.365|  6.270|  6.412
Fe1|4802.88|18.183| 6.275| 0.010| 18.300| 18.710| 14.897| 20.830|  6.333|       |  6.200|  6.292
Fe1|4875.88|15.689| 6.382| 0.010| 17.300| 14.410| 17.003| 16.530|  6.380|       |  6.340|  6.425
Fe1|4907.73|15.955| 6.354| 0.010| 16.500| 15.910| 17.241| 16.070|  6.369|       |  6.230|  6.462
Fe1|4950.11|24.912| 6.372| 0.010| 25.100| 24.910| 26.129| 24.930|  6.410|  6.369|  6.230|  6.480
Fe1|4962.57|12.514| 6.339| 0.010| 11.600| 12.710| 13.941| 13.020|  6.267|       |  6.350|  6.401
Fe1|4969.92|28.457| 6.315| 0.010| 27.000| 29.010| 29.422| 28.590|  6.274|  6.282|  6.310|  6.393
Fe1|5044.21|28.766| 6.303| 0.010| 28.100| 28.710| 28.864| 29.490|  6.282|  6.258|  6.280|  6.394
Fe1|5131.47|39.335| 6.390| 0.010| 38.000| 40.810| 39.252| 39.490|  6.353|  6.374|  6.370|  6.463
Fe1|5225.53|37.066| 6.474|      | 35.900| 39.210| 35.882| 37.100|  6.437|  6.477|  6.440|  6.544
Fe1|5242.49|42.314| 6.310| 0.010| 42.200| 42.310| 43.222| 40.840|  6.295|  6.264|  6.300|  6.383
Fe1|5243.78|14.887| 6.372| 0.010| 15.200| 14.510| 16.506| 14.270|  6.333|       |  6.370|  6.414
Fe1|5250.21|29.248| 6.469|      | 29.900| 29.210| 28.812| 28.480|  6.461|  6.414|  6.440|  6.561
Fe1|5253.46|29.214| 6.266| 0.010| 28.700| 28.310| 30.887| 28.540|  6.240|  6.195|  6.270|  6.358
Fe1|5322.04|19.389| 6.250| 0.010| 17.800| 19.810| 19.124| 20.570|  6.214|       |  6.230|  6.306
Fe1|5373.71|17.506| 6.319| 0.010| 16.100| 17.410| 18.794| 18.020|  6.275|       |  6.290|  6.391
Fe1|5379.57|16.576| 6.331| 0.010| 15.900| 16.210| 17.547| 16.600|  6.278|       |  6.320|  6.394
Fe1|5389.48|33.504| 6.287| 0.010| 32.300| 32.010| 36.378| 32.580|  6.250|  6.207|  6.310|  6.382
Fe1|5398.28|23.413| 6.322| 0.010| 22.100| 22.310| 25.353| 23.510|  6.284|  6.258|  6.350|  6.398
Fe1|5466.40|28.839| 6.364| 0.010| 26.800| 28.510| 29.553| 29.270|  6.319|  6.324|  6.370|  6.442
