#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:51:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd3d51ac	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea5}&key:source=J/A+A/592/A70/tablea5&HTTPPRM:&
#-source=J/A+A/592/A70/tablea5
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea5:
#Name: J/A+A/592/A70/tablea5
#Title: HD 175305 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|34.188| 6.056| 0.050| 35.300| 35.210| 34.107| 35.360|  6.055|  6.034|  6.020|  6.113
Fe1|4802.88|24.902| 6.018| 0.040| 25.900| 25.710| 22.965| 25.730|  6.049|  6.025|  5.960|  6.038
Fe1|4875.88|27.690| 6.158|      | 27.700|       | 26.739| 29.650|  6.143|       |  6.100|  6.232
Fe1|4907.73|26.494| 6.135| 0.040| 27.200| 26.710| 26.923| 27.670|  6.158|  6.132|  6.000|  6.250
Fe1|4950.11|36.650| 6.140| 0.040| 36.900| 36.810| 37.802| 37.950|  6.173|  6.158|  6.000|  6.228
Fe1|4962.57|15.705| 6.037| 0.040| 15.100| 15.710| 16.306| 16.380|  5.990|       |  6.020|  6.102
Fe1|4969.92|35.143| 6.085| 0.050| 34.600| 35.610| 35.832| 35.740|  6.049|  6.058|  6.070|  6.163
Fe1|5044.21|44.090| 6.059| 0.050| 43.400| 44.510| 44.463| 44.690|  6.028|  6.036|  6.040|  6.131
Fe1|5197.94| 8.727| 6.182|      |  7.200|       |  8.281| 10.450|  6.107|       |  6.180|  6.259
Fe1|5243.78|19.747| 6.091| 0.050| 19.100| 18.610| 19.771| 21.970|  6.056|       |  6.070|  6.146
Fe1|5253.46|42.122| 6.018| 0.050| 40.400| 40.710| 43.425| 43.690|  5.974|  5.969|  6.030|  6.099
Fe1|5295.31| 6.694| 6.188|      |  5.700|       |  5.984|  8.160|  6.168|       |  6.200|  6.196
Fe1|5373.71|20.873| 6.049| 0.040| 19.700| 19.810| 21.745| 22.280|  6.014|       |  6.010|  6.123
Fe1|5379.57|23.048| 6.010| 0.040| 21.800| 21.610| 24.054| 24.320|  5.973|  5.950|  6.020|  6.099
Fe1|5386.33| 6.561| 6.033|      |       |       |  6.765|  7.310|       |       |  6.030|  6.036
Fe1|5389.48|38.756| 6.032| 0.050| 36.900| 37.110| 40.083| 40.410|  5.992|  5.983|  6.050|  6.103
Fe1|5398.28|29.265| 6.086| 0.040| 27.100| 27.810| 29.826| 31.870|  6.040|  6.043|  6.100|  6.161
Fe1|5441.34| 8.284| 6.125|      |  6.800|       |  7.317| 10.150|  6.174|       |  6.220|  6.364
Fe1|5466.40|34.298| 6.062| 0.040| 32.900| 32.910| 35.537| 35.180|  6.081|  6.071|  6.140|  6.209
Fe1|5473.90|36.499| 6.156| 0.040| 34.900| 35.110| 38.167| 37.250|  6.043|  6.037|  6.030|  6.139
Fe1|5522.45|11.065| 6.074|      |       |       | 11.254| 12.490|       |       |  6.120|  6.193
