,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,35.21,6.034
1,4802.88,FeI,3.64,25.71,6.025
2,4907.73,FeI,3.43,26.71,6.132
3,4950.11,FeI,3.42,36.81,6.158
4,4962.57,FeI,4.18,15.71,
5,4969.92,FeI,4.22,35.61,6.058
6,5044.21,FeI,2.85,44.51,6.036
7,5243.78,FeI,4.26,18.61,
8,5253.46,FeI,3.28,40.71,5.969
9,5373.71,FeI,4.47,19.81,
10,5379.57,FeI,3.69,21.61,5.95
11,5389.48,FeI,4.42,37.11,5.983
12,5398.28,FeI,4.45,27.81,6.043
13,5466.4,FeI,4.37,32.91,6.071
14,5473.9,FeI,4.15,35.11,6.037
15,5543.94,FeI,4.22,20.61,6.02
16,5546.51,FeI,4.37,13.31,
17,5560.21,FeI,4.43,13.31,
18,5633.95,FeI,4.99,18.01,
19,5638.26,FeI,4.22,31.21,6.003
20,5679.02,FeI,4.65,16.71,
21,5731.76,FeI,4.26,16.11,
22,5956.69,FeI,0.86,38.71,6.157
23,6136.99,FeI,2.2,41.61,6.092
24,6151.62,FeI,2.18,24.51,6.059
25,6173.33,FeI,2.22,43.31,6.079
26,6200.31,FeI,2.61,41.81,6.042
27,6297.79,FeI,2.22,50.81,6.068
28,6322.69,FeI,2.59,50.31,6.166
29,6481.87,FeI,2.28,34.71,6.063
30,6593.87,FeI,2.43,55.71,6.062
31,6609.11,FeI,2.56,33.41,6.062
32,5883.82,FeI,3.96,23.81,6.023
33,5905.67,FeI,4.65,16.01,
34,5930.18,FeI,4.65,37.31,6.052
35,6003.01,FeI,3.88,36.61,6.07
36,6165.36,FeI,4.14,11.61,
37,6187.99,FeI,3.94,11.31,
38,6496.47,FeI,4.8,16.91,
39,6270.22,FeI,2.86,22.31,5.947
40,6336.82,FeI,3.69,57.51,5.96
41,4993.36,FeII,2.81,21.61,6.032
42,5264.81,FeII,3.23,26.91,6.063
43,5316.78,FeII,3.22,46.81,6.09
44,5414.07,FeII,3.22,11.21,
45,5425.26,FeII,3.2,21.31,5.973
46,5534.85,FeII,3.25,38.11,6.056
47,6456.38,FeII,3.9,39.91,6.119
48,5991.38,FeII,3.15,14.11,
