#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:16:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61400609e0de8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea6}&key:source=J/A+A/592/A70/tablea6&HTTPPRM:&
#-source=J/A+A/592/A70/tablea6
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea6:
#Name: J/A+A/592/A70/tablea6
#Title: HD 196892 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|22.316| 6.549| 0.030| 22.300| 23.510| 21.636| 23.510|  6.567|  6.548|  6.540|  6.541
Fe1|4802.88|15.585| 6.416| 0.030| 16.000| 15.610| 12.635| 18.260|  6.500|       |  6.360|  6.389
Fe1|4875.88|13.403| 6.458| 0.030| 14.400| 10.610| 12.528| 17.590|  6.553|       |  6.450|  6.370
Fe1|4907.73|12.556| 6.478| 0.030| 13.400| 12.210| 13.680| 12.190|  6.525|       |  6.380|  6.528
Fe1|4924.77|42.681| 6.552| 0.040| 42.700| 44.710| 40.728| 43.020|  6.568|  6.562|  6.520|  6.558
Fe1|4946.39|41.073| 6.459| 0.030| 41.800| 41.310| 41.857| 40.280|  6.489|  6.433|  6.420|  6.493
Fe1|4950.11|19.881| 6.499| 0.030| 21.600| 20.810| 19.049| 20.700|  6.598|  6.527|  6.330|  6.543
Fe1|4962.57|11.377| 6.472| 0.030| 10.200| 12.010| 11.906| 12.460|  6.413|       |  6.480|  6.524
Fe1|4969.92|25.872| 6.470| 0.030| 24.600| 27.110| 25.606| 26.660|  6.445|  6.462|  6.460|  6.513
Fe1|5044.21|22.407| 6.440| 0.030| 21.600| 22.610| 21.787| 23.680|  6.438|  6.414|  6.430|  6.480
Fe1|5131.47|31.555| 6.552| 0.030| 30.400| 32.610| 30.581| 32.490|  6.545|  6.542|  6.540|  6.580
Fe1|5198.71|46.382| 6.493| 0.040| 46.700| 46.110| 47.217| 45.680|  6.498|  6.442|  6.500|  6.533
Fe1|5217.39|50.910| 6.422| 0.040| 49.500| 51.610| 52.345| 50.990|  6.402|  6.401|  6.420|  6.467
Fe1|5225.53|22.238| 6.587|      | 20.800| 23.310| 21.264| 22.960|  6.574|  6.579|  6.580|  6.617
Fe1|5242.49|36.949| 6.450| 0.030| 36.900| 36.810| 37.296| 36.380|  6.454|  6.408|  6.450|  6.486
Fe1|5243.78|13.583| 6.508| 0.040| 13.800| 13.110| 14.456| 13.880|  6.495|       |  6.510|  6.520
Fe1|5250.21|15.297| 6.588| 0.040| 15.400| 14.610| 15.859| 15.050|  6.562|       |  6.570|  6.632
Fe1|5253.46|23.580| 6.412| 0.030| 23.200| 22.910| 24.547| 23.680|  6.404|  6.349|  6.430|  6.466
Fe1|5322.04|13.141| 6.379| 0.030| 12.200| 13.110| 13.294| 14.040|  6.354|       |  6.380|  6.402
Fe1|5373.71|15.309| 6.438| 0.030| 14.600| 15.110| 15.983| 15.850|  6.426|       |  6.410|  6.478
