#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:52:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbd695c20	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea7}&key:source=J/A+A/592/A70/tablea7&HTTPPRM:&
#-source=J/A+A/592/A70/tablea7
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea7:
#Name: J/A+A/592/A70/tablea7
#Title: HD 201891 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|20.710| 6.420|      |       |       |       | 20.710|       |       |       |  6.410
Fe1|4802.88|16.874| 6.390| 0.020| 17.500| 18.310| 14.116| 18.520|  6.492|       |  6.360|  6.407
Fe1|4875.88|13.031| 6.418| 0.020| 14.600| 10.810| 11.539| 16.820|  6.496|       |  6.340|  6.334
Fe1|4907.73|12.689| 6.500| 0.020| 13.700| 12.410| 13.578| 11.820|  6.473|       |  6.310|  6.471
Fe1|4924.77|43.914| 6.393| 0.030| 43.500| 46.410| 42.200| 44.930|  6.504|  6.519|  6.470|  6.509
Fe1|4946.39|41.350| 6.434| 0.020| 42.200| 41.510| 42.537| 40.490|  6.426|  6.366|  6.360|  6.422
Fe1|4950.11|19.781| 6.463| 0.020| 21.200| 20.610| 19.301| 20.370|  6.522|  6.459|  6.270|  6.485
Fe1|4962.57|12.727| 6.406| 0.020| 11.000| 13.910| 12.419| 14.560|  6.400|       |  6.450|  6.539
Fe1|4969.92|25.434| 6.400| 0.030| 23.900| 26.710| 25.422| 26.780|  6.375|  6.400|  6.400|  6.451
Fe1|5044.21|24.165| 6.486| 0.030| 22.600| 24.410| 23.120| 26.820|  6.392|  6.388|  6.390|  6.432
Fe1|5141.74|35.224| 6.543|      | 34.300| 35.910| 34.457| 36.400|  6.201|  6.189|  6.180|  6.221
Fe1|5197.94| 5.314| 6.420|      |  5.100|       |  5.874|  4.980|  6.497|       |  6.560|  6.572
Fe1|5198.71|46.728| 6.530| 0.030| 47.200| 45.810| 47.908| 46.410|  6.426|  6.356|  6.430|  6.467
Fe1|5225.53|24.275| 6.393|      | 22.500| 25.910| 23.423| 25.550|  6.503|  6.533|  6.520|  6.562
Fe1|5242.49|36.896| 6.483| 0.030| 36.900| 36.510| 37.804| 36.290|  6.394|  6.344|  6.400|  6.434
Fe1|5243.78|13.829| 6.548| 0.030| 14.200| 13.010| 15.039| 13.860|  6.458|       |  6.480|  6.512
Fe1|5250.21|17.547| 6.351|      | 17.400| 16.710| 17.938| 18.100|  6.511|       |  6.520|  6.612
Fe1|5365.40|31.017| 6.433|      | 29.300| 31.610| 30.182| 32.230|  6.222|  6.233|  6.220|  6.235
Fe1|5373.71|16.771| 6.408| 0.030| 15.800| 16.010| 17.196| 18.040|  6.418|       |  6.400|  6.482
Fe1|5379.57|13.517| 6.368| 0.020| 13.400| 12.310| 14.799| 13.830|  6.372|       |  6.410|  6.442
Fe1|5389.48|29.875| 6.448| 0.030| 28.800| 28.610| 31.009| 30.290|  6.353|  6.307|  6.390|  6.423
