#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:17:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6140063de1898	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea8}&key:source=J/A+A/592/A70/tablea8&HTTPPRM:&
#-source=J/A+A/592/A70/tablea8
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea8:
#Name: J/A+A/592/A70/tablea8
#Title: HD 218857 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|14.458| 5.636| 0.060| 15.900| 15.710| 13.143| 15.820|  5.669|       |  5.560|  5.678
Fe1|4802.88| 8.610| 5.496|      |  8.900|       |  6.921| 10.520|  5.564|       |  5.430|  5.495
Fe1|4875.88| 7.283| 5.595|      |  9.000|       |  8.999|  7.680|  5.635|       |  5.610|  5.540
Fe1|4907.73| 7.496| 5.543|      |  7.700|       |  7.385|  8.360|  5.585|       |  5.410|  5.634
Fe1|4924.77|40.786| 5.647| 0.080| 41.700| 41.510| 39.760| 40.600|  5.662|  5.638|  5.620|  5.669
Fe1|4946.39|31.156| 5.579| 0.060| 31.700| 31.010| 31.082| 31.560|  5.602|  5.570|  5.520|  5.625
Fe1|4950.11|13.580| 5.632| 0.060| 14.100| 13.110| 13.757| 14.190|  5.695|       |  5.490|  5.710
Fe1|4969.92|12.608| 5.556| 0.060| 12.100| 13.010| 13.614| 12.910|  5.518|       |  5.570|  5.581
Fe1|5044.21|17.263| 5.566| 0.070| 17.400| 16.510| 17.675| 17.910|  5.552|       |  5.550|  5.597
Fe1|5131.47|29.591| 5.648| 0.070| 29.500| 29.610| 29.722| 29.920|  5.640|  5.623|  5.640|  5.690
Fe1|5198.71|48.100| 5.622| 0.070| 48.200| 47.410| 48.364| 48.340|  5.621|  5.589|  5.620|  5.658
Fe1|5217.39|40.128| 5.511| 0.070| 39.900| 39.510| 41.445| 40.120|  5.507|  5.486|  5.500|  5.550
Fe1|5242.49|25.330| 5.531| 0.070| 24.800| 24.710| 25.419| 25.810|  5.526|  5.503|  5.530|  5.564
Fe1|5243.78| 6.129| 5.590|      |  6.000|       |  7.019|  6.820|  5.551|       |  5.620|  5.600
Fe1|5253.46|16.035| 5.529| 0.060| 16.100| 14.910| 17.047| 16.320|  5.504|       |  5.530|  5.552
Fe1|5322.04|13.388| 5.519| 0.070| 12.100| 13.310| 13.521| 15.060|  5.486|       |  5.530|  5.540
Fe1|5373.71| 7.216| 5.544|      |  6.300|       |  7.759|  8.980|  5.510|       |  5.550|  5.572
Fe1|5379.57| 8.662| 5.588|      |  7.900|       |  9.518|  9.410|  5.535|       |  5.620|  5.609
Fe1|5389.48|15.142| 5.554| 0.070| 15.000| 13.810| 16.399| 15.520|  5.521|       |  5.560|  5.581
Fe1|5398.28|10.027| 5.587|      |  9.500|       | 10.941| 10.300|  5.545|       |  5.610|  5.606
Fe1|5417.03|12.870| 5.635|      |       |       |       | 12.870|       |       |       |  5.865
