#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-14T02:18:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61400667e1eb6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea9}&key:source=J/A+A/592/A70/tablea9&HTTPPRM:&
#-source=J/A+A/592/A70/tablea9
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea9:
#Name: J/A+A/592/A70/tablea9
#Title: HD 241253 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|21.500| 6.518| 0.030| 21.300| 22.410| 20.921| 23.010|  6.521|  6.502|  6.500|  6.549
Fe1|4802.88|13.795| 6.359| 0.030| 14.700| 14.410| 11.689| 14.850|  6.438|       |  6.300|  6.340
Fe1|4875.88|14.040| 6.412|      | 13.800|       | 12.758| 17.060|  6.513|       |  6.440|  6.284
Fe1|4907.73|12.043| 6.419| 0.030| 12.600| 11.510| 12.432| 12.440|  6.475|       |  6.310|  6.471
Fe1|4924.77|40.673| 6.490| 0.030| 40.800| 42.710| 39.551| 40.720|  6.506|  6.498|  6.470|  6.488
Fe1|4946.39|39.979| 6.410| 0.030| 40.100| 40.410| 40.457| 39.780|  6.436|  6.396|  6.370|  6.438
Fe1|4950.11|18.440| 6.427| 0.030| 19.800| 19.310| 17.747| 19.240|  6.530|       |  6.270|  6.480
Fe1|4962.57| 9.490| 6.383|      |  9.000|       | 10.928|  9.830|  6.338|       |  6.420|  6.390
Fe1|4969.92|23.479| 6.396| 0.030| 22.500| 24.510| 23.876| 23.630|  6.378|  6.386|  6.400|  6.420
Fe1|5044.21|20.634| 6.378| 0.030| 20.100| 20.410| 20.811| 21.280|  6.377|  6.336|  6.380|  6.420
Fe1|5131.47|29.975| 6.499| 0.030| 29.200| 31.110| 29.523| 30.110|  6.494|  6.487|  6.490|  6.524
Fe1|5198.71|45.860| 6.451| 0.030| 45.700| 45.710| 46.510| 45.330|  6.455|  6.411|  6.460|  6.480
Fe1|5217.39|48.883| 6.357| 0.030| 47.400| 49.310| 50.451| 48.490|  6.342|  6.337|  6.360|  6.390
Fe1|5225.53|23.074| 6.580|      | 21.800| 23.910| 22.506| 23.470|  6.568|  6.562|  6.580|  6.609
Fe1|5242.49|35.634| 6.399| 0.030| 35.200| 35.610| 36.310| 35.410|  6.400|  6.366|  6.410|  6.420
Fe1|5243.78|12.922| 6.455| 0.030| 12.700| 12.510| 13.809| 13.430|  6.437|       |  6.470|  6.458
Fe1|5253.46|21.795| 6.340| 0.030| 21.200| 21.210| 22.627| 22.240|  6.332|  6.286|  6.360|  6.381
Fe1|5322.04|13.291| 6.351| 0.030| 12.200| 13.410| 13.399| 14.490|  6.330|       |  6.360|  6.364
Fe1|5373.71|14.268| 6.374|      | 13.300|       | 14.955| 14.940|  6.364|       |  6.360|  6.397
Fe1|5379.57|12.702| 6.395| 0.030| 12.200| 12.310| 13.705| 12.740|  6.365|       |  6.410|  6.409
Fe1|5389.48|28.211| 6.368| 0.030| 27.200| 27.110| 29.688| 28.120|  6.355|  6.311|  6.400|  6.406
