,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,21.3,6.521
1,4802.88,FeI,3.64,14.7,6.438
2,4875.88,FeI,3.33,13.8,6.513
3,4907.73,FeI,3.43,12.6,6.475
4,4924.77,FeI,2.28,40.8,6.506
5,4946.39,FeI,3.37,40.1,6.436
6,4950.11,FeI,3.42,19.8,6.53
7,4962.57,FeI,4.18,9.0,6.338
8,4969.92,FeI,4.22,22.5,6.378
9,5044.21,FeI,2.85,20.1,6.377
10,5131.47,FeI,2.22,29.2,6.494
11,5198.71,FeI,2.22,45.7,6.455
12,5217.39,FeI,3.21,47.4,6.342
13,5225.53,FeI,0.11,21.8,6.568
14,5242.49,FeI,3.63,35.2,6.4
15,5243.78,FeI,4.26,12.7,6.437
16,5253.46,FeI,3.28,21.2,6.332
17,5322.04,FeI,2.28,12.2,6.33
18,5373.71,FeI,4.47,13.3,6.364
19,5379.57,FeI,3.69,12.2,6.365
20,5389.48,FeI,4.42,27.2,6.355
21,5398.28,FeI,4.45,18.6,6.384
22,5466.4,FeI,4.37,22.9,6.432
23,5473.9,FeI,4.15,22.9,6.396
24,5543.94,FeI,4.22,12.6,6.379
25,5546.51,FeI,4.37,5.8,6.315
26,5560.21,FeI,4.43,8.0,6.403
27,5576.09,FeI,3.43,48.7,6.347
28,5618.63,FeI,4.21,7.8,6.369
29,5638.26,FeI,4.22,20.4,6.365
30,5662.52,FeI,4.18,31.6,6.395
31,5679.02,FeI,4.65,10.5,6.459
32,5701.54,FeI,2.56,27.7,6.425
33,5956.69,FeI,0.86,9.0,6.592
34,6136.99,FeI,2.2,16.1,6.507
35,6151.62,FeI,2.18,9.1,6.541
36,6173.33,FeI,2.22,15.7,6.446
37,6200.31,FeI,2.61,19.4,6.478
38,6219.28,FeI,2.2,36.7,6.496
39,6265.13,FeI,2.18,33.2,6.517
40,6297.79,FeI,2.22,22.0,6.484
41,6322.69,FeI,2.59,19.3,6.447
42,6335.33,FeI,2.2,47.3,6.448
43,6430.85,FeI,2.18,62.5,6.552
44,6481.87,FeI,2.28,13.5,6.506
45,6593.87,FeI,2.43,29.2,6.528
46,6609.11,FeI,2.56,13.1,6.461
47,5883.82,FeI,3.96,12.8,6.354
48,5905.67,FeI,4.65,11.9,6.386
49,5930.18,FeI,4.65,33.3,6.504
50,6003.01,FeI,3.88,25.1,6.504
51,6079.01,FeI,4.65,7.5,6.487
52,6165.36,FeI,4.14,6.5,6.404
53,6187.99,FeI,3.94,6.8,6.382
54,6496.47,FeI,4.8,13.2,6.392
55,6246.32,FeI,3.6,49.6,6.375
56,6270.22,FeI,2.86,8.2,6.305
57,6336.82,FeI,3.69,39.9,6.35
58,6301.5,FeI,3.65,49.5,6.356
59,5060.08,FeI,0.0,8.5,6.624
60,5445.04,FeI,4.39,48.6,6.356
61,4993.36,FeII,2.81,10.0,6.347
62,5264.81,FeII,3.23,14.1,6.349
63,5316.78,FeII,3.22,30.6,6.408
64,6456.38,FeII,3.9,27.8,6.387
65,5991.38,FeII,3.15,6.9,6.413
