#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-01-11T02:53:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ffbbdaf6ea7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/592/A70&tab:{J/A+A/592/A70/tablea10}&key:source=J/A+A/592/A70/tablea10&HTTPPRM:&
#-source=J/A+A/592/A70/tablea10
#-order=I
#-out=Element
#-out=lambda
#-out=<EW>
#-out=<A>
#-out=NLTE
#-out=EW(EPI)
#-out=EW(BOL)
#-out=EW(ULB)
#-out=EW(iSPEC)
#-out=A(EPI)
#-out=A(BOL)
#-out=A(ULB)
#-out=A(iSPEC)
#

#RESOURCE=yCat_35920070
#Name: J/A+A/592/A70
#Title: Gaia FGK stars: low-metallicities candidates (Hawkins+, 2016)
#Table	J_A_A_592_A70_tablea10:
#Name: J/A+A/592/A70/tablea10
#Title: HD 298986 Fe abundance measurements for each line and node
#Column	Element	(A3)	Element and Ion state	[ucd=phys.atmol.element]
#Column	lambda	(F7.2)	Wavelength of line used in the abundance determination	[ucd=em.wl;spect.line]
#Column	<EW>	(F6.3)	Mean Equivalent width from all nodes	[ucd=spect.line.eqWidth;stat.mean]
#Column	<A>	(F6.3)	Mean Fe abundance derived for that line across all nodes	[ucd=phys.abund.Fe;stat.mean]
#Column	NLTE	(F6.3)	? NLTE correction for that line (1)	[ucd=arith.factor]
#Column	EW(EPI)	(F7.3)	? Equivalent width obtained by the EPINARBO method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(BOL)	(F7.3)	? Equivalent width obtained by the Bologna method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(ULB)	(F7.3)	? Equivalent width obtained by the ULB method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	EW(iSPEC)	(F7.3)	? Equivalent width obtained by the iSPEC method (2)	[ucd=spect.line.eqWidth;meta.modelled]
#Column	A(EPI)	(F7.3)	? abundance obtained by the EPINARBO method (2)	[ucd=phys.abund.Fe]
#Column	A(BOL)	(F7.3)	? abundance obtained by the Bologna method (2)	[ucd=phys.abund.Fe]
#Column	A(ULB)	(F7.3)	? abundance obtained by the ULB method (2)	[ucd=phys.abund.Fe]
#Column	A(iSPEC)	(F7.3)	? abundance obtained by the iSPEC method (2)	[ucd=phys.abund.Fe]
Element|lambda|<EW>|<A>|NLTE|EW(EPI)|EW(BOL)|EW(ULB)|EW(iSPEC)|A(EPI)|A(BOL)|A(ULB)|A(iSPEC)
 |0.1nm|0.1pm| | |0.1pm|0.1pm|0.1pm|0.1pm| | | |
---|-------|------|------|------|-------|-------|-------|-------|-------|-------|-------|-------
Fe1|4788.76|10.991| 6.204|      |  8.600|       | 10.888| 13.800|  6.138|       |  6.250|  6.223
Fe1|4802.88| 7.155| 6.088|      |  7.800|       |  5.232|  8.960|  6.206|       |  6.010|  6.049
Fe1|4875.88| 6.500| 6.168|      |  6.300|       |  5.174| 10.660|  6.226|       |  6.110|
Fe1|4907.73| 5.075| 6.104|      |  5.800|       |  5.129|  4.460|  6.194|       |  5.990|  6.128
Fe1|4924.77|21.455| 6.177| 0.050| 21.400| 22.810| 20.283| 21.860|  6.184|  6.194|  6.150|  6.181
Fe1|4939.69|29.505| 6.186| 0.060| 30.000| 30.510| 27.794| 29.620|  6.201|  6.185|  6.150|  6.208
Fe1|4946.39|21.653| 6.101| 0.050| 22.000| 21.710| 20.865| 21.820|  6.136|  6.103|  6.040|  6.126
Fe1|4950.11| 7.950| 6.096|      |  9.400|       |  6.712|  9.960|  6.239|       |  5.890|  6.159
Fe1|4962.57| 5.436| 6.191|      |       |       |  5.665|  6.690|       |       |  6.190|  6.193
Fe1|4969.92|13.297| 6.159| 0.050| 12.500| 14.010| 12.946| 14.380|  6.137|       |  6.150|  6.191
Fe1|5044.21| 9.640| 6.105|      |  9.300|       |  9.885| 10.370|  6.084|       |  6.110|  6.120
Fe1|5107.45|36.950| 6.141| 0.060|       | 35.710| 32.164| 41.560|       |  6.162|  6.110|  6.152
Fe1|5107.64|43.526| 6.124| 0.060| 42.100| 42.110| 42.611| 49.110|  6.112|  6.088|  6.120|  6.175
Fe1|5127.36|29.597| 6.200| 0.060| 28.900| 30.610|       | 29.480|  6.187|  6.199|       |  6.215
Fe1|5131.47|14.920| 6.188| 0.050| 13.600| 15.510|       | 15.750|  6.175|       |       |  6.202
Fe1|5166.28|29.931| 6.226|      | 29.900| 30.810| 28.232| 31.080|  6.238|  6.232|  6.200|  6.236
Fe1|5198.71|24.568| 6.121| 0.050| 25.100| 24.410| 24.393| 24.060|  6.131|  6.090|  6.110|  6.153
Fe1|5217.39|29.280| 6.067| 0.050| 28.300| 30.210| 28.279| 29.840|  6.062|  6.084|  6.030|  6.094
Fe1|5225.53| 8.770| 6.240|      |  7.700|       |       |  9.840|  6.205|       |       |  6.274
Fe1|5242.49|19.384| 6.109| 0.050| 19.700| 19.210| 19.297| 19.080|  6.109|       |  6.090|  6.127
Fe1|5243.78| 5.463| 6.153|      |  5.800|       |  6.491|  5.370|  6.133|       |  6.180|  6.146
Fe1|5250.21| 6.090| 6.281|      |  6.000|       |  6.118|  5.830|  6.240|       |  6.250|  6.353
