,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,42.1,7.44
1,FeI,4788.76,3.24,68.0,7.6
2,FeI,4802.88,3.64,60.6,7.51
3,FeI,4808.15,3.25,28.7,7.54
4,FeI,4875.88,3.33,55.9,7.39
5,FeI,4907.73,3.43,61.0,7.49
6,FeI,4924.77,2.28,93.5,7.5
7,FeI,4939.69,0.86,100.3,7.48
8,FeI,4946.39,3.37,97.8,7.37
9,FeI,4950.11,3.42,76.3,7.58
10,FeI,4962.57,4.18,55.0,7.55
11,FeI,4985.55,2.87,103.7,7.18
12,FeI,4999.11,4.19,29.8,7.41
13,FeI,5012.69,4.28,37.5,7.67
14,FeI,5023.19,4.28,35.2,7.43
15,FeI,5044.21,2.85,73.0,7.38
16,FeI,5058.5,3.64,10.6,7.46
17,FeI,5079.22,2.2,99.2,7.4
18,FeI,5079.74,0.99,97.3,7.45
19,FeI,5088.15,4.15,34.6,7.49
20,FeI,5107.45,0.99,106.0,7.46
21,FeI,5107.64,1.56,107.9,7.27
22,FeI,5109.65,4.3,74.6,7.63
23,FeI,5127.36,0.92,96.5,7.4
24,FeI,5131.47,2.22,83.7,7.57
25,FeI,5141.74,2.42,82.9,7.33
26,FeI,5166.28,0.0,115.6,7.74
27,FeI,5197.94,4.3,32.0,7.41
28,FeI,5198.71,2.22,91.8,7.31
29,FeI,5217.39,3.21,104.1,7.22
30,FeI,5225.53,0.11,74.5,7.57
31,FeI,5228.38,4.22,62.1,7.59
32,FeI,5242.49,3.63,84.7,7.41
33,FeI,5243.78,4.26,60.8,7.45
34,FeI,5247.05,0.09,67.0,7.56
35,FeI,5250.21,0.12,68.3,7.57
36,FeI,5250.65,2.2,98.4,7.46
37,FeI,5253.02,2.28,16.0,7.35
38,FeI,5253.46,3.28,74.6,7.3
39,FeI,5285.13,4.43,28.8,7.47
40,FeI,5288.52,3.69,59.2,7.47
41,FeI,5293.96,4.14,30.0,7.49
42,FeI,5294.55,3.64,14.3,7.53
43,FeI,5295.31,4.42,29.6,7.51
44,FeI,5321.11,4.43,41.3,7.28
45,FeI,5322.04,2.28,61.1,7.4
46,FeI,5365.4,3.57,77.4,7.3
47,FeI,5373.71,4.47,64.4,7.4
48,FeI,5379.57,3.69,61.4,7.51
49,FeI,5386.33,4.15,31.8,7.39
50,FeI,5389.48,4.42,81.9,7.27
51,FeI,5395.22,4.45,18.8,7.74
52,FeI,5398.28,4.45,72.7,7.38
53,FeI,5412.78,4.43,18.4,7.37
54,FeI,5417.03,4.42,32.7,7.57
55,FeI,5436.59,2.28,45.4,7.19
56,FeI,5441.34,4.31,30.6,7.48
57,FeI,5464.28,4.14,39.2,7.32
58,FeI,5466.4,4.37,77.7,7.4
59,FeI,5470.09,4.45,25.4,7.56
60,FeI,5473.9,4.15,80.5,7.45
61,FeI,5483.1,4.15,46.2,7.44
62,FeI,5487.15,4.42,36.1,7.49
63,FeI,5494.46,4.08,27.7,7.58
64,FeI,5506.78,0.99,118.8,7.28
65,FeI,5522.45,4.21,43.6,7.48
66,FeI,5539.28,3.64,18.5,7.47
67,FeI,5543.94,4.22,63.9,7.47
68,FeI,5546.51,4.37,54.4,7.59
69,FeI,5560.21,4.43,53.1,7.48
70,FeI,5576.09,3.43,106.3,7.18
71,FeI,5587.57,4.14,39.5,7.7
72,FeI,5618.63,4.21,51.8,7.46
73,FeI,5619.6,4.39,34.9,7.6
74,FeI,5633.95,4.99,68.1,7.46
75,FeI,5636.7,3.64,20.1,7.46
76,FeI,5638.26,4.22,77.6,7.43
77,FeI,5641.43,4.26,66.7,7.59
78,FeI,5649.99,5.1,36.6,7.55
79,FeI,5651.47,4.47,18.8,7.59
80,FeI,5652.32,4.26,26.8,7.56
81,FeI,5653.87,4.39,40.8,7.65
82,FeI,5655.18,5.06,54.3,7.74
83,FeI,5661.35,4.28,23.9,7.41
