,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,41.9,7.37
1,FeI,4788.76,3.24,67.7,7.41
2,FeI,4802.88,3.64,60.5,7.36
3,FeI,4808.15,3.25,28.5,7.48
4,FeI,4875.88,3.33,55.8,7.3
5,FeI,4907.73,3.43,60.9,7.4
6,FeI,4924.77,2.28,93.6,7.36
7,FeI,4939.69,0.86,100.1,7.25
8,FeI,4946.39,3.37,98.0,7.28
9,FeI,4950.11,3.42,76.3,7.48
10,FeI,4962.57,4.18,54.9,7.39
11,FeI,4985.55,2.87,103.8,7.08
12,FeI,4999.11,4.19,29.6,7.34
13,FeI,5023.19,4.28,35.1,7.39
14,FeI,5044.21,2.85,72.9,7.26
15,FeI,5079.22,2.2,99.2,7.26
16,FeI,5079.74,0.99,97.2,7.23
17,FeI,5088.15,4.15,34.5,7.44
18,FeI,5107.45,0.99,106.3,7.24
19,FeI,5107.64,1.56,108.3,7.09
20,FeI,5109.65,4.3,74.6,7.58
21,FeI,5127.36,0.92,96.1,7.17
22,FeI,5131.47,2.22,83.7,7.42
23,FeI,5141.74,2.42,82.8,7.17
24,FeI,5166.28,0.0,116.5,7.52
25,FeI,5197.94,4.3,32.0,7.38
26,FeI,5198.71,2.22,91.7,7.16
27,FeI,5217.39,3.21,104.7,7.14
28,FeI,5225.53,0.11,74.4,7.35
29,FeI,5228.38,4.22,61.8,7.52
30,FeI,5242.49,3.63,84.6,7.25
31,FeI,5243.78,4.26,60.8,7.39
32,FeI,5247.05,0.09,66.9,7.37
33,FeI,5250.21,0.12,68.1,7.37
34,FeI,5250.65,2.2,98.4,7.32
35,FeI,5253.46,3.28,74.5,7.2
36,FeI,5285.13,4.43,28.6,7.43
37,FeI,5288.52,3.69,59.0,7.34
38,FeI,5293.96,4.14,30.0,7.43
39,FeI,5295.31,4.42,29.4,7.48
40,FeI,5321.11,4.43,41.2,7.23
41,FeI,5322.04,2.28,61.0,7.27
42,FeI,5365.4,3.57,77.3,7.12
43,FeI,5373.71,4.47,64.4,7.33
44,FeI,5379.57,3.69,61.3,7.38
45,FeI,5386.33,4.15,31.8,7.36
46,FeI,5389.48,4.42,81.9,7.21
47,FeI,5398.28,4.45,72.6,7.31
48,FeI,5417.03,4.42,32.6,7.53
49,FeI,5436.59,2.28,45.3,7.11
50,FeI,5441.34,4.31,30.5,7.44
51,FeI,5464.28,4.14,39.0,7.25
52,FeI,5466.4,4.37,77.9,7.34
53,FeI,5470.09,4.45,25.2,7.53
54,FeI,5473.9,4.15,80.4,7.36
55,FeI,5483.1,4.15,45.9,7.37
56,FeI,5487.15,4.42,35.9,7.45
57,FeI,5494.46,4.08,27.5,7.52
58,FeI,5506.78,0.99,118.6,7.08
59,FeI,5522.45,4.21,43.4,7.42
60,FeI,5543.94,4.22,63.7,7.38
61,FeI,5546.51,4.37,54.2,7.52
62,FeI,5560.21,4.43,52.9,7.44
63,FeI,5576.09,3.43,107.2,7.11
64,FeI,5587.57,4.14,39.3,7.59
65,FeI,5618.63,4.21,51.6,7.39
66,FeI,5619.6,4.39,34.8,7.57
67,FeI,5633.95,4.99,68.0,7.4
68,FeI,5638.26,4.22,77.5,7.35
69,FeI,5641.43,4.26,66.5,7.5
70,FeI,5649.99,5.1,36.4,7.48
71,FeI,5652.32,4.26,26.5,7.52
72,FeI,5655.18,5.06,54.1,7.54
73,FeI,5661.35,4.28,23.7,7.38
74,FeI,5662.52,4.18,92.3,7.33
75,FeI,5679.02,4.65,60.8,7.48
76,FeI,5691.5,4.3,42.2,7.45
77,FeI,5701.54,2.56,84.7,7.34
78,FeI,5705.46,4.3,39.3,7.32
79,FeI,5731.76,4.26,59.4,7.5
80,FeI,5741.85,4.26,33.0,7.47
81,FeI,5760.34,3.64,22.9,7.38
82,FeI,5775.08,4.22,60.9,7.59
83,FeI,5778.45,2.59,22.3,7.37
84,FeI,5784.66,3.4,27.6,7.38
85,FeI,5916.25,2.45,57.6,7.44
86,FeI,5927.79,4.65,36.1,7.22
87,FeI,5956.69,0.86,55.9,7.44
88,FeI,6065.48,2.61,111.7,7.1
89,FeI,6082.71,2.22,36.7,7.45
90,FeI,6136.99,2.2,72.1,7.49
91,FeI,6151.62,2.18,52.3,7.45
92,FeI,6173.33,2.22,71.1,7.43
93,FeI,6200.31,2.61,74.2,7.38
94,FeI,6213.43,2.22,82.4,7.25
95,FeI,6219.28,2.2,90.4,7.33
96,FeI,6229.23,2.85,39.1,7.35
97,FeI,6240.65,2.22,49.6,7.33
98,FeI,6252.56,2.4,117.5,7.24
99,FeI,6265.13,2.18,87.9,7.37
100,FeI,6297.79,2.22,77.8,7.37
101,FeI,6322.69,2.59,79.0,7.49
102,FeI,6335.33,2.2,99.1,7.22
103,FeI,6430.85,2.18,111.4,7.19
104,FeI,6481.87,2.28,67.4,7.49
105,FeI,6498.94,0.96,49.0,7.5
106,FeI,6518.37,2.83,63.9,7.35
107,FeI,6574.23,0.99,27.7,7.44
108,FeI,6593.87,2.43,86.7,7.4
109,FeI,6609.11,2.56,69.7,7.49
110,FeI,6703.57,2.76,40.2,7.51
111,FeI,6750.15,2.42,75.6,7.37
112,FeII,4993.36,2.81,36.4,7.37
113,FeII,5264.81,3.23,46.8,7.44
114,FeII,5325.55,3.22,43.6,7.39
115,FeII,5414.07,3.22,27.0,7.42
116,FeII,5425.26,3.2,42.0,7.39
117,FeII,5534.85,3.25,59.2,7.46
118,FeII,6456.38,3.9,85.2,7.89
