,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,55.8,6.94
1,FeI,4788.76,3.24,68.3,6.83
2,FeI,4802.88,3.64,55.7,6.79
3,FeI,4808.15,3.25,38.5,7.18
4,FeI,4875.88,3.33,73.8,6.93
5,FeI,4877.6,3.0,38.1,7.15
6,FeI,4907.73,3.43,65.6,6.85
7,FeI,4946.39,3.37,93.5,6.44
8,FeI,4950.11,3.42,84.4,6.89
9,FeI,4962.57,4.18,64.8,7.33
10,FeI,5012.69,4.28,31.0,7.18
11,FeI,5058.5,3.64,37.2,7.76
12,FeI,5060.08,0.0,110.9,7.12
13,FeI,5109.65,4.3,79.1,7.16
14,FeI,5131.47,2.22,94.8,6.62
15,FeI,5141.74,2.42,128.7,6.82
16,FeI,5223.18,3.63,40.0,6.75
17,FeI,5228.38,4.22,63.6,7.14
18,FeI,5242.49,3.63,92.2,6.76
19,FeI,5243.78,4.26,57.0,6.94
20,FeI,5247.05,0.09,113.5,6.77
21,FeI,5250.21,0.12,120.4,6.84
22,FeI,5250.65,2.2,135.3,6.69
23,FeI,5253.02,2.28,29.5,6.92
24,FeI,5253.46,3.28,90.6,6.69
25,FeI,5285.13,4.43,22.8,7.04
26,FeI,5288.52,3.69,58.7,6.89
27,FeI,5293.96,4.14,29.8,7.17
28,FeI,5294.55,3.64,18.9,7.25
29,FeI,5295.31,4.42,20.7,7.01
30,FeI,5321.11,4.43,51.9,7.1
31,FeI,5322.04,2.28,74.2,6.67
32,FeI,5365.4,3.57,85.7,6.71
33,FeI,5373.71,4.47,85.0,7.2
34,FeI,5379.57,3.69,57.1,6.86
35,FeI,5386.33,4.15,26.7,6.93
36,FeI,5389.48,4.42,85.0,6.8
37,FeI,5395.22,4.45,26.9,7.68
38,FeI,5398.28,4.45,76.3,6.95
39,FeI,5412.78,4.43,33.3,7.44
40,FeI,5417.03,4.42,26.8,7.15
41,FeI,5441.34,4.31,25.5,7.06
42,FeI,5464.28,4.14,41.5,7.01
43,FeI,5466.4,4.37,91.2,7.05
44,FeI,5470.09,4.45,43.7,7.62
45,FeI,5473.9,4.15,82.8,6.9
46,FeI,5483.1,4.15,41.8,6.97
47,FeI,5522.45,4.21,42.8,7.09
48,FeI,5539.28,3.64,16.2,6.97
49,FeI,5543.94,4.22,71.1,7.09
50,FeI,5546.51,4.37,60.3,7.29
51,FeI,5560.21,4.43,45.2,7.02
52,FeI,5587.57,4.14,46.7,7.52
53,FeI,5618.63,4.21,50.6,7.04
54,FeI,5619.6,4.39,48.6,7.54
55,FeI,5624.02,4.39,51.1,7.36
56,FeI,5633.95,4.99,57.0,7.04
57,FeI,5635.82,4.26,37.1,7.37
58,FeI,5636.7,3.64,22.4,7.1
59,FeI,5638.26,4.22,82.2,6.95
60,FeI,5641.43,4.26,64.2,7.09
61,FeI,5649.99,5.1,25.5,7.19
62,FeI,5651.47,4.47,17.2,7.3
63,FeI,5652.32,4.26,24.8,7.21
64,FeI,5653.87,4.39,36.2,7.27
65,FeI,5655.18,5.06,43.4,7.41
66,FeI,5661.35,4.28,22.6,7.09
67,FeI,5662.52,4.18,105.7,6.94
68,FeI,5667.52,4.18,51.6,7.47
69,FeI,5679.02,4.65,56.4,7.14
70,FeI,5691.5,4.3,38.8,7.11
71,FeI,5696.09,4.55,15.5,7.16
72,FeI,5701.54,2.56,112.7,6.83
73,FeI,5705.46,4.3,36.8,7.01
74,FeI,5731.76,4.26,60.2,7.16
75,FeI,5732.3,4.99,9.6,7.19
76,FeI,5741.85,4.26,36.5,7.27
77,FeI,5760.34,3.64,23.3,7.0
78,FeI,5775.08,4.22,59.5,7.2
79,FeI,5778.45,2.59,41.6,7.12
80,FeI,5784.66,3.4,36.0,7.07
81,FeI,5849.68,3.69,9.5,7.09
82,FeI,5853.15,1.49,25.3,7.15
83,FeI,5855.08,4.61,15.3,6.98
84,FeI,5858.78,4.22,7.1,6.84
85,FeI,5883.82,3.96,59.4,6.8
86,FeI,5902.47,4.59,7.8,6.89
87,FeI,5905.67,4.65,42.2,6.83
88,FeI,5927.79,4.65,36.4,7.03
89,FeI,5929.68,4.55,34.2,7.2
90,FeI,5930.18,4.65,83.4,6.87
91,FeI,5934.65,3.93,79.3,6.8
92,FeI,5956.69,0.86,90.6,6.87
93,FeI,6003.01,3.88,95.0,6.97
94,FeI,6012.21,2.22,33.1,7.1
95,FeI,6027.05,4.08,59.7,6.93
96,FeI,6079.01,4.65,36.5,7.07
97,FeI,6093.64,4.61,22.0,7.1
98,FeI,6094.37,4.65,13.1,7.32
99,FeI,6096.66,3.98,37.2,7.09
100,FeI,6127.91,4.14,46.2,7.16
101,FeI,6136.99,2.2,102.2,7.07
102,FeI,6151.62,2.18,69.1,6.94
103,FeI,6165.36,4.14,42.6,7.1
104,FeI,6173.33,2.22,89.5,6.87
105,FeI,6187.99,3.94,44.8,6.95
106,FeI,6200.31,2.61,94.3,6.9
