,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,54.1,7.0
1,FeI,4788.76,3.24,66.6,6.88
2,FeI,4808.15,3.25,37.9,7.24
3,FeI,4875.88,3.33,72.2,7.0
4,FeI,4877.6,3.0,37.7,7.22
5,FeI,4907.73,3.43,64.2,6.92
6,FeI,4946.39,3.37,95.8,6.57
7,FeI,4950.11,3.42,82.9,6.97
8,FeI,4962.57,4.18,63.3,7.22
9,FeI,5012.69,4.28,30.9,7.24
10,FeI,5060.08,0.0,109.7,7.29
11,FeI,5109.65,4.3,76.5,7.23
12,FeI,5131.47,2.22,94.7,6.74
13,FeI,5223.18,3.63,38.8,6.79
14,FeI,5228.38,4.22,62.2,7.2
15,FeI,5242.49,3.63,90.8,6.84
16,FeI,5243.78,4.26,55.9,7.01
17,FeI,5247.05,0.09,106.1,6.77
18,FeI,5250.21,0.12,118.9,6.94
19,FeI,5253.02,2.28,28.8,6.98
20,FeI,5253.46,3.28,89.5,6.78
21,FeI,5285.13,4.43,22.4,7.08
22,FeI,5288.52,3.69,57.3,6.95
23,FeI,5293.96,4.14,28.8,7.16
24,FeI,5295.31,4.42,20.2,7.06
25,FeI,5321.11,4.43,50.8,7.16
26,FeI,5322.04,2.28,73.1,6.75
27,FeI,5365.4,3.57,84.2,6.78
28,FeI,5373.71,4.47,83.7,7.28
29,FeI,5379.57,3.69,56.0,6.92
30,FeI,5386.33,4.15,26.3,6.98
31,FeI,5389.48,4.42,83.8,6.89
32,FeI,5398.28,4.45,74.8,7.03
33,FeI,5412.78,4.43,33.0,7.49
34,FeI,5417.03,4.42,27.0,7.22
35,FeI,5441.34,4.31,24.7,7.11
36,FeI,5464.28,4.14,40.4,7.06
37,FeI,5466.4,4.37,90.3,7.14
38,FeI,5470.09,4.45,42.7,7.68
39,FeI,5473.9,4.15,81.7,6.99
40,FeI,5483.1,4.15,41.3,7.03
41,FeI,5522.45,4.21,42.0,7.16
42,FeI,5543.94,4.22,69.6,7.16
43,FeI,5546.51,4.37,58.3,7.35
44,FeI,5560.21,4.43,44.0,7.08
45,FeI,5587.57,4.14,46.0,7.49
46,FeI,5618.63,4.21,49.6,7.1
47,FeI,5619.6,4.39,47.5,7.6
48,FeI,5624.02,4.39,49.6,7.41
49,FeI,5633.95,4.99,55.4,7.11
50,FeI,5635.82,4.26,35.8,7.42
51,FeI,5636.7,3.64,21.4,7.13
52,FeI,5638.26,4.22,80.5,7.03
53,FeI,5641.43,4.26,62.6,7.15
54,FeI,5649.99,5.1,24.6,7.2
55,FeI,5652.32,4.26,23.2,7.23
56,FeI,5655.18,5.06,42.1,7.28
57,FeI,5661.35,4.28,21.6,7.12
58,FeI,5662.52,4.18,104.0,7.03
59,FeI,5667.52,4.18,49.9,7.43
60,FeI,5679.02,4.65,55.1,7.2
61,FeI,5691.5,4.3,37.6,7.15
62,FeI,5701.54,2.56,111.0,6.94
63,FeI,5705.46,4.3,35.9,7.06
64,FeI,5731.76,4.26,58.7,7.22
65,FeI,5741.85,4.26,35.3,7.31
66,FeI,5760.34,3.64,22.6,7.05
67,FeI,5775.08,4.22,57.8,7.27
68,FeI,5778.45,2.59,40.0,7.16
69,FeI,5784.66,3.4,35.2,7.12
70,FeI,5905.67,4.65,73.6,7.32
71,FeI,5934.65,3.93,93.5,7.05
72,FeI,6027.05,4.08,100.4,7.57
73,FeI,6096.66,3.98,57.0,7.45
74,FeI,6127.91,4.14,63.0,7.44
75,FeI,6165.36,4.14,34.3,7.01
76,FeI,6173.33,2.22,117.8,7.35
77,FeI,6187.99,3.94,84.4,7.53
78,FeI,6240.65,2.22,106.9,7.52
79,FeI,6297.79,2.22,70.8,6.5
80,FeI,6301.5,3.65,82.0,6.47
81,FeI,6315.81,4.08,25.4,6.86
82,FeI,6330.85,4.73,23.7,7.59
83,FeI,6593.87,2.43,103.3,6.88
84,FeI,6627.54,4.55,27.2,7.4
85,FeII,4993.36,2.81,62.8,9.08
