,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4808.15,3.25,34.9,7.29
1,FeI,4875.88,3.33,58.6,6.89
2,FeI,4924.77,2.28,108.1,6.59
3,FeI,4950.11,3.42,61.8,6.78
4,FeI,4962.57,4.18,55.7,7.43
5,FeI,4969.92,4.22,61.8,6.82
6,FeI,5060.08,0.0,110.8,7.05
7,FeI,5109.65,4.3,68.3,7.27
8,FeI,5131.47,2.22,74.0,6.41
9,FeI,5215.18,3.27,107.9,6.27
10,FeI,5217.39,3.21,106.1,6.44
11,FeI,5225.53,0.11,116.7,6.55
12,FeI,5228.38,4.22,43.8,7.08
13,FeI,5242.49,3.63,78.7,6.76
14,FeI,5243.78,4.26,43.9,6.99
15,FeI,5247.05,0.09,112.3,6.68
16,FeI,5250.21,0.12,124.2,6.82
17,FeI,5250.65,2.2,122.5,6.62
18,FeI,5293.96,4.14,32.7,7.5
19,FeI,5295.31,4.42,17.7,7.17
20,FeI,5321.11,4.43,50.6,7.32
21,FeI,5322.04,2.28,59.5,6.55
22,FeI,5365.4,3.57,75.1,6.75
23,FeI,5379.57,3.69,44.8,6.86
24,FeI,5386.33,4.15,18.8,6.97
25,FeI,5389.48,4.42,67.5,6.84
26,FeI,5398.28,4.45,56.6,6.97
27,FeI,5417.03,4.42,21.8,7.28
28,FeI,5436.59,2.28,87.3,7.09
29,FeI,5441.34,4.31,18.3,7.12
30,FeI,5445.04,4.39,83.6,6.6
31,FeI,5464.28,4.14,43.5,7.3
32,FeI,5466.4,4.37,75.0,7.11
33,FeI,5470.09,4.45,56.9,8.06
34,FeI,5473.9,4.15,65.1,6.91
35,FeI,5494.46,4.08,49.4,8.0
36,FeI,5522.45,4.21,33.2,7.16
37,FeI,5539.28,3.64,5.9,6.66
38,FeI,5543.94,4.22,59.4,7.17
39,FeI,5560.21,4.43,30.4,7.02
40,FeI,5587.57,4.14,35.8,7.56
41,FeI,5624.02,4.39,34.3,7.33
42,FeI,5633.95,4.99,40.9,7.09
43,FeI,5636.7,3.64,15.5,7.09
44,FeI,5638.26,4.22,61.3,6.93
45,FeI,5641.43,4.26,44.7,7.05
46,FeI,5651.47,4.47,11.4,7.34
47,FeI,5652.32,4.26,21.1,7.36
48,FeI,5653.87,4.39,27.3,7.35
49,FeI,5655.18,5.06,30.1,7.45
50,FeI,5662.52,4.18,87.1,6.98
51,FeI,5679.02,4.65,38.6,7.16
52,FeI,5701.54,2.56,102.0,6.81
53,FeI,5705.46,4.3,22.9,6.96
54,FeI,5731.76,4.26,43.9,7.16
55,FeI,5741.85,4.26,33.4,7.45
56,FeI,5775.08,4.22,45.4,7.24
57,FeI,5778.45,2.59,40.9,7.25
58,FeI,5853.15,1.49,26.4,7.24
59,FeI,5855.08,4.61,9.3,7.0
60,FeI,5883.82,3.96,33.1,6.64
61,FeI,5902.47,4.59,9.2,7.24
62,FeI,5905.67,4.65,20.4,6.67
63,FeI,5927.79,4.65,29.7,7.18
64,FeI,5929.68,4.55,23.1,7.23
65,FeI,5930.18,4.65,62.9,6.91
66,FeI,5934.65,3.93,57.6,6.77
67,FeI,5956.69,0.86,90.3,6.87
68,FeI,6003.01,3.88,74.6,6.97
69,FeI,6012.21,2.22,25.1,7.05
70,FeI,6027.05,4.08,44.5,6.92
71,FeI,6065.48,2.61,130.5,6.44
