,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4875.88,3.33,55.2,6.9
1,FeI,4924.77,2.28,107.1,6.68
2,FeI,4950.11,3.42,60.1,6.83
3,FeI,4962.57,4.18,58.5,7.35
4,FeI,4969.92,4.22,61.9,6.88
5,FeI,5060.08,0.0,108.0,7.18
6,FeI,5109.65,4.3,66.8,7.31
7,FeI,5131.47,2.22,75.9,6.53
8,FeI,5215.18,3.27,107.2,6.34
9,FeI,5217.39,3.21,105.5,6.52
10,FeI,5225.53,0.11,119.0,6.68
11,FeI,5228.38,4.22,49.2,7.22
12,FeI,5242.49,3.63,74.8,6.78
13,FeI,5243.78,4.26,39.5,6.97
14,FeI,5247.05,0.09,106.0,6.68
15,FeI,5250.21,0.12,117.2,6.82
16,FeI,5250.65,2.2,116.1,6.66
17,FeI,5293.96,4.14,30.2,7.42
18,FeI,5321.11,4.43,49.4,7.36
19,FeI,5322.04,2.28,59.4,6.62
20,FeI,5365.4,3.57,73.3,6.79
21,FeI,5389.48,4.42,66.5,6.89
22,FeI,5417.03,4.42,22.7,7.35
23,FeI,5436.59,2.28,42.9,6.49
24,FeI,5445.04,4.39,84.5,6.68
25,FeI,5464.28,4.14,34.2,7.17
26,FeI,5466.4,4.37,74.1,7.17
27,FeI,5470.09,4.45,53.0,8.06
28,FeI,5473.9,4.15,61.2,6.93
29,FeI,5522.45,4.21,31.5,7.18
30,FeI,5543.94,4.22,59.4,7.24
31,FeI,5587.57,4.14,37.1,7.56
32,FeI,5624.02,4.39,32.5,7.35
33,FeI,5633.95,4.99,37.5,7.09
34,FeI,5638.26,4.22,61.4,7.0
35,FeI,5641.43,4.26,44.6,7.11
36,FeI,5655.18,5.06,28.5,7.3
37,FeI,5662.52,4.18,84.4,7.02
38,FeI,5701.54,2.56,100.5,6.89
39,FeI,5705.46,4.3,22.8,7.01
40,FeI,5731.76,4.26,42.7,7.21
41,FeI,5741.85,4.26,32.2,7.49
42,FeI,5775.08,4.22,42.4,7.25
43,FeI,5853.15,1.49,25.5,7.29
44,FeI,5902.47,4.59,25.9,7.91
45,FeI,6012.21,2.22,25.1,7.11
46,FeI,6082.71,2.22,49.9,7.14
47,FeI,6120.25,0.91,93.3,8.48
48,FeI,6151.62,2.18,58.8,6.97
49,FeI,6165.36,4.14,20.7,6.93
50,FeI,6173.33,2.22,80.3,6.93
51,FeI,6213.43,2.22,24.9,5.55
52,FeI,6219.28,2.2,101.4,6.73
53,FeI,6240.65,2.22,62.7,6.98
54,FeI,6246.32,3.6,99.5,6.63
55,FeI,6265.13,2.18,28.3,5.63
56,FeI,6270.22,2.86,67.6,7.21
57,FeI,6297.79,2.22,79.0,6.73
58,FeI,6301.5,3.65,22.8,5.61
59,FeI,6315.81,4.08,92.6,8.16
60,FeI,6322.69,2.59,103.6,7.22
61,FeI,6335.33,2.2,108.9,6.56
62,FeI,6338.88,4.8,68.3,7.95
63,FeI,6380.74,4.19,113.5,8.3
64,FeI,6400.32,0.91,24.8,5.6
65,FeI,6475.62,2.56,38.6,6.74
66,FeI,6481.87,2.28,77.4,7.04
67,FeI,6574.23,0.99,63.6,7.15
68,FeI,6609.11,2.56,35.2,6.4
69,FeI,6627.54,4.55,79.0,8.42
70,FeI,6648.08,1.01,59.2,7.97
71,FeI,6739.52,1.56,28.5,7.03
72,FeI,6786.86,4.19,28.6,7.61
73,FeI,6806.84,2.73,26.7,5.89
74,FeI,6810.26,4.61,25.4,7.1
75,FeII,4993.36,2.81,72.8,9.88
76,FeII,5425.26,3.2,25.4,8.94
