,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.2,6.76
1,FeI,4788.76,3.24,103.3,6.91
2,FeI,4793.96,3.05,33.9,6.81
3,FeI,4794.35,2.42,51.0,6.82
4,FeI,4802.88,3.64,85.8,6.74
5,FeI,4808.15,3.25,60.9,6.85
6,FeI,4869.46,3.55,51.5,6.78
7,FeI,4873.75,3.3,34.9,6.68
8,FeI,4875.88,3.33,94.1,6.89
9,FeI,4877.6,3.0,58.4,6.81
10,FeI,4907.73,3.43,95.1,6.95
11,FeI,4950.11,3.42,108.2,7.05
12,FeI,4962.57,4.18,74.3,6.82
13,FeI,4969.92,4.22,95.2,6.81
14,FeI,4999.11,4.19,46.8,6.73
15,FeI,5012.69,4.28,50.0,6.96
16,FeI,5023.19,4.28,57.8,6.92
17,FeI,5054.64,3.64,68.9,6.73
18,FeI,5058.5,3.64,29.5,6.87
19,FeI,5088.15,4.15,52.4,6.82
20,FeI,5109.65,4.3,81.9,6.9
21,FeI,5115.78,3.57,37.5,6.75
22,FeI,5141.74,2.42,137.2,6.69
23,FeI,5197.94,4.3,40.4,6.64
24,FeI,5223.18,3.63,57.2,6.34
25,FeI,5225.53,0.11,190.0,7.42
26,FeI,5228.38,4.22,86.0,7.08
27,FeI,5242.49,3.63,112.2,6.71
28,FeI,5243.78,4.26,81.5,6.89
29,FeI,5250.65,2.2,169.2,6.9
30,FeI,5253.02,2.28,67.5,6.76
31,FeI,5253.46,3.28,106.5,6.65
32,FeI,5262.88,3.25,46.7,6.41
33,FeI,5285.13,4.43,40.9,6.82
34,FeI,5288.52,3.69,91.0,6.84
35,FeI,5293.96,4.14,52.3,6.9
36,FeI,5294.55,3.64,36.7,6.93
37,FeI,5295.31,4.42,44.2,6.91
38,FeI,5321.11,4.43,58.1,6.7
39,FeI,5322.04,2.28,116.8,6.74
40,FeI,5365.4,3.57,107.6,6.57
41,FeI,5373.71,4.47,81.1,6.87
42,FeI,5379.57,3.69,90.5,6.82
43,FeI,5386.33,4.15,50.4,6.76
44,FeI,5389.48,4.42,99.8,6.82
45,FeI,5395.22,4.45,31.9,7.18
46,FeI,5398.28,4.45,86.1,6.8
47,FeI,5412.78,4.43,34.0,6.85
48,FeI,5417.03,4.42,46.9,6.95
49,FeI,5441.34,4.31,45.9,6.84
50,FeI,5461.55,4.45,44.2,7.15
51,FeI,5464.28,4.14,62.2,6.71
52,FeI,5466.4,4.37,97.6,6.93
53,FeI,5470.09,4.45,39.7,6.97
54,FeI,5473.9,4.15,99.5,6.83
55,FeI,5483.1,4.15,70.7,6.87
56,FeI,5487.15,4.42,60.1,7.04
57,FeI,5491.83,4.19,22.5,6.75
58,FeI,5494.46,4.08,49.9,6.98
59,FeI,5522.45,4.21,62.6,6.84
60,FeI,5536.58,2.83,31.8,6.71
61,FeI,5539.28,3.64,42.7,6.84
62,FeI,5543.94,4.22,84.4,6.86
63,FeI,5546.51,4.37,73.2,7.02
64,FeI,5560.21,4.43,67.4,6.86
65,FeI,5587.57,4.14,60.3,7.02
66,FeI,5618.63,4.21,71.5,6.83
67,FeI,5619.6,4.39,56.3,7.1
68,FeI,5624.02,4.39,69.6,7.13
69,FeI,5633.95,4.99,75.1,6.85
70,FeI,5635.82,4.26,55.5,7.1
71,FeI,5636.7,3.64,46.2,6.85
72,FeI,5638.26,4.22,98.9,6.87
73,FeI,5641.43,4.26,93.4,7.12
74,FeI,5649.99,5.1,42.0,6.96
75,FeI,5651.47,4.47,30.9,7.02
76,FeI,5652.32,4.26,44.0,6.95
77,FeI,5653.87,4.39,55.3,7.02
78,FeI,5655.18,5.06,57.6,6.99
79,FeI,5661.35,4.28,42.0,6.85
80,FeI,5662.52,4.18,114.4,6.91
81,FeI,5679.02,4.65,70.9,6.94
82,FeI,5691.5,4.3,62.5,6.92
83,FeI,5696.09,4.55,23.6,6.76
84,FeI,5698.02,3.64,38.5,6.77
85,FeI,5701.54,2.56,144.3,6.88
86,FeI,5705.46,4.3,58.6,6.78
87,FeI,5731.76,4.26,80.8,6.99
88,FeI,5732.3,4.99,20.3,6.97
89,FeI,5741.85,4.26,50.6,6.89
90,FeI,5742.96,4.18,25.2,7.01
91,FeI,5760.34,3.64,50.9,6.81
92,FeI,5775.08,4.22,81.4,7.04
93,FeI,5778.45,2.59,73.3,6.82
94,FeI,5784.66,3.4,62.0,6.82
95,FeI,5849.68,3.69,24.2,6.84
96,FeI,5853.15,1.49,63.6,6.88
97,FeI,5855.08,4.61,33.6,6.82
98,FeI,5858.78,4.22,25.2,6.82
99,FeI,5883.82,3.96,89.4,6.81
100,FeI,5902.47,4.59,19.2,6.69
101,FeI,5927.79,4.65,55.2,6.8
102,FeI,5929.68,4.55,56.9,7.02
103,FeI,5930.18,4.65,100.0,6.89
104,FeI,5934.65,3.93,104.2,6.87
105,FeI,5956.69,0.86,153.9,7.16
106,FeI,6012.21,2.22,78.9,7.02
107,FeI,6027.05,4.08,90.7,6.83
108,FeI,6065.48,2.61,175.7,6.66
109,FeI,6079.01,4.65,60.1,6.92
110,FeI,6082.71,2.22,102.9,7.01
111,FeI,6093.64,4.61,43.4,6.93
112,FeI,6094.37,4.65,29.1,7.14
113,FeI,6096.66,3.98,63.6,6.91
114,FeI,6120.25,0.91,68.6,6.93
115,FeI,6127.91,4.14,74.9,6.92
116,FeI,6151.62,2.18,117.2,6.9
117,FeI,6165.36,4.14,69.5,6.88
118,FeI,6173.33,2.22,136.2,6.87
119,FeI,6187.99,3.94,75.4,6.86
120,FeI,6200.31,2.61,131.1,6.87
121,FeI,6219.28,2.2,162.0,6.78
122,FeI,6226.73,3.88,51.9,6.85
123,FeI,6229.23,2.85,86.7,6.76
124,FeI,6246.32,3.6,136.6,6.68
125,FeI,6252.56,2.4,186.3,6.74
126,FeI,6265.13,2.18,163.4,6.86
127,FeI,6270.22,2.86,103.8,6.82
128,FeI,6271.28,3.33,60.3,6.84
129,FeI,6315.81,4.08,68.4,6.9
130,FeI,6322.69,2.59,136.9,6.97
131,FeI,6335.33,2.2,174.6,6.65
132,FeI,6336.82,3.69,132.2,6.75
133,FeI,6393.6,2.43,196.7,6.63
134,FeI,6411.65,3.65,145.3,6.7
135,FeI,6430.85,2.18,196.8,6.64
136,FeI,6481.87,2.28,134.2,6.95
137,FeI,6496.47,4.8,86.2,7.08
138,FeI,6498.94,0.96,151.2,7.18
139,FeI,6518.37,2.83,112.8,6.75
140,FeI,6533.93,4.56,51.7,6.96
141,FeI,6574.23,0.99,125.6,7.03
142,FeI,6593.87,2.43,154.1,6.93
143,FeI,6597.56,4.8,54.6,6.93
144,FeI,6609.11,2.56,131.6,7.01
145,FeI,6648.08,1.01,75.2,7.06
146,FeI,6699.14,4.59,15.9,6.95
147,FeI,6703.57,2.76,92.1,6.94
148,FeI,6713.74,4.8,30.1,6.99
149,FeI,6739.52,1.56,77.0,6.73
150,FeI,6810.26,4.61,66.1,6.9
151,FeII,4993.36,2.81,45.4,6.94
152,FeII,5264.81,3.23,39.7,6.78
153,FeII,5325.55,3.22,38.4,6.77
154,FeII,5414.07,3.22,21.6,6.71
155,FeII,5425.26,3.2,37.3,6.78
156,FeII,5534.85,3.25,61.2,7.07
157,FeII,5991.38,3.15,34.3,7.11
158,FeII,6084.11,3.2,21.8,7.04
159,FeII,6432.68,2.89,40.0,6.88
160,FeII,6456.38,3.9,49.8,7.0
