,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.2,6.86
1,FeI,4788.76,3.24,103.1,7.04
2,FeI,4793.96,3.05,33.1,6.8
3,FeI,4794.35,2.42,50.1,6.84
4,FeI,4802.88,3.64,84.5,6.83
5,FeI,4808.15,3.25,59.7,6.88
6,FeI,4869.46,3.55,51.6,6.82
7,FeI,4873.75,3.3,35.2,6.7
8,FeI,4875.88,3.33,94.1,7.02
9,FeI,4877.6,3.0,58.6,6.87
10,FeI,4907.73,3.43,94.7,7.07
11,FeI,4950.11,3.42,107.3,7.17
12,FeI,4962.57,4.18,73.8,6.9
13,FeI,4969.92,4.22,93.0,6.93
14,FeI,4999.11,4.19,45.8,6.75
15,FeI,5012.69,4.28,49.3,6.99
16,FeI,5023.19,4.28,57.4,6.97
17,FeI,5054.64,3.64,68.4,6.79
18,FeI,5058.5,3.64,29.1,6.87
19,FeI,5088.15,4.15,52.4,6.88
20,FeI,5109.65,4.3,82.1,7.03
21,FeI,5115.78,3.57,37.3,6.77
22,FeI,5197.94,4.3,40.2,6.66
23,FeI,5223.18,3.63,56.1,6.36
24,FeI,5228.38,4.22,85.1,7.19
25,FeI,5242.49,3.63,111.2,6.83
26,FeI,5243.78,4.26,80.9,7.0
27,FeI,5253.02,2.28,67.1,6.82
28,FeI,5253.46,3.28,105.9,6.79
29,FeI,5262.88,3.25,46.5,6.44
30,FeI,5285.13,4.43,40.6,6.84
31,FeI,5288.52,3.69,90.7,6.95
32,FeI,5293.96,4.14,51.8,6.92
33,FeI,5294.55,3.64,36.3,6.94
34,FeI,5295.31,4.42,43.7,6.93
35,FeI,5321.11,4.43,57.1,6.73
36,FeI,5322.04,2.28,115.4,6.89
37,FeI,5365.4,3.57,107.1,6.69
38,FeI,5373.71,4.47,80.6,6.97
39,FeI,5379.57,3.69,89.9,6.92
40,FeI,5386.33,4.15,49.8,6.79
41,FeI,5389.48,4.42,99.2,6.96
42,FeI,5395.22,4.45,31.3,7.18
43,FeI,5398.28,4.45,85.4,6.91
44,FeI,5412.78,4.43,33.5,6.86
45,FeI,5417.03,4.42,46.4,6.97
46,FeI,5441.34,4.31,45.4,6.87
47,FeI,5461.55,4.45,43.4,7.17
48,FeI,5464.28,4.14,61.4,6.75
49,FeI,5466.4,4.37,96.8,7.06
50,FeI,5470.09,4.45,39.0,6.99
51,FeI,5473.9,4.15,98.8,6.99
52,FeI,5483.1,4.15,69.8,6.95
53,FeI,5487.15,4.42,59.3,7.09
54,FeI,5491.83,4.19,20.7,6.71
55,FeI,5494.46,4.08,49.2,7.0
56,FeI,5522.45,4.21,61.8,6.89
57,FeI,5536.58,2.83,31.4,6.71
58,FeI,5539.28,3.64,42.2,6.85
59,FeI,5543.94,4.22,83.8,6.97
60,FeI,5546.51,4.37,72.1,7.08
61,FeI,5560.21,4.43,66.8,6.93
62,FeI,5587.57,4.14,59.7,7.06
63,FeI,5618.63,4.21,70.7,6.9
64,FeI,5619.6,4.39,55.5,7.13
65,FeI,5624.02,4.39,68.7,7.19
66,FeI,5633.95,4.99,74.1,6.97
67,FeI,5635.82,4.26,54.1,7.13
68,FeI,5636.7,3.64,45.3,6.85
69,FeI,5638.26,4.22,97.9,7.01
70,FeI,5641.43,4.26,92.4,7.24
71,FeI,5649.99,5.1,41.1,6.98
72,FeI,5651.47,4.47,30.1,7.02
73,FeI,5652.32,4.26,43.2,6.97
74,FeI,5655.18,5.06,56.7,7.04
75,FeI,5661.35,4.28,41.0,6.86
76,FeI,5662.52,4.18,113.4,7.08
77,FeI,5679.02,4.65,70.0,7.01
78,FeI,5691.5,4.3,60.1,6.93
79,FeI,5696.09,4.55,23.1,6.76
80,FeI,5698.02,3.64,37.3,6.76
81,FeI,5705.46,4.3,57.7,6.82
82,FeI,5731.76,4.26,79.5,7.07
83,FeI,5741.85,4.26,49.9,6.92
84,FeI,5742.96,4.18,23.9,6.99
85,FeI,5760.34,3.64,49.7,6.82
86,FeI,5775.08,4.22,80.9,7.15
87,FeI,5778.45,2.59,72.4,6.88
88,FeI,5784.66,3.4,60.3,6.83
89,FeI,5853.15,1.49,62.9,6.91
90,FeI,6012.21,2.22,77.8,7.06
91,FeI,6079.01,4.65,69.8,7.18
92,FeI,6082.71,2.22,101.9,7.09
93,FeI,6120.25,0.91,67.9,6.95
94,FeI,6127.91,4.14,68.4,6.85
95,FeI,6151.62,2.18,116.2,7.06
96,FeI,6229.23,2.85,85.6,6.83
97,FeI,6270.22,2.86,98.1,6.84
98,FeI,6271.28,3.33,58.7,6.85
99,FeI,6518.37,2.83,111.8,6.89
100,FeI,6648.08,1.01,74.5,7.09
101,FeI,6703.57,2.76,91.3,7.02
102,FeI,6739.52,1.56,76.1,6.76
103,FeII,4993.36,2.81,44.6,7.0
104,FeII,5264.81,3.23,39.6,6.85
105,FeII,5325.55,3.22,37.5,6.81
106,FeII,5414.07,3.22,21.3,6.74
107,FeII,5425.26,3.2,36.9,6.84
108,FeII,5534.85,3.25,54.3,7.01
