,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4788.76,3.24,30.9,5.94
1,FeI,4802.88,3.64,22.7,5.96
2,FeI,4808.15,3.25,8.0,6.16
3,FeI,4875.88,3.33,19.9,5.91
4,FeI,4907.73,3.43,20.8,5.96
5,FeI,4924.77,2.28,66.8,5.81
6,FeI,4946.39,3.37,62.9,5.87
7,FeI,4950.11,3.42,33.4,6.03
8,FeI,4962.57,4.18,16.6,6.07
9,FeI,4969.92,4.22,32.8,5.96
10,FeI,4985.55,2.87,77.7,5.65
11,FeI,4994.13,0.92,90.5,5.47
12,FeI,5044.21,2.85,44.6,5.92
13,FeI,5049.82,2.28,118.8,5.59
14,FeI,5060.08,0.0,38.6,5.94
15,FeI,5107.45,0.99,97.1,5.72
16,FeI,5107.64,1.56,90.6,5.52
17,FeI,5109.65,4.3,31.8,6.3
18,FeI,5127.36,0.92,84.5,5.64
19,FeI,5131.47,2.22,53.7,5.86
20,FeI,5141.74,2.42,66.1,5.86
21,FeI,5194.94,1.56,102.2,5.32
22,FeI,5198.71,2.22,75.8,5.78
23,FeI,5215.18,3.27,83.6,5.64
24,FeI,5217.39,3.21,76.8,5.77
25,FeI,5225.53,0.11,60.8,5.78
26,FeI,5242.49,3.63,51.1,5.9
27,FeI,5243.78,4.26,17.3,6.0
28,FeI,5247.05,0.09,53.6,5.84
29,FeI,5250.21,0.12,53.7,5.82
30,FeI,5250.65,2.2,76.5,5.83
31,FeI,5253.46,3.28,38.7,5.84
32,FeI,5302.3,3.28,96.2,5.62
33,FeI,5322.04,2.28,28.8,5.77
34,FeI,5339.93,3.27,106.8,5.66
35,FeI,5364.87,4.45,74.5,5.77
36,FeI,5365.4,3.57,42.6,5.76
37,FeI,5367.47,4.41,82.1,5.59
38,FeI,5373.71,4.47,19.9,6.02
39,FeI,5379.57,3.69,21.8,5.96
40,FeI,5389.48,4.42,38.5,5.96
41,FeI,5398.28,4.45,28.4,6.04
42,FeI,5415.2,4.39,97.8,5.5
43,FeI,5424.07,4.32,107.4,5.64
44,FeI,5445.04,4.39,67.5,5.89
45,FeI,5466.4,4.37,33.0,6.04
46,FeI,5470.09,4.45,5.3,6.31
47,FeI,5473.9,4.15,35.5,6.0
48,FeI,5522.45,4.21,8.7,6.01
49,FeI,5543.94,4.22,20.2,6.01
50,FeI,5546.51,4.37,12.4,6.11
51,FeI,5560.21,4.43,12.4,6.07
52,FeI,5569.62,3.42,101.9,5.56
53,FeI,5576.09,3.43,77.0,5.77
54,FeI,5618.63,4.21,12.1,5.98
55,FeI,5619.6,4.39,5.7,6.16
56,FeI,5633.95,4.99,17.7,6.01
57,FeI,5638.26,4.22,31.3,5.97
58,FeI,5653.87,4.39,7.0,6.19
59,FeI,5662.52,4.18,49.9,6.01
60,FeI,5679.02,4.65,15.1,6.14
61,FeI,5701.54,2.56,54.3,5.86
62,FeI,5705.46,4.3,7.2,5.92
63,FeI,5731.76,4.26,16.0,6.09
64,FeI,5741.85,4.26,5.6,6.07
65,FeI,5775.08,4.22,16.6,6.16
66,FeI,5778.45,2.59,5.5,5.9
67,FeI,5883.82,3.96,20.4,5.93
68,FeI,5905.67,4.65,14.2,5.97
69,FeI,5927.79,4.65,8.2,6.01
70,FeI,5929.68,4.55,7.2,6.15
71,FeI,5930.18,4.65,39.6,6.05
72,FeI,5934.65,3.93,29.2,5.89
73,FeI,5956.69,0.86,32.4,5.89
74,FeI,6003.01,3.88,36.0,6.0
75,FeI,6012.21,2.22,5.1,6.03
76,FeI,6027.05,4.08,24.3,6.0
77,FeI,6065.48,2.61,88.2,5.65
78,FeI,6079.01,4.65,8.6,6.05
79,FeI,6096.66,3.98,7.0,6.01
80,FeI,6136.99,2.2,40.2,5.99
81,FeI,6151.62,2.18,22.3,5.97
82,FeI,6165.36,4.14,10.2,6.01
83,FeI,6173.33,2.22,40.6,5.96
84,FeI,6187.99,3.94,9.5,5.89
85,FeI,6200.31,2.61,40.6,5.92
86,FeI,6219.28,2.2,64.5,5.86
87,FeI,6246.32,3.6,76.0,5.83
88,FeI,6252.56,2.4,92.5,5.73
89,FeI,6265.13,2.18,61.9,5.9
90,FeI,6270.22,2.86,19.9,5.92
91,FeI,6297.79,2.22,56.7,6.03
92,FeI,6315.81,4.08,9.3,6.02
93,FeI,6322.69,2.59,44.4,5.99
94,FeI,6335.33,2.2,77.7,5.78
95,FeI,6336.82,3.69,66.2,5.87
96,FeI,6393.6,2.43,101.1,5.62
97,FeI,6411.65,3.65,85.0,5.81
98,FeI,6430.85,2.18,89.6,5.7
99,FeI,6481.87,2.28,34.7,6.0
100,FeI,6496.47,4.8,17.2,6.05
101,FeI,6498.94,0.96,27.0,5.99
102,FeI,6574.23,0.99,12.0,5.92
103,FeI,6593.87,2.43,55.6,5.92
104,FeI,6597.56,4.8,8.0,6.11
105,FeI,6609.11,2.56,33.4,5.99
106,FeI,6703.57,2.76,11.7,6.04
107,FeI,6750.15,2.42,45.8,5.96
108,FeI,6810.26,4.61,10.1,6.02
109,FeII,4923.93,2.89,72.1,5.76
110,FeII,4993.36,2.81,11.4,6.76
111,FeII,5316.62,3.15,39.2,6.08
112,FeII,6456.38,3.9,10.1,6.37
