,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,82.3,7.24
1,FeI,4788.76,3.24,103.5,7.33
2,FeI,4802.88,3.64,88.2,7.17
3,FeI,4808.15,3.25,61.6,7.21
4,FeI,4869.46,3.55,54.0,7.12
5,FeI,4875.88,3.33,94.8,7.29
6,FeI,4877.6,3.0,58.3,7.17
7,FeI,4907.73,3.43,97.3,7.38
8,FeI,4950.11,3.42,110.2,7.46
9,FeI,4962.57,4.18,77.1,7.18
10,FeI,4969.92,4.22,96.1,7.17
11,FeI,4999.11,4.19,49.0,7.01
12,FeI,5012.69,4.28,53.1,7.26
13,FeI,5023.19,4.28,58.9,7.19
14,FeI,5058.5,3.64,29.6,7.13
15,FeI,5088.15,4.15,53.3,7.09
16,FeI,5109.65,4.3,86.7,7.3
17,FeI,5197.94,4.3,45.1,6.95
18,FeI,5223.18,3.63,57.3,6.63
19,FeI,5228.38,4.22,85.6,7.38
20,FeI,5242.49,3.63,114.2,7.13
21,FeI,5243.78,4.26,83.4,7.24
22,FeI,5253.02,2.28,66.7,7.19
23,FeI,5253.46,3.28,109.2,7.11
24,FeI,5285.13,4.43,43.5,7.08
25,FeI,5288.52,3.69,93.4,7.26
26,FeI,5293.96,4.14,53.9,7.17
27,FeI,5294.55,3.64,37.9,7.22
28,FeI,5295.31,4.42,46.6,7.16
29,FeI,5321.11,4.43,58.9,6.94
30,FeI,5365.4,3.57,110.7,7.03
31,FeI,5373.71,4.47,83.9,7.19
32,FeI,5379.57,3.69,93.4,7.25
33,FeI,5386.33,4.15,53.0,7.05
34,FeI,5389.48,4.42,101.4,7.15
35,FeI,5395.22,4.45,34.5,7.43
36,FeI,5398.28,4.45,89.0,7.14
37,FeI,5412.78,4.43,35.6,7.08
38,FeI,5417.03,4.42,49.5,7.21
39,FeI,5441.34,4.31,49.0,7.13
40,FeI,5461.55,4.45,44.3,7.36
41,FeI,5464.28,4.14,61.6,6.95
42,FeI,5466.4,4.37,98.2,7.25
43,FeI,5470.09,4.45,41.8,7.22
44,FeI,5473.9,4.15,103.3,7.26
45,FeI,5483.1,4.15,73.0,7.21
46,FeI,5487.15,4.42,61.2,7.29
47,FeI,5491.83,4.19,23.0,6.97
48,FeI,5494.46,4.08,51.2,7.24
49,FeI,5522.45,4.21,64.0,7.12
50,FeI,5539.28,3.64,43.7,7.12
51,FeI,5543.94,4.22,86.6,7.21
52,FeI,5546.51,4.37,75.2,7.32
53,FeI,5560.21,4.43,70.5,7.17
54,FeI,5587.57,4.14,62.2,7.3
55,FeI,5618.63,4.21,72.9,7.13
56,FeI,5619.6,4.39,57.0,7.34
57,FeI,5624.02,4.39,72.5,7.44
58,FeI,5633.95,4.99,78.1,7.17
59,FeI,5635.82,4.26,57.2,7.37
60,FeI,5636.7,3.64,47.0,7.13
61,FeI,5638.26,4.22,101.0,7.25
62,FeI,5641.43,4.26,95.4,7.48
63,FeI,5649.99,5.1,44.8,7.17
64,FeI,5651.47,4.47,32.4,7.24
65,FeI,5652.32,4.26,45.2,7.19
66,FeI,5655.18,5.06,61.2,7.24
67,FeI,5661.35,4.28,43.3,7.09
68,FeI,5662.52,4.18,117.2,7.32
69,FeI,5679.02,4.65,74.2,7.23
70,FeI,5691.5,4.3,63.3,7.18
71,FeI,5696.09,4.55,24.1,6.95
72,FeI,5698.02,3.64,39.5,7.05
73,FeI,5705.46,4.3,60.2,7.04
74,FeI,5731.76,4.26,83.1,7.33
75,FeI,5732.3,4.99,22.8,7.18
76,FeI,5741.85,4.26,52.9,7.16
77,FeI,5742.96,4.18,24.8,7.21
78,FeI,5760.34,3.64,52.5,7.12
79,FeI,5775.08,4.22,85.0,7.42
80,FeI,5778.45,2.59,72.7,7.23
81,FeI,5784.66,3.4,61.5,7.12
82,FeI,5838.37,3.94,20.9,6.65
83,FeI,5905.67,4.65,68.5,6.97
84,FeI,5930.18,4.65,113.6,7.41
85,FeI,6079.01,4.65,57.6,7.07
86,FeI,6127.91,4.14,74.0,7.16
87,FeI,6173.33,2.22,113.2,7.02
88,FeI,6229.23,2.85,79.1,7.02
89,FeI,6270.22,2.86,102.1,7.24
90,FeI,6627.54,4.55,56.7,7.46
91,FeI,6699.14,4.59,25.6,7.39
92,FeII,4993.36,2.81,47.4,7.08
93,FeII,5256.94,2.89,22.8,7.02
94,FeII,5264.81,3.23,46.2,6.99
95,FeII,5325.55,3.22,43.9,6.96
96,FeII,5414.07,3.22,27.3,6.93
97,FeII,5425.26,3.2,42.9,6.97
98,FeII,5534.85,3.25,60.5,7.11
