,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4994.13,0.92,8.6,5.27
1,FeI,5217.39,3.21,6.6,5.34
2,FeI,5232.94,2.94,48.1,5.26
3,FeI,5250.65,2.2,6.8,5.49
4,FeI,5397.13,0.92,52.2,5.45
5,FeI,5424.07,4.32,25.4,5.4
6,FeI,5434.52,1.01,41.4,5.41
7,FeI,5445.04,4.39,8.1,5.38
8,FeI,5569.62,3.42,14.1,5.25
9,FeI,5576.09,3.43,7.0,5.33
10,FeI,6065.48,2.61,10.3,5.33
11,FeI,6246.32,3.6,5.4,5.25
12,FeI,6252.56,2.4,10.7,5.41
13,FeI,6335.33,2.2,6.4,5.42
14,FeI,6336.82,3.69,5.7,5.4
15,FeI,6393.6,2.43,14.8,5.38
16,FeI,6411.65,3.65,8.5,5.36
17,FeI,6430.85,2.18,9.4,5.38
18,FeI,6494.98,2.4,23.2,5.36
19,FeI,6593.87,2.43,5.1,5.73
20,FeII,4923.93,2.89,65.7,5.42
