,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4788.76,3.24,46.4,7.42
1,FeI,4802.88,3.64,40.4,7.4
2,FeI,4808.15,3.25,10.9,7.47
3,FeI,4875.88,3.33,25.2,7.21
4,FeI,4907.73,3.43,34.8,7.41
5,FeI,4924.77,2.28,73.1,7.52
6,FeI,4946.39,3.37,75.0,7.45
7,FeI,4950.11,3.42,50.2,7.52
8,FeI,4962.57,4.18,34.3,7.38
9,FeI,4969.92,4.22,60.3,7.41
10,FeI,4985.55,2.87,85.5,7.4
11,FeI,4994.13,0.92,86.1,7.43
12,FeI,5044.21,2.85,47.1,7.35
13,FeI,5049.82,2.28,111.4,7.46
14,FeI,5107.45,0.99,87.8,7.61
15,FeI,5107.64,1.56,95.8,7.55
16,FeI,5127.36,0.92,75.5,7.46
17,FeI,5131.47,2.22,59.7,7.52
18,FeI,5141.74,2.42,62.2,7.33
19,FeI,5197.94,4.3,18.7,7.45
20,FeI,5198.71,2.22,74.9,7.41
21,FeI,5215.18,3.27,94.0,7.39
22,FeI,5217.39,3.21,84.7,7.42
23,FeI,5225.53,0.11,32.5,7.39
24,FeI,5228.38,4.22,41.5,7.55
25,FeI,5232.94,2.94,154.3,7.18
26,FeI,5242.49,3.63,71.5,7.44
27,FeI,5243.78,4.26,41.0,7.43
28,FeI,5247.05,0.09,22.7,7.37
29,FeI,5250.21,0.12,23.2,7.36
30,FeI,5250.65,2.2,80.3,7.57
31,FeI,5253.46,3.28,51.4,7.32
32,FeI,5288.52,3.69,35.4,7.31
33,FeI,5293.96,4.14,12.9,7.36
34,FeI,5295.31,4.42,14.1,7.45
35,FeI,5302.3,3.28,100.8,7.37
36,FeI,5322.04,2.28,30.5,7.29
37,FeI,5339.93,3.27,104.7,7.38
38,FeI,5364.87,4.45,102.5,7.34
39,FeI,5365.4,3.57,62.9,7.26
40,FeI,5373.71,4.47,46.1,7.41
41,FeI,5379.57,3.69,39.2,7.39
42,FeI,5386.33,4.15,14.1,7.31
43,FeI,5389.48,4.42,68.1,7.39
44,FeI,5395.22,4.45,6.9,7.61
45,FeI,5398.28,4.45,55.5,7.42
46,FeI,5412.78,4.43,8.8,7.36
47,FeI,5417.03,4.42,15.8,7.5
48,FeI,5441.34,4.31,12.9,7.36
49,FeI,5466.4,4.37,62.3,7.47
50,FeI,5470.09,4.45,11.5,7.49
51,FeI,5473.9,4.15,62.4,7.47
52,FeI,5483.1,4.15,25.8,7.38
53,FeI,5494.46,4.08,11.3,7.45
54,FeI,5522.45,4.21,22.7,7.39
55,FeI,5543.94,4.22,42.8,7.41
56,FeI,5546.51,4.37,32.1,7.5
57,FeI,5560.21,4.43,33.6,7.45
58,FeI,5576.09,3.43,87.2,7.41
59,FeI,5618.63,4.21,30.1,7.39
60,FeI,5619.6,4.39,15.6,7.48
61,FeI,5633.95,4.99,50.3,7.39
62,FeI,5638.26,4.22,58.3,7.43
63,FeI,5641.43,4.26,40.2,7.44
64,FeI,5649.99,5.1,21.8,7.48
65,FeI,5651.47,4.47,7.9,7.52
66,FeI,5652.32,4.26,11.3,7.46
67,FeI,5653.87,4.39,21.0,7.57
68,FeI,5655.18,5.06,36.1,7.56
69,FeI,5661.35,4.28,8.7,7.26
70,FeI,5662.52,4.18,74.0,7.48
71,FeI,5679.02,4.65,39.5,7.49
72,FeI,5691.5,4.3,22.5,7.43
73,FeI,5701.54,2.56,57.5,7.38
74,FeI,5705.46,4.3,18.8,7.26
75,FeI,5731.76,4.26,37.4,7.5
76,FeI,5732.3,4.99,7.5,7.48
77,FeI,5741.85,4.26,16.0,7.45
78,FeI,5855.08,4.61,11.5,7.38
79,FeI,5883.82,3.96,41.5,7.38
80,FeI,5905.67,4.65,41.1,7.38
81,FeI,5916.25,2.45,26.3,7.43
82,FeI,5927.79,4.65,24.5,7.34
83,FeI,5929.68,4.55,23.7,7.55
84,FeI,5930.18,4.65,70.0,7.43
85,FeI,5934.65,3.93,52.0,7.35
86,FeI,5956.69,0.86,14.8,7.36
87,FeI,6003.01,3.88,59.1,7.49
88,FeI,6027.05,4.08,47.9,7.44
89,FeI,6065.48,2.61,89.9,7.34
90,FeI,6079.01,4.65,27.7,7.43
91,FeI,6093.64,4.61,15.2,7.44
92,FeI,6094.37,4.65,8.3,7.61
93,FeI,6096.66,3.98,17.1,7.41
94,FeI,6127.91,4.14,28.1,7.4
95,FeI,6136.99,2.2,35.6,7.42
96,FeI,6151.62,2.18,17.3,7.34
97,FeI,6165.36,4.14,23.8,7.37
98,FeI,6173.33,2.22,37.4,7.41
99,FeI,6187.99,3.94,25.1,7.37
100,FeI,6200.31,2.61,43.5,7.39
101,FeI,6213.43,2.22,56.3,7.36
102,FeI,6219.28,2.2,65.4,7.46
103,FeI,6226.73,3.88,12.6,7.45
104,FeI,6232.64,3.65,56.7,7.37
105,FeI,6246.32,3.6,85.6,7.39
106,FeI,6252.56,2.4,93.9,7.49
107,FeI,6265.13,2.18,59.0,7.43
108,FeI,6270.22,2.86,25.9,7.38
109,FeI,6271.28,3.33,9.4,7.41
110,FeI,6297.79,2.22,47.7,7.42
111,FeI,6301.5,3.65,88.1,7.48
112,FeI,6322.69,2.59,45.6,7.45
113,FeI,6335.33,2.2,74.4,7.36
114,FeI,6336.82,3.69,78.2,7.38
115,FeI,6338.88,4.8,26.5,7.46
116,FeI,6380.74,4.19,32.3,7.5
117,FeI,6393.6,2.43,102.1,7.43
118,FeI,6411.65,3.65,94.6,7.43
119,FeI,6430.85,2.18,91.9,7.47
120,FeI,6481.87,2.28,30.4,7.41
121,FeI,6494.98,2.4,116.6,7.41
122,FeI,6496.47,4.8,51.1,7.51
123,FeI,6498.94,0.96,12.5,7.47
124,FeI,6518.37,2.83,33.0,7.34
125,FeI,6533.93,4.56,19.2,7.47
126,FeI,6593.87,2.43,53.5,7.39
127,FeI,6597.56,4.8,27.0,7.47
128,FeI,6609.11,2.56,36.3,7.46
129,FeI,6703.57,2.76,13.2,7.43
130,FeI,6713.74,4.8,10.6,7.5
131,FeI,6750.15,2.42,45.0,7.43
132,FeI,6810.26,4.61,30.8,7.41
133,FeII,4993.36,2.81,57.0,7.48
134,FeII,5256.94,2.89,27.9,7.47
