,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4788.76,3.24,45.8,7.35
1,FeI,4802.88,3.64,40.2,7.34
2,FeI,4907.73,3.43,34.6,7.36
3,FeI,4924.77,2.28,72.3,7.42
4,FeI,4946.39,3.37,74.5,7.37
5,FeI,4950.11,3.42,49.7,7.46
6,FeI,4962.57,4.18,34.0,7.33
7,FeI,4969.92,4.22,59.8,7.36
8,FeI,4985.55,2.87,84.9,7.31
9,FeI,4994.13,0.92,85.5,7.31
10,FeI,5044.21,2.85,46.9,7.29
11,FeI,5049.82,2.28,111.1,7.38
12,FeI,5107.45,0.99,87.7,7.5
13,FeI,5107.64,1.56,95.7,7.44
14,FeI,5127.36,0.92,75.0,7.35
15,FeI,5131.47,2.22,59.2,7.45
16,FeI,5141.74,2.42,61.8,7.26
17,FeI,5198.71,2.22,74.4,7.33
18,FeI,5215.18,3.27,93.2,7.31
19,FeI,5217.39,3.21,83.9,7.34
20,FeI,5225.53,0.11,31.9,7.33
21,FeI,5228.38,4.22,40.9,7.5
22,FeI,5242.49,3.63,70.8,7.34
23,FeI,5243.78,4.26,40.4,7.38
24,FeI,5247.05,0.09,22.2,7.31
25,FeI,5250.21,0.12,22.7,7.3
26,FeI,5250.65,2.2,80.0,7.48
27,FeI,5253.46,3.28,50.8,7.26
28,FeI,5288.52,3.69,35.2,7.26
29,FeI,5302.3,3.28,100.5,7.29
30,FeI,5322.04,2.28,30.2,7.24
31,FeI,5339.93,3.27,104.2,7.31
32,FeI,5364.87,4.45,102.5,7.35
33,FeI,5373.71,4.47,45.7,7.36
34,FeI,5379.57,3.69,38.7,7.33
35,FeI,5389.48,4.42,67.5,7.35
36,FeI,5398.28,4.45,54.9,7.37
37,FeI,5466.4,4.37,61.9,7.44
38,FeI,5473.9,4.15,61.8,7.42
39,FeI,5483.1,4.15,25.6,7.34
40,FeI,5522.45,4.21,22.6,7.35
41,FeI,5543.94,4.22,42.5,7.37
42,FeI,5546.51,4.37,31.8,7.46
43,FeI,5560.21,4.43,33.1,7.42
44,FeI,5576.09,3.43,86.6,7.34
45,FeI,5618.63,4.21,29.8,7.34
46,FeI,5633.95,4.99,49.8,7.35
47,FeI,5638.26,4.22,57.7,7.37
48,FeI,5641.43,4.26,39.8,7.39
49,FeI,5649.99,5.1,21.6,7.44
50,FeI,5655.18,5.06,35.9,7.5
51,FeI,5662.52,4.18,73.7,7.43
52,FeI,5679.02,4.65,39.2,7.44
53,FeI,5691.5,4.3,22.2,7.39
54,FeI,5701.54,2.56,56.9,7.32
55,FeI,5731.76,4.26,37.1,7.45
56,FeI,5905.67,4.65,40.5,7.34
57,FeI,5916.25,2.45,26.3,7.39
58,FeI,5927.79,4.65,25.1,7.32
59,FeI,5930.18,4.65,70.2,7.4
60,FeI,5934.65,3.93,51.8,7.3
61,FeI,6003.01,3.88,59.4,7.44
62,FeI,6027.05,4.08,47.4,7.38
63,FeI,6065.48,2.61,89.7,7.27
64,FeI,6079.01,4.65,27.3,7.39
65,FeI,6127.91,4.14,27.7,7.35
66,FeI,6136.99,2.2,35.3,7.37
67,FeI,6165.36,4.14,24.2,7.35
68,FeI,6173.33,2.22,37.5,7.38
69,FeI,6187.99,3.94,24.8,7.33
70,FeI,6200.31,2.61,43.4,7.34
71,FeI,6213.43,2.22,56.5,7.31
72,FeI,6219.28,2.2,65.6,7.41
73,FeI,6232.64,3.65,56.5,7.31
74,FeI,6246.32,3.6,85.0,7.33
75,FeI,6252.56,2.4,93.5,7.41
76,FeI,6265.13,2.18,59.1,7.38
77,FeI,6270.22,2.86,26.2,7.35
78,FeI,6297.79,2.22,47.6,7.37
79,FeI,6301.5,3.65,87.7,7.4
80,FeI,6315.81,4.08,24.4,7.43
81,FeI,6322.69,2.59,45.5,7.4
82,FeI,6335.33,2.2,74.5,7.31
83,FeI,6336.82,3.69,78.2,7.33
84,FeI,6338.88,4.8,26.7,7.44
85,FeI,6380.74,4.19,32.2,7.46
86,FeI,6393.6,2.43,102.0,7.36
87,FeI,6411.65,3.65,94.4,7.38
88,FeI,6430.85,2.18,91.4,7.41
89,FeI,6481.87,2.28,30.2,7.37
90,FeI,6494.98,2.4,116.1,7.33
91,FeI,6496.47,4.8,51.1,7.48
92,FeI,6518.37,2.83,33.2,7.3
93,FeI,6593.87,2.43,53.4,7.34
94,FeI,6597.56,4.8,26.8,7.44
95,FeI,6609.11,2.56,36.0,7.42
96,FeI,6750.15,2.42,45.2,7.39
97,FeII,5256.94,2.89,27.4,7.42
98,FeII,5264.81,3.23,70.5,7.48
99,FeII,5325.55,3.22,67.3,7.44
100,FeII,5414.07,3.22,44.5,7.43
101,FeII,5534.85,3.25,89.1,7.58
102,FeII,5991.38,3.15,50.7,7.53
103,FeII,6084.11,3.2,35.6,7.53
104,FeII,6113.32,3.22,20.1,7.54
105,FeII,6432.68,2.89,64.1,7.44
