,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,41.6,7.39
1,FeI,4788.76,3.24,67.6,7.43
2,FeI,4802.88,3.64,60.4,7.38
3,FeI,4808.15,3.25,28.3,7.5
4,FeI,4875.88,3.33,56.4,7.33
5,FeI,4877.6,3.0,20.1,7.4
6,FeI,4907.73,3.43,60.5,7.41
7,FeI,4924.77,2.28,92.4,7.36
8,FeI,4950.11,3.42,74.9,7.48
9,FeI,4985.55,2.87,95.9,6.99
10,FeI,5012.69,4.28,60.7,8.06
11,FeI,5088.15,4.15,34.4,7.46
12,FeI,5107.64,1.56,105.2,7.07
13,FeI,5223.18,3.63,20.7,6.75
14,FeI,5285.13,4.43,23.4,7.32
15,FeI,5294.55,3.64,27.6,7.9
16,FeI,5386.33,4.15,20.8,7.12
17,FeI,5441.34,4.31,30.4,7.46
18,FeI,5461.55,4.45,24.2,7.61
19,FeI,5464.28,4.14,37.5,7.24
20,FeI,5470.09,4.45,22.8,7.48
21,FeI,5483.1,4.15,47.8,7.42
22,FeI,5487.15,4.42,25.7,7.24
23,FeI,5522.45,4.21,42.2,7.41
24,FeI,5560.21,4.43,51.2,7.42
25,FeI,5576.09,3.43,107.4,7.13
26,FeI,5587.57,4.14,58.2,7.98
27,FeI,5618.63,4.21,50.7,7.39
28,FeI,5619.6,4.39,34.4,7.57
29,FeI,5624.02,4.39,51.5,7.68
30,FeI,5635.82,4.26,34.2,7.63
31,FeI,5636.7,3.64,20.2,7.45
32,FeI,5638.26,4.22,75.6,7.33
33,FeI,5641.43,4.26,63.7,7.47
34,FeI,5649.99,5.1,34.6,7.46
35,FeI,5652.32,4.26,26.1,7.52
36,FeI,5655.18,5.06,51.6,7.51
37,FeI,5661.35,4.28,21.1,7.33
38,FeI,5662.52,4.18,90.0,7.32
39,FeI,5679.02,4.65,58.7,7.46
40,FeI,5691.5,4.3,40.8,7.44
41,FeI,5701.54,2.56,83.5,7.34
42,FeI,5705.46,4.3,38.5,7.32
43,FeI,5731.76,4.26,58.7,7.5
44,FeI,5741.85,4.26,31.9,7.47
45,FeI,5760.34,3.64,22.6,7.39
46,FeI,5775.08,4.22,59.8,7.58
47,FeI,5778.45,2.59,22.0,7.38
48,FeI,5784.66,3.4,26.1,7.37
49,FeI,5855.08,4.61,22.3,7.38
50,FeI,5883.82,3.96,65.0,7.34
51,FeI,5905.67,4.65,59.0,7.33
