,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,52.5,7.7
1,FeI,4788.76,3.24,76.5,7.76
2,FeI,4802.88,3.64,68.3,7.66
3,FeI,4808.15,3.25,37.1,7.78
4,FeI,4869.46,3.55,27.3,7.56
5,FeI,4875.88,3.33,64.0,7.58
6,FeI,4877.6,3.0,27.6,7.66
7,FeI,4907.73,3.43,70.3,7.71
8,FeI,4924.77,2.28,102.3,7.69
9,FeI,4946.39,3.37,107.0,7.59
10,FeI,4950.11,3.42,85.5,7.8
11,FeI,4962.57,4.18,62.2,7.68
12,FeI,4994.13,0.92,109.0,7.41
13,FeI,5012.69,4.28,46.2,7.88
14,FeI,5044.21,2.85,77.8,7.51
15,FeI,5058.5,3.64,14.7,7.69
16,FeI,5107.64,1.56,116.0,7.46
17,FeI,5141.74,2.42,92.1,7.52
18,FeI,5197.94,4.3,42.5,7.65
19,FeI,5223.18,3.63,36.0,7.18
20,FeI,5225.53,0.11,84.0,7.75
21,FeI,5250.65,2.2,107.3,7.64
22,FeI,5253.02,2.28,21.7,7.6
23,FeI,5285.13,4.43,37.3,7.69
24,FeI,5293.96,4.14,37.9,7.7
25,FeI,5294.55,3.64,19.5,7.76
26,FeI,5295.31,4.42,37.4,7.72
27,FeI,5365.4,3.57,86.5,7.47
28,FeI,5373.71,4.47,72.1,7.57
29,FeI,5379.57,3.69,70.0,7.68
30,FeI,5386.33,4.15,40.0,7.6
31,FeI,5395.22,4.45,24.1,7.93
32,FeI,5398.28,4.45,77.1,7.5
33,FeI,5412.78,4.43,26.0,7.61
34,FeI,5417.03,4.42,42.5,7.81
35,FeI,5441.34,4.31,38.8,7.69
36,FeI,5464.28,4.14,47.2,7.51
37,FeI,5470.09,4.45,34.2,7.8
38,FeI,5483.1,4.15,57.0,7.67
39,FeI,5487.15,4.42,45.9,7.72
40,FeI,5494.46,4.08,33.6,7.75
41,FeI,5522.45,4.21,52.3,7.68
42,FeI,5539.28,3.64,24.9,7.69
43,FeI,5543.94,4.22,70.3,7.61
44,FeI,5546.51,4.37,60.0,7.73
45,FeI,5560.21,4.43,60.7,7.64
46,FeI,5576.09,3.43,116.8,7.41
47,FeI,5618.63,4.21,60.5,7.66
48,FeI,5619.6,4.39,44.8,7.83
49,FeI,5633.95,4.99,77.4,7.63
50,FeI,5636.7,3.64,26.4,7.68
51,FeI,5638.26,4.22,85.7,7.6
52,FeI,5641.43,4.26,75.0,7.76
53,FeI,5649.99,5.1,44.4,7.72
54,FeI,5651.47,4.47,24.3,7.79
55,FeI,5652.32,4.26,33.6,7.75
56,FeI,5653.87,4.39,48.9,7.83
57,FeI,5655.18,5.06,63.1,7.9
58,FeI,5661.35,4.28,30.7,7.62
59,FeI,5662.52,4.18,100.2,7.58
60,FeI,5679.02,4.65,68.1,7.7
61,FeI,5696.09,4.55,17.1,7.47
62,FeI,5698.02,3.64,20.2,7.58
63,FeI,5701.54,2.56,93.9,7.65
64,FeI,5705.46,4.3,48.6,7.59
65,FeI,5731.76,4.26,68.6,7.76
66,FeI,5732.3,4.99,21.7,7.76
67,FeI,5741.85,4.26,42.9,7.75
68,FeI,5760.34,3.64,31.5,7.67
69,FeI,5775.08,4.22,69.1,7.83
70,FeI,5778.45,2.59,30.1,7.66
71,FeI,5784.66,3.4,34.5,7.62
72,FeI,5835.1,4.26,21.0,7.86
73,FeI,5838.37,3.94,28.1,7.71
74,FeI,5849.68,3.69,12.1,7.66
75,FeI,5853.15,1.49,11.8,7.79
76,FeI,5855.08,4.61,30.6,7.62
77,FeI,5858.78,4.22,17.2,7.6
78,FeI,5883.82,3.96,75.4,7.61
79,FeI,5902.47,4.59,17.1,7.51
80,FeI,5905.67,4.65,68.1,7.56
81,FeI,5916.25,2.45,70.8,7.83
82,FeI,5927.79,4.65,52.8,7.61
83,FeI,5929.68,4.55,52.9,7.83
84,FeI,5930.18,4.65,97.7,7.54
85,FeI,5934.65,3.93,87.1,7.58
86,FeI,5940.99,4.18,30.1,7.78
87,FeI,5956.69,0.86,63.3,7.73
88,FeI,6003.01,3.88,91.7,7.66
89,FeI,6012.21,2.22,32.7,7.95
90,FeI,6027.05,4.08,75.8,7.68
91,FeI,6065.48,2.61,123.0,7.43
92,FeI,6079.01,4.65,58.0,7.71
93,FeI,6082.71,2.22,46.2,7.76
94,FeI,6093.64,4.61,39.4,7.72
95,FeI,6094.37,4.65,25.7,7.9
96,FeI,6096.66,3.98,47.1,7.7
97,FeI,6127.91,4.14,59.5,7.75
98,FeI,6136.99,2.2,79.4,7.76
99,FeI,6151.62,2.18,58.4,7.68
100,FeI,6165.36,4.14,55.4,7.71
101,FeI,6173.33,2.22,79.0,7.71
102,FeI,6187.99,3.94,58.8,7.66
103,FeI,6200.31,2.61,85.6,7.74
104,FeI,6213.43,2.22,91.4,7.55
105,FeI,6219.28,2.2,98.5,7.61
106,FeI,6226.73,3.88,38.6,7.73
107,FeI,6229.23,2.85,48.9,7.64
108,FeI,6232.64,3.65,92.3,7.77
109,FeI,6240.65,2.22,59.6,7.64
110,FeI,6246.32,3.6,118.2,7.42
111,FeI,6252.56,2.4,126.9,7.54
112,FeI,6265.13,2.18,96.8,7.66
113,FeI,6270.22,2.86,63.7,7.67
114,FeI,6271.28,3.33,34.1,7.7
115,FeI,6297.79,2.22,87.5,7.68
116,FeI,6301.5,3.65,119.4,7.72
117,FeI,6315.81,4.08,57.3,7.8
118,FeI,6322.69,2.59,86.3,7.76
119,FeI,6330.85,4.73,43.7,8.14
120,FeI,6335.33,2.2,107.4,7.49
121,FeI,6336.82,3.69,111.3,7.45
122,FeI,6338.88,4.8,54.6,7.71
123,FeI,6364.36,4.8,40.7,7.84
124,FeI,6380.74,4.19,63.3,7.79
125,FeI,6393.6,2.43,135.9,7.43
126,FeI,6430.85,2.18,120.9,7.46
127,FeI,6475.62,2.56,71.8,7.93
128,FeI,6481.87,2.28,74.7,7.74
129,FeI,6498.94,0.96,57.3,7.79
130,FeI,6518.37,2.83,70.2,7.59
131,FeI,6533.93,4.56,50.0,7.79
132,FeI,6574.23,0.99,37.2,7.76
133,FeI,6593.87,2.43,97.2,7.72
134,FeI,6597.56,4.8,56.8,7.75
135,FeI,6609.11,2.56,80.6,7.82
136,FeI,6627.54,4.55,37.1,7.78
137,FeI,6648.08,1.01,11.1,7.98
138,FeI,6699.14,4.59,12.3,7.69
139,FeI,6703.57,2.76,48.3,7.76
140,FeI,6713.74,4.8,28.2,7.73
141,FeI,6733.15,4.64,36.2,7.74
142,FeI,6739.52,1.56,16.7,7.6
143,FeI,6750.15,2.42,85.5,7.7
144,FeI,6786.86,4.19,34.1,7.75
145,FeI,6804.27,4.58,21.0,7.69
146,FeI,6806.84,2.73,45.7,6.75
147,FeI,6810.26,4.61,61.4,7.66
148,FeI,6820.37,4.64,51.9,7.75
149,FeII,4993.36,2.81,44.2,7.54
150,FeII,5256.94,2.89,23.6,7.61
151,FeII,5414.07,3.22,34.4,7.59
152,FeII,5425.26,3.2,51.7,7.6
153,FeII,5534.85,3.25,67.7,7.64
154,FeII,5991.38,3.15,44.0,7.79
155,FeII,6084.11,3.2,29.9,7.74
156,FeII,6149.26,3.89,44.6,7.69
157,FeII,6247.56,3.89,62.8,7.68
158,FeII,6369.46,2.89,26.6,7.59
159,FeII,6432.68,2.89,52.4,7.63
160,FeII,6456.38,3.9,74.2,7.66
