,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,52.7,7.65
1,FeI,4788.76,3.24,76.6,7.69
2,FeI,4802.88,3.64,68.3,7.6
3,FeI,4808.15,3.25,37.1,7.74
4,FeI,4869.46,3.55,27.5,7.53
5,FeI,4875.88,3.33,64.0,7.53
6,FeI,4877.6,3.0,27.6,7.63
7,FeI,4907.73,3.43,70.4,7.65
8,FeI,4924.77,2.28,102.6,7.63
9,FeI,4946.39,3.37,107.3,7.51
10,FeI,4950.11,3.42,85.8,7.73
11,FeI,4994.13,0.92,108.6,7.29
12,FeI,5044.21,2.85,77.9,7.45
13,FeI,5107.64,1.56,115.7,7.35
14,FeI,5223.18,3.63,28.5,6.98
15,FeI,5225.53,0.11,90.0,7.82
16,FeI,5250.65,2.2,77.7,7.02
17,FeI,5285.13,4.43,32.2,7.55
18,FeI,5295.31,4.42,20.9,7.32
19,FeI,5386.33,4.15,28.5,7.34
20,FeI,5464.28,4.14,47.2,7.47
21,FeI,5470.09,4.45,32.8,7.74
22,FeI,5483.1,4.15,66.5,7.82
23,FeI,5487.15,4.42,36.8,7.52
24,FeI,5494.46,4.08,26.2,7.54
25,FeI,5522.45,4.21,52.3,7.64
26,FeI,5576.09,3.43,117.6,7.35
27,FeI,5618.63,4.21,60.6,7.62
28,FeI,5636.7,3.64,43.2,8.01
29,FeI,5638.26,4.22,85.8,7.56
30,FeI,5641.43,4.26,75.0,7.72
31,FeI,5649.99,5.1,44.3,7.67
32,FeI,5651.47,4.47,24.2,7.76
33,FeI,5652.32,4.26,33.4,7.72
34,FeI,5655.18,5.06,79.4,8.01
35,FeI,5679.02,4.65,68.0,7.66
36,FeI,5698.02,3.64,20.2,7.55
37,FeI,5701.54,2.56,94.1,7.62
38,FeI,5705.46,4.3,48.7,7.56
39,FeI,5731.76,4.26,68.6,7.73
40,FeI,5732.3,4.99,21.6,7.74
41,FeI,5741.85,4.26,42.9,7.72
42,FeI,5760.34,3.64,31.4,7.63
43,FeI,5775.08,4.22,68.9,7.8
44,FeI,5778.45,2.59,29.9,7.62
45,FeI,5784.66,3.4,34.6,7.59
46,FeI,5835.1,4.26,20.8,7.83
47,FeI,5838.37,3.94,27.9,7.67
48,FeI,5855.08,4.61,30.1,7.59
49,FeI,5883.82,3.96,74.8,7.56
50,FeI,5905.67,4.65,67.6,7.53
51,FeI,5916.25,2.45,70.3,7.78
52,FeI,5927.79,4.65,52.4,7.57
53,FeI,5929.68,4.55,52.5,7.8
54,FeI,5930.18,4.65,97.1,7.5
55,FeI,5934.65,3.93,87.0,7.52
56,FeI,5940.99,4.18,29.7,7.75
57,FeI,5956.69,0.86,63.0,7.69
58,FeI,6003.01,3.88,91.3,7.6
59,FeI,6027.05,4.08,75.2,7.63
60,FeI,6079.01,4.65,57.5,7.69
61,FeI,6082.71,2.22,45.7,7.71
62,FeI,6093.64,4.61,39.1,7.69
63,FeI,6094.37,4.65,25.4,7.88
64,FeI,6096.66,3.98,46.7,7.66
65,FeI,6127.91,4.14,58.9,7.66
66,FeI,6136.99,2.2,78.9,7.72
67,FeI,6151.62,2.18,58.0,7.65
68,FeI,6165.36,4.14,54.9,7.66
69,FeI,6173.33,2.22,78.5,7.68
70,FeI,6187.99,3.94,58.4,7.62
71,FeI,6200.31,2.61,85.1,7.69
72,FeI,6213.43,2.22,90.9,7.52
73,FeI,6219.28,2.2,97.8,7.58
74,FeI,6226.73,3.88,38.2,7.7
75,FeI,6229.23,2.85,48.4,7.6
76,FeI,6232.64,3.65,91.6,7.66
77,FeI,6240.65,2.22,59.1,7.6
78,FeI,6246.32,3.6,119.6,7.38
79,FeI,6265.13,2.18,96.3,7.63
80,FeI,6270.22,2.86,63.4,7.63
81,FeI,6271.28,3.33,33.4,7.65
82,FeI,6297.79,2.22,86.8,7.65
83,FeI,6301.5,3.65,118.5,7.57
84,FeI,6315.81,4.08,56.6,7.76
85,FeI,6322.69,2.59,85.6,7.71
86,FeI,6330.85,4.73,43.2,8.12
87,FeI,6335.33,2.2,106.8,7.46
88,FeI,6336.82,3.69,111.1,7.39
89,FeI,6338.88,4.8,54.2,7.69
90,FeI,6364.36,4.8,40.4,7.81
91,FeI,6380.74,4.19,62.9,7.75
92,FeI,6430.85,2.18,119.4,7.43
93,FeI,6475.62,2.56,68.2,7.82
94,FeI,6481.87,2.28,74.2,7.71
95,FeI,6498.94,0.96,56.8,7.75
96,FeI,6518.37,2.83,69.7,7.55
97,FeI,6533.93,4.56,49.6,7.78
98,FeI,6574.23,0.99,36.8,7.73
99,FeI,6593.87,2.43,96.4,7.68
100,FeI,6597.56,4.8,56.2,7.73
101,FeI,6609.11,2.56,80.1,7.78
102,FeI,6627.54,4.55,36.9,7.75
103,FeI,6703.57,2.76,47.9,7.73
104,FeI,6713.74,4.8,28.0,7.71
105,FeI,6733.15,4.64,35.8,7.71
106,FeI,6750.15,2.42,84.8,7.65
107,FeI,6786.86,4.19,33.9,7.73
108,FeI,6804.27,4.58,20.8,7.66
109,FeI,6806.84,2.73,45.3,6.72
110,FeI,6810.26,4.61,60.8,7.63
111,FeI,6820.37,4.64,51.5,7.73
112,FeII,5256.94,2.89,23.5,7.55
113,FeII,5414.07,3.22,34.4,7.52
114,FeII,5534.85,3.25,83.5,7.91
115,FeII,5991.38,3.15,43.5,7.72
116,FeII,6084.11,3.2,29.6,7.67
117,FeII,6149.26,3.89,44.1,7.62
118,FeII,6247.56,3.89,62.2,7.61
119,FeII,6369.46,2.89,26.4,7.53
120,FeII,6432.68,2.89,52.0,7.55
121,FeII,6456.38,3.9,73.7,7.6
