,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,67.7,7.7
1,FeI,4788.76,3.24,84.8,7.78
2,FeI,4808.15,3.25,49.9,7.83
3,FeI,4869.46,3.55,40.5,7.64
4,FeI,4875.88,3.33,80.9,7.61
5,FeI,4877.6,3.0,46.5,7.75
6,FeI,4907.73,3.43,83.6,7.64
7,FeI,4950.11,3.42,100.8,7.7
8,FeI,4962.57,4.18,70.9,7.78
9,FeI,5012.69,4.28,53.7,7.81
10,FeI,5058.5,3.64,22.3,7.66
11,FeI,5088.15,4.15,54.9,7.72
12,FeI,5141.74,2.42,111.6,7.48
13,FeI,5197.94,4.3,40.8,7.41
14,FeI,5223.18,3.63,48.0,7.22
15,FeI,5225.53,0.11,108.9,7.84
16,FeI,5228.38,4.22,81.3,7.74
17,FeI,5250.65,2.2,132.3,7.55
18,FeI,5253.02,2.28,40.2,7.65
19,FeI,5285.13,4.43,44.7,7.64
20,FeI,5293.96,4.14,47.6,7.77
21,FeI,5294.55,3.64,30.7,7.79
22,FeI,5295.31,4.42,45.2,7.67
23,FeI,5373.71,4.47,82.6,7.52
24,FeI,5379.57,3.69,78.4,7.68
25,FeI,5386.33,4.15,49.2,7.56
26,FeI,5395.22,4.45,34.1,7.96
27,FeI,5398.28,4.45,88.9,7.45
28,FeI,5412.78,4.43,32.6,7.56
29,FeI,5417.03,4.42,49.6,7.75
30,FeI,5441.34,4.31,49.3,7.7
31,FeI,5461.55,4.45,44.7,7.9
32,FeI,5464.28,4.14,54.3,7.5
33,FeI,5466.4,4.37,99.6,7.53
34,FeI,5470.09,4.45,44.7,7.81
35,FeI,5487.15,4.42,56.2,7.72
36,FeI,5494.46,4.08,45.4,7.86
37,FeI,5522.45,4.21,61.6,7.66
38,FeI,5539.28,3.64,37.1,7.73
39,FeI,5543.94,4.22,81.4,7.58
40,FeI,5546.51,4.37,71.3,7.73
41,FeI,5560.21,4.43,68.0,7.58
42,FeI,5587.57,4.14,60.7,8.07
43,FeI,5618.63,4.21,69.4,7.62
44,FeI,5619.6,4.39,56.8,7.87
45,FeI,5624.02,4.39,72.3,7.93
46,FeI,5633.95,4.99,83.9,7.59
47,FeI,5635.82,4.26,54.9,7.87
48,FeI,5636.7,3.64,37.9,7.7
49,FeI,5638.26,4.22,99.0,7.55
50,FeI,5641.43,4.26,89.3,7.77
51,FeI,5649.99,5.1,51.4,7.73
52,FeI,5651.47,4.47,33.4,7.8
53,FeI,5652.32,4.26,44.4,7.77
54,FeI,5653.87,4.39,57.9,7.8
55,FeI,5655.18,5.06,70.6,8.0
56,FeI,5661.35,4.28,42.0,7.65
57,FeI,5662.52,4.18,117.5,7.51
58,FeI,5667.52,4.18,75.4,8.19
59,FeI,5679.02,4.65,78.6,7.66
60,FeI,5691.5,4.3,60.0,7.68
61,FeI,5696.09,4.55,25.7,7.51
62,FeI,5698.02,3.64,32.2,7.62
63,FeI,5701.54,2.56,114.8,7.63
64,FeI,5705.46,4.3,58.4,7.59
65,FeI,5731.76,4.26,80.6,7.76
66,FeI,5732.3,4.99,29.0,7.8
67,FeI,5741.85,4.26,53.3,7.76
68,FeI,5742.96,4.18,26.2,7.84
69,FeI,5760.34,3.64,42.9,7.68
70,FeI,5775.08,4.22,81.5,7.83
71,FeI,5778.45,2.59,49.3,7.73
72,FeI,5784.66,3.4,51.6,7.68
73,FeI,5835.1,4.26,29.1,7.84
74,FeI,5837.7,4.29,22.2,7.7
75,FeI,5838.37,3.94,40.2,7.71
76,FeI,5849.68,3.69,20.8,7.69
77,FeI,5853.15,1.49,27.5,7.8
78,FeI,5855.08,4.61,38.0,7.59
79,FeI,5858.78,4.22,25.6,7.61
80,FeI,5883.82,3.96,86.6,7.52
81,FeI,5902.47,4.59,20.8,7.45
82,FeI,5905.67,4.65,75.0,7.48
83,FeI,5916.25,2.45,85.9,7.84
84,FeI,5927.79,4.65,60.8,7.57
85,FeI,5929.68,4.55,59.1,7.76
86,FeI,5930.18,4.65,108.1,7.43
87,FeI,5934.65,3.93,101.5,7.49
88,FeI,5940.99,4.18,35.5,7.69
89,FeI,5956.69,0.86,85.9,7.83
90,FeI,6012.21,2.22,50.7,7.98
91,FeI,6027.05,4.08,82.5,7.64
92,FeI,6079.01,4.65,65.7,7.67
93,FeI,6082.71,2.22,64.3,7.82
94,FeI,6093.64,4.61,48.1,7.71
95,FeI,6094.37,4.65,34.9,7.92
96,FeI,6096.66,3.98,61.8,7.73
97,FeI,6120.25,0.91,23.1,7.82
98,FeI,6127.91,4.14,67.8,7.83
99,FeI,6136.99,2.2,102.8,7.86
100,FeI,6151.62,2.18,76.3,7.74
101,FeI,6165.36,4.14,63.6,7.72
102,FeI,6173.33,2.22,95.5,7.71
103,FeI,6187.99,3.94,74.0,7.68
104,FeI,6200.31,2.61,102.6,7.71
105,FeI,6219.28,2.2,121.1,7.58
106,FeI,6226.73,3.88,50.5,7.72
107,FeI,6229.23,2.85,63.4,7.66
108,FeI,6240.65,2.22,75.7,7.68
109,FeI,6252.56,2.4,152.7,7.37
110,FeI,6265.13,2.18,118.8,7.64
111,FeI,6270.22,2.86,78.4,7.7
112,FeI,6271.28,3.33,48.1,7.69
113,FeI,6297.79,2.22,104.4,7.65
114,FeI,6315.81,4.08,69.1,7.88
115,FeI,6322.69,2.59,104.2,7.74
116,FeI,6335.33,2.2,131.6,7.42
117,FeI,6338.88,4.8,60.9,7.66
118,FeI,6364.36,4.8,51.6,7.88
119,FeI,6380.74,4.19,71.7,7.81
120,FeI,6393.6,2.43,171.5,7.29
121,FeI,6430.85,2.18,148.0,7.34
122,FeI,6475.62,2.56,85.2,7.9
123,FeI,6481.87,2.28,93.5,7.78
124,FeI,6496.47,4.8,85.0,7.57
125,FeI,6498.94,0.96,82.4,7.91
126,FeI,6518.37,2.83,85.6,7.61
127,FeI,6533.93,4.56,59.8,7.78
128,FeI,6569.21,4.73,98.0,7.54
129,FeI,6574.23,0.99,65.6,7.89
130,FeI,6593.87,2.43,118.3,7.69
131,FeI,6597.56,4.8,64.7,7.72
132,FeI,6609.11,2.56,97.7,7.82
133,FeI,6627.54,4.55,47.3,7.8
134,FeI,6648.08,1.01,31.4,8.04
135,FeI,6699.14,4.59,18.3,7.73
136,FeI,6703.57,2.76,65.0,7.82
137,FeI,6713.74,4.8,36.7,7.75
138,FeI,6733.15,4.64,46.1,7.76
139,FeI,6739.52,1.56,38.2,7.67
140,FeI,6750.15,2.42,104.4,7.7
141,FeI,6786.86,4.19,45.5,7.75
142,FeI,6804.27,4.58,29.9,7.76
143,FeI,6806.84,2.73,64.5,6.84
144,FeI,6810.26,4.61,71.2,7.64
145,FeI,6820.37,4.64,63.2,7.76
146,FeII,4993.36,2.81,31.5,7.64
147,FeII,5414.07,3.22,16.5,7.46
148,FeII,5425.26,3.2,31.4,7.57
149,FeII,5991.38,3.15,25.2,7.77
150,FeII,6084.11,3.2,14.8,7.68
151,FeII,6149.26,3.89,24.2,7.66
152,FeII,6247.56,3.89,37.0,7.64
153,FeII,6432.68,2.89,29.1,7.55
154,FeII,6456.38,3.9,48.4,7.69
