,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,68.1,7.51
1,FeI,4788.76,3.24,84.7,7.49
2,FeI,4808.15,3.25,50.0,7.66
3,FeI,4869.46,3.55,41.1,7.52
4,FeI,4875.88,3.33,99.1,7.65
5,FeI,4877.6,3.0,46.8,7.62
6,FeI,4907.73,3.43,83.5,7.44
7,FeI,5088.15,4.15,39.0,7.31
8,FeI,5197.94,4.3,52.0,7.53
9,FeI,5223.18,3.63,53.3,7.18
10,FeI,5228.38,4.22,40.5,6.91
11,FeI,5285.13,4.43,60.7,7.79
12,FeI,5295.31,4.42,31.3,7.32
13,FeI,5379.57,3.69,77.7,7.43
14,FeI,5386.33,4.15,42.7,7.34
15,FeI,5417.03,4.42,49.5,7.64
16,FeI,5441.34,4.31,48.7,7.58
17,FeI,5461.55,4.45,44.5,7.8
18,FeI,5464.28,4.14,54.1,7.33
19,FeI,5470.09,4.45,44.6,7.71
20,FeI,5487.15,4.42,53.0,7.54
21,FeI,5494.46,4.08,32.0,7.4
22,FeI,5522.45,4.21,61.2,7.5
23,FeI,5560.21,4.43,67.7,7.45
24,FeI,5587.57,4.14,60.7,7.78
25,FeI,5618.63,4.21,69.3,7.45
26,FeI,5619.6,4.39,56.9,7.75
27,FeI,5624.02,4.39,72.3,7.78
28,FeI,5633.95,4.99,84.0,7.46
29,FeI,5635.82,4.26,54.6,7.75
30,FeI,5636.7,3.64,37.6,7.58
31,FeI,5638.26,4.22,99.0,7.38
32,FeI,5641.43,4.26,89.2,7.59
33,FeI,5649.99,5.1,51.1,7.58
34,FeI,5651.47,4.47,33.1,7.71
35,FeI,5652.32,4.26,44.1,7.66
36,FeI,5655.18,5.06,70.6,7.62
37,FeI,5661.35,4.28,41.9,7.55
38,FeI,5662.52,4.18,118.2,7.35
39,FeI,5667.52,4.18,75.6,7.89
40,FeI,5679.02,4.65,78.5,7.51
41,FeI,5691.5,4.3,59.9,7.54
42,FeI,5696.09,4.55,25.7,7.45
43,FeI,5698.02,3.64,32.2,7.53
44,FeI,5701.54,2.56,115.1,7.42
45,FeI,5705.46,4.3,58.6,7.45
46,FeI,5731.76,4.26,80.5,7.59
47,FeI,5732.3,4.99,28.6,7.73
48,FeI,5741.85,4.26,53.1,7.63
49,FeI,5742.96,4.18,26.3,7.78
50,FeI,5760.34,3.64,42.7,7.55
