,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.9,7.5
1,FeI,4788.76,3.24,98.3,7.55
2,FeI,4802.88,3.64,85.0,7.38
3,FeI,4808.15,3.25,61.9,7.53
4,FeI,4869.46,3.55,55.9,7.46
5,FeI,4875.88,3.33,87.2,7.39
6,FeI,4877.6,3.0,57.1,7.46
7,FeI,4907.73,3.43,90.9,7.49
8,FeI,4950.11,3.42,106.1,7.6
9,FeI,4985.55,2.87,131.9,7.06
10,FeI,5012.69,4.28,64.2,7.7
11,FeI,5058.5,3.64,33.9,7.49
12,FeI,5088.15,4.15,59.5,7.44
13,FeI,5141.74,2.42,120.0,7.19
14,FeI,5197.94,4.3,54.4,7.35
15,FeI,5223.18,3.63,59.6,6.96
16,FeI,5225.53,0.11,135.9,7.59
17,FeI,5228.38,4.22,89.0,7.63
18,FeI,5243.78,4.26,84.1,7.43
19,FeI,5250.65,2.2,146.4,7.38
20,FeI,5253.02,2.28,58.2,7.39
21,FeI,5285.13,4.43,52.8,7.47
22,FeI,5293.96,4.14,58.9,7.52
23,FeI,5294.55,3.64,40.4,7.54
24,FeI,5295.31,4.42,53.1,7.5
25,FeI,5300.4,4.59,12.8,6.79
26,FeI,5364.87,4.45,130.6,7.08
27,FeI,5373.71,4.47,85.0,7.38
28,FeI,5386.33,4.15,58.4,7.38
29,FeI,5395.22,4.45,43.0,7.81
30,FeI,5398.28,4.45,90.7,7.32
31,FeI,5412.78,4.43,41.3,7.4
32,FeI,5417.03,4.42,57.3,7.57
33,FeI,5441.34,4.31,56.7,7.49
34,FeI,5464.28,4.14,67.6,7.33
35,FeI,5466.4,4.37,101.1,7.44
36,FeI,5470.09,4.45,50.3,7.59
37,FeI,5487.15,4.42,65.1,7.57
38,FeI,5494.46,4.08,55.2,7.58
39,FeI,5522.45,4.21,67.6,7.42
40,FeI,5539.28,3.64,47.5,7.47
41,FeI,5543.94,4.22,86.8,7.39
42,FeI,5546.51,4.37,78.8,7.59
43,FeI,5560.21,4.43,74.4,7.44
44,FeI,5618.63,4.21,76.5,7.42
45,FeI,5619.6,4.39,62.6,7.65
46,FeI,5633.95,4.99,85.3,7.39
47,FeI,5636.7,3.64,50.7,7.48
48,FeI,5638.26,4.22,102.3,7.42
49,FeI,5641.43,4.26,98.1,7.69
50,FeI,5649.99,5.1,55.4,7.52
51,FeI,5651.47,4.47,40.5,7.61
52,FeI,5652.32,4.26,52.9,7.57
53,FeI,5653.87,4.39,64.1,7.61
54,FeI,5655.18,5.06,71.9,7.62
55,FeI,5661.35,4.28,50.5,7.45
56,FeI,5662.52,4.18,114.5,7.37
57,FeI,5667.52,4.18,88.7,7.97
58,FeI,5679.02,4.65,80.0,7.51
59,FeI,5696.09,4.55,31.7,7.32
60,FeI,5698.02,3.64,43.2,7.39
61,FeI,5701.54,2.56,127.1,7.39
62,FeI,5705.46,4.3,66.4,7.38
63,FeI,5731.76,4.26,86.3,7.58
64,FeI,5732.3,4.99,34.2,7.61
65,FeI,5741.85,4.26,59.9,7.51
66,FeI,5742.96,4.18,33.7,7.64
67,FeI,5775.08,4.22,86.3,7.63
68,FeI,5778.45,2.59,67.2,7.47
69,FeI,5784.66,3.4,63.1,7.44
70,FeI,5835.1,4.26,39.5,7.7
71,FeI,5837.7,4.29,28.8,7.49
72,FeI,5838.37,3.94,51.6,7.55
73,FeI,5849.68,3.69,31.6,7.52
74,FeI,5853.15,1.49,49.6,7.56
75,FeI,5855.08,4.61,46.1,7.44
76,FeI,5858.78,4.22,35.3,7.46
77,FeI,5883.82,3.96,91.6,7.37
78,FeI,5902.47,4.59,30.6,7.34
79,FeI,5905.67,4.65,82.0,7.4
80,FeI,5927.79,4.65,66.2,7.39
81,FeI,5929.68,4.55,67.6,7.63
82,FeI,5930.18,4.65,108.7,7.4
83,FeI,5934.65,3.93,105.5,7.4
84,FeI,5940.99,4.18,48.5,7.57
85,FeI,5956.69,0.86,116.5,7.56
86,FeI,6003.01,3.88,111.8,7.5
87,FeI,6012.21,2.22,71.7,7.72
88,FeI,6027.05,4.08,93.7,7.45
89,FeI,6065.48,2.61,162.8,7.2
90,FeI,6079.01,4.65,71.5,7.52
91,FeI,6082.71,2.22,85.3,7.54
92,FeI,6093.64,4.61,56.9,7.56
93,FeI,6094.37,4.65,43.6,7.79
94,FeI,6096.66,3.98,70.8,7.55
95,FeI,6120.25,0.91,45.4,7.55
