,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.6,7.56
1,FeI,4788.76,3.24,98.1,7.61
2,FeI,4802.88,3.64,85.2,7.46
3,FeI,4808.15,3.25,61.6,7.56
4,FeI,4869.46,3.55,55.9,7.49
5,FeI,4875.88,3.33,87.2,7.46
6,FeI,4877.6,3.0,57.2,7.49
7,FeI,4907.73,3.43,90.8,7.55
8,FeI,4950.11,3.42,106.1,7.68
9,FeI,4985.55,2.87,114.0,6.88
10,FeI,5088.15,4.15,60.1,7.51
11,FeI,5197.94,4.3,83.7,8.05
12,FeI,5223.18,3.63,60.7,7.03
13,FeI,5228.38,4.22,52.1,6.9
14,FeI,5243.78,4.26,52.6,6.81
15,FeI,5285.13,4.43,51.4,7.47
16,FeI,5294.55,3.64,56.9,7.91
17,FeI,5295.31,4.42,38.2,7.21
18,FeI,5300.4,4.59,44.3,7.62
19,FeI,5364.87,4.45,103.7,6.8
20,FeI,5386.33,4.15,51.6,7.28
21,FeI,5412.78,4.43,23.2,7.0
22,FeI,5441.34,4.31,57.0,7.54
23,FeI,5464.28,4.14,67.4,7.37
24,FeI,5466.4,4.37,70.3,6.9
25,FeI,5487.15,4.42,63.4,7.59
26,FeI,5494.46,4.08,38.7,7.23
27,FeI,5522.45,4.21,67.6,7.47
28,FeI,5619.6,4.39,25.7,6.89
29,FeI,5636.7,3.64,51.0,7.5
30,FeI,5638.26,4.22,102.8,7.54
31,FeI,5641.43,4.26,98.5,7.81
32,FeI,5649.99,5.1,55.7,7.58
33,FeI,5651.47,4.47,40.7,7.63
34,FeI,5652.32,4.26,53.2,7.6
35,FeI,5655.18,5.06,90.3,8.04
36,FeI,5662.52,4.18,114.7,7.5
37,FeI,5667.52,4.18,88.8,8.06
38,FeI,5679.02,4.65,80.4,7.59
39,FeI,5698.02,3.64,43.3,7.41
40,FeI,5705.46,4.3,66.5,7.44
41,FeI,5731.76,4.26,86.4,7.68
42,FeI,5732.3,4.99,34.2,7.63
43,FeI,5741.85,4.26,60.0,7.56
44,FeI,5742.96,4.18,35.0,7.68
45,FeI,5775.08,4.22,86.5,7.73
46,FeI,5778.45,2.59,67.3,7.52
47,FeI,5784.66,3.4,63.5,7.49
48,FeI,5835.1,4.26,39.0,7.71
49,FeI,5837.7,4.29,28.4,7.49
50,FeI,5838.37,3.94,51.2,7.57
51,FeI,5849.68,3.69,31.1,7.51
52,FeI,5853.15,1.49,49.0,7.55
53,FeI,5855.08,4.61,45.5,7.45
54,FeI,5858.78,4.22,34.8,7.46
55,FeI,5883.82,3.96,91.0,7.43
56,FeI,5902.47,4.59,30.1,7.34
57,FeI,5905.67,4.65,81.4,7.47
58,FeI,5927.79,4.65,65.9,7.45
59,FeI,5929.68,4.55,67.3,7.68
60,FeI,5930.18,4.65,108.3,7.5
61,FeI,5934.65,3.93,104.8,7.46
62,FeI,5940.99,4.18,48.3,7.59
63,FeI,5956.69,0.86,116.0,7.61
64,FeI,6003.01,3.88,111.3,7.56
65,FeI,6012.21,2.22,71.1,7.75
66,FeI,6027.05,4.08,93.0,7.52
67,FeI,6079.01,4.65,70.7,7.58
68,FeI,6082.71,2.22,84.7,7.58
69,FeI,6093.64,4.61,56.4,7.6
70,FeI,6094.37,4.65,43.2,7.81
71,FeI,6096.66,3.98,70.3,7.59
72,FeI,6120.25,0.91,44.9,7.55
73,FeI,6127.91,4.14,80.9,7.62
74,FeI,6136.99,2.2,118.8,7.66
75,FeI,6151.62,2.18,97.3,7.54
76,FeI,6165.36,4.14,75.0,7.56
77,FeI,6173.33,2.22,116.1,7.57
78,FeI,6187.99,3.94,82.8,7.58
79,FeI,6200.31,2.61,118.9,7.59
80,FeI,6226.73,3.88,60.1,7.54
81,FeI,6229.23,2.85,83.0,7.51
82,FeI,6232.64,3.65,117.7,7.64
83,FeI,6270.22,2.86,96.5,7.55
84,FeI,6271.28,3.33,60.8,7.49
85,FeI,6315.81,4.08,74.7,7.59
86,FeI,6330.85,4.73,56.6,7.97
87,FeI,6338.88,4.8,66.4,7.56
88,FeI,6364.36,4.8,66.0,7.92
89,FeI,6380.74,4.19,84.8,7.71
90,FeI,6475.62,2.56,115.4,7.95
91,FeI,6481.87,2.28,115.4,7.66
92,FeI,6496.47,4.8,97.0,7.73
93,FeI,6498.94,0.96,111.9,7.65
94,FeI,6518.37,2.83,101.0,7.41
95,FeI,6533.93,4.56,66.5,7.68
96,FeI,6569.21,4.73,103.4,7.62
97,FeI,6574.23,0.99,94.3,7.63
98,FeI,6597.56,4.8,69.6,7.63
99,FeI,6609.11,2.56,119.6,7.74
100,FeI,6627.54,4.55,57.3,7.7
101,FeI,6648.08,1.01,60.5,7.86
102,FeI,6699.14,4.59,23.7,7.54
103,FeI,6703.57,2.76,82.8,7.6
104,FeI,6713.74,4.8,44.6,7.64
105,FeI,6733.15,4.64,54.6,7.64
106,FeI,6739.52,1.56,61.0,7.41
107,FeI,6786.86,4.19,53.8,7.58
108,FeI,6804.27,4.58,35.9,7.52
109,FeI,6806.84,2.73,83.4,6.63
110,FeI,6810.26,4.61,76.9,7.56
111,FeI,6820.37,4.64,72.7,7.74
112,FeII,5264.81,3.23,28.8,6.74
113,FeII,5414.07,3.22,33.8,7.33
114,FeII,5534.85,3.25,59.0,7.3
115,FeII,6084.11,3.2,33.4,7.61
116,FeII,6113.32,3.22,20.4,7.6
117,FeII,6149.26,3.89,42.6,7.58
118,FeII,6247.56,3.89,56.0,7.53
119,FeII,6369.46,2.89,29.6,7.4
120,FeII,6432.68,2.89,53.7,7.47
121,FeII,6456.38,3.9,69.6,7.62
