,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,33.3,7.31
1,FeI,4788.76,3.24,61.8,7.39
2,FeI,4802.88,3.64,55.5,7.37
3,FeI,4808.15,3.25,21.7,7.41
4,FeI,4875.88,3.33,48.5,7.29
5,FeI,4907.73,3.43,53.3,7.39
6,FeI,4924.77,2.28,88.3,7.43
7,FeI,4939.69,0.86,94.8,7.38
8,FeI,4946.39,3.37,86.0,7.3
9,FeI,4950.11,3.42,66.0,7.46
10,FeI,4962.57,4.18,47.7,7.36
11,FeI,4999.11,4.19,25.0,7.32
12,FeI,5012.69,4.28,31.6,7.59
13,FeI,5023.19,4.28,29.4,7.35
14,FeI,5044.21,2.85,67.6,7.32
15,FeI,5058.5,3.64,8.1,7.39
16,FeI,5088.15,4.15,28.5,7.39
17,FeI,5107.45,0.99,105.3,7.49
18,FeI,5107.64,1.56,107.3,7.34
19,FeI,5127.36,0.92,94.7,7.36
20,FeI,5131.47,2.22,81.6,7.54
21,FeI,5141.74,2.42,80.8,7.3
22,FeI,5197.94,4.3,27.6,7.36
23,FeI,5198.71,2.22,89.3,7.29
24,FeI,5217.39,3.21,97.3,7.26
25,FeI,5225.53,0.11,72.3,7.49
26,FeI,5242.49,3.63,81.1,7.34
27,FeI,5243.78,4.26,54.7,7.38
28,FeI,5247.05,0.09,62.4,7.45
29,FeI,5250.21,0.12,63.3,7.45
30,FeI,5250.65,2.2,93.8,7.42
31,FeI,5253.02,2.28,10.6,7.22
32,FeI,5253.46,3.28,68.6,7.25
33,FeI,5285.13,4.43,23.6,7.39
34,FeI,5288.52,3.69,53.0,7.32
35,FeI,5293.96,4.14,23.6,7.36
36,FeI,5294.55,3.64,9.9,7.4
37,FeI,5295.31,4.42,23.3,7.41
38,FeI,5322.04,2.28,57.6,7.33
39,FeI,5365.4,3.57,74.8,7.21
40,FeI,5373.71,4.47,57.4,7.33
41,FeI,5379.57,3.69,56.5,7.39
42,FeI,5386.33,4.15,24.7,7.28
43,FeI,5389.48,4.42,75.3,7.25
44,FeI,5395.22,4.45,14.3,7.65
45,FeI,5398.28,4.45,66.2,7.34
46,FeI,5412.78,4.43,14.3,7.28
47,FeI,5417.03,4.42,27.3,7.49
48,FeI,5441.34,4.31,24.8,7.39
49,FeI,5466.4,4.37,72.2,7.38
50,FeI,5470.09,4.45,20.0,7.47
51,FeI,5473.9,4.15,74.2,7.4
52,FeI,5483.1,4.15,40.1,7.35
53,FeI,5487.15,4.42,29.7,7.4
54,FeI,5494.46,4.08,21.2,7.45
55,FeI,5522.45,4.21,36.5,7.38
56,FeI,5539.28,3.64,12.7,7.32
57,FeI,5543.94,4.22,56.5,7.36
58,FeI,5546.51,4.37,45.9,7.47
59,FeI,5560.21,4.43,46.3,7.4
60,FeI,5576.09,3.43,99.9,7.23
61,FeI,5618.63,4.21,44.6,7.36
62,FeI,5619.6,4.39,27.6,7.49
63,FeI,5633.95,4.99,59.9,7.34
