,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,33.1,7.28
1,FeI,4788.76,3.24,61.7,7.36
2,FeI,4802.88,3.64,55.1,7.33
3,FeI,4808.15,3.25,21.3,7.37
4,FeI,4875.88,3.33,48.6,7.26
5,FeI,4907.73,3.43,53.0,7.36
6,FeI,4924.77,2.28,88.0,7.41
7,FeI,4939.69,0.86,94.6,7.32
8,FeI,4946.39,3.37,85.9,7.27
9,FeI,4950.11,3.42,65.6,7.42
10,FeI,4962.57,4.18,47.4,7.31
11,FeI,4999.11,4.19,24.5,7.27
12,FeI,5023.19,4.28,29.0,7.32
13,FeI,5044.21,2.85,67.2,7.29
14,FeI,5088.15,4.15,28.4,7.37
15,FeI,5107.45,0.99,106.0,7.44
16,FeI,5107.64,1.56,107.8,7.29
17,FeI,5127.36,0.92,94.5,7.31
18,FeI,5131.47,2.22,80.6,7.5
19,FeI,5141.74,2.42,80.4,7.27
20,FeI,5197.94,4.3,27.5,7.34
21,FeI,5198.71,2.22,89.2,7.27
22,FeI,5217.39,3.21,96.9,7.23
23,FeI,5225.53,0.11,71.8,7.45
24,FeI,5242.49,3.63,80.6,7.31
25,FeI,5243.78,4.26,54.2,7.36
26,FeI,5247.05,0.09,62.0,7.42
27,FeI,5250.21,0.12,62.8,7.41
28,FeI,5250.65,2.2,93.4,7.4
29,FeI,5253.46,3.28,68.3,7.23
30,FeI,5285.13,4.43,23.4,7.36
31,FeI,5288.52,3.69,52.7,7.29
32,FeI,5293.96,4.14,23.5,7.33
33,FeI,5295.31,4.42,23.1,7.39
34,FeI,5322.04,2.28,57.4,7.31
35,FeI,5373.71,4.47,57.1,7.31
36,FeI,5379.57,3.69,56.2,7.36
37,FeI,5386.33,4.15,24.4,7.25
38,FeI,5389.48,4.42,75.0,7.25
39,FeI,5398.28,4.45,65.8,7.31
40,FeI,5417.03,4.42,27.0,7.47
41,FeI,5441.34,4.31,24.6,7.37
42,FeI,5466.4,4.37,72.0,7.38
43,FeI,5473.9,4.15,73.9,7.39
44,FeI,5483.1,4.15,39.8,7.33
45,FeI,5487.15,4.42,29.4,7.37
46,FeI,5494.46,4.08,20.9,7.41
47,FeI,5522.45,4.21,36.3,7.35
48,FeI,5543.94,4.22,56.2,7.34
49,FeI,5546.51,4.37,45.5,7.45
50,FeI,5560.21,4.43,46.0,7.39
51,FeI,5576.09,3.43,100.0,7.22
52,FeI,5618.63,4.21,44.5,7.34
53,FeI,5619.6,4.39,27.5,7.47
54,FeI,5633.95,4.99,59.6,7.34
55,FeI,5638.26,4.22,70.2,7.35
56,FeI,5641.43,4.26,56.7,7.43
57,FeI,5649.99,5.1,29.8,7.4
58,FeI,5652.32,4.26,20.9,7.43
59,FeI,5662.52,4.18,84.9,7.38
60,FeI,5679.02,4.65,52.3,7.43
61,FeI,5691.5,4.3,34.6,7.37
62,FeI,5701.54,2.56,79.0,7.37
63,FeI,5705.46,4.3,31.3,7.23
64,FeI,5731.76,4.26,52.1,7.46
65,FeI,5741.85,4.26,26.7,7.4
66,FeI,5883.82,3.96,59.0,7.33
67,FeI,5905.67,4.65,51.2,7.28
68,FeI,5916.25,2.45,51.1,7.42
69,FeI,5927.79,4.65,39.0,7.34
70,FeI,5930.18,4.65,82.2,7.37
71,FeI,5956.69,0.86,46.1,7.38
72,FeI,6003.01,3.88,75.8,7.43
73,FeI,6027.05,4.08,61.4,7.38
74,FeI,6065.48,2.61,110.0,7.28
75,FeI,6079.01,4.65,39.7,7.38
76,FeI,6082.71,2.22,28.6,7.38
77,FeI,6093.64,4.61,25.8,7.42
78,FeI,6096.66,3.98,31.7,7.39
79,FeI,6127.91,4.14,44.5,7.4
