,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,36.7,7.55
1,FeI,4788.76,3.24,66.9,7.67
2,FeI,4808.15,3.25,24.3,7.64
3,FeI,4875.88,3.33,50.1,7.47
4,FeI,4907.73,3.43,57.7,7.63
5,FeI,4924.77,2.28,93.4,7.72
6,FeI,4946.39,3.37,92.7,7.58
7,FeI,4950.11,3.42,74.2,7.77
8,FeI,4962.57,4.18,53.5,7.6
9,FeI,4985.55,2.87,99.2,7.41
10,FeI,4994.13,0.92,98.5,7.43
11,FeI,5012.69,4.28,35.1,7.79
12,FeI,5023.19,4.28,33.1,7.55
13,FeI,5044.21,2.85,69.4,7.53
14,FeI,5058.5,3.64,7.8,7.51
15,FeI,5060.08,0.0,49.0,7.82
16,FeI,5088.15,4.15,31.6,7.59
17,FeI,5107.45,0.99,105.6,7.72
18,FeI,5107.64,1.56,108.8,7.58
19,FeI,5109.65,4.3,75.0,7.82
20,FeI,5127.36,0.92,93.6,7.56
21,FeI,5131.47,2.22,83.2,7.75
22,FeI,5141.74,2.42,80.5,7.47
23,FeI,5194.94,1.56,112.9,7.3
24,FeI,5197.94,4.3,31.7,7.56
25,FeI,5198.71,2.22,90.2,7.49
26,FeI,5215.18,3.27,111.2,7.43
27,FeI,5217.39,3.21,100.6,7.47
28,FeI,5228.38,4.22,60.5,7.72
29,FeI,5242.49,3.63,84.9,7.57
30,FeI,5243.78,4.26,59.2,7.59
31,FeI,5247.05,0.09,56.9,7.59
32,FeI,5250.21,0.12,58.3,7.6
33,FeI,5250.65,2.2,96.9,7.67
34,FeI,5253.02,2.28,9.7,7.37
35,FeI,5253.46,3.28,71.7,7.47
36,FeI,5288.52,3.69,57.1,7.55
37,FeI,5293.96,4.14,27.3,7.58
38,FeI,5294.55,3.64,11.0,7.6
39,FeI,5295.31,4.42,27.7,7.63
40,FeI,5302.3,3.28,119.8,7.4
41,FeI,5321.11,4.43,38.8,7.38
42,FeI,5322.04,2.28,55.7,7.48
43,FeI,5364.87,4.45,112.3,7.3
44,FeI,5365.4,3.57,78.1,7.42
45,FeI,5373.71,4.47,62.9,7.55
46,FeI,5379.57,3.69,59.7,7.6
47,FeI,5386.33,4.15,29.3,7.51
48,FeI,5389.48,4.42,82.5,7.48
49,FeI,5395.22,4.45,17.9,7.88
50,FeI,5398.28,4.45,73.4,7.58
51,FeI,5412.78,4.43,16.9,7.48
52,FeI,5417.03,4.42,30.9,7.69
53,FeI,5441.34,4.31,28.0,7.58
54,FeI,5461.55,4.45,22.9,7.75
55,FeI,5464.28,4.14,36.3,7.4
56,FeI,5466.4,4.37,78.3,7.59
57,FeI,5470.09,4.45,24.2,7.69
58,FeI,5473.9,4.15,80.8,7.64
59,FeI,5483.1,4.15,43.7,7.55
60,FeI,5487.15,4.42,34.6,7.62
61,FeI,5494.46,4.08,25.7,7.69
62,FeI,5522.45,4.21,40.9,7.59
63,FeI,5539.28,3.64,14.8,7.54
64,FeI,5543.94,4.22,62.7,7.61
65,FeI,5546.51,4.37,52.9,7.72
66,FeI,5560.21,4.43,52.0,7.61
67,FeI,5576.09,3.43,103.1,7.44
68,FeI,5587.57,4.14,35.5,7.73
69,FeI,5618.63,4.21,49.2,7.57
70,FeI,5619.6,4.39,31.5,7.69
71,FeI,5624.02,4.39,49.8,7.84
72,FeI,5633.95,4.99,67.2,7.57
73,FeI,5635.82,4.26,33.2,7.79
74,FeI,5636.7,3.64,16.9,7.56
75,FeI,5638.26,4.22,76.8,7.6
76,FeI,5641.43,4.26,63.6,7.7
77,FeI,5649.99,5.1,35.9,7.65
78,FeI,5651.47,4.47,16.2,7.67
79,FeI,5652.32,4.26,24.1,7.66
80,FeI,5653.87,4.39,37.7,7.74
81,FeI,5655.18,5.06,54.1,7.8
82,FeI,5661.35,4.28,19.8,7.47
83,FeI,5662.52,4.18,90.9,7.6
84,FeI,5667.52,4.18,48.7,7.85
85,FeI,5679.02,4.65,58.9,7.68
