,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,36.6,7.51
1,FeI,4788.76,3.24,66.9,7.6
2,FeI,4802.88,3.64,59.7,7.55
3,FeI,4808.15,3.25,24.0,7.59
4,FeI,4875.88,3.33,50.4,7.44
5,FeI,4907.73,3.43,57.2,7.58
6,FeI,4924.77,2.28,93.0,7.67
7,FeI,4946.39,3.37,92.5,7.53
8,FeI,4950.11,3.42,74.0,7.72
9,FeI,4962.57,4.18,53.3,7.55
10,FeI,4985.55,2.87,98.9,7.37
11,FeI,4994.13,0.92,98.0,7.34
12,FeI,5012.69,4.28,34.6,7.75
13,FeI,5023.19,4.28,32.7,7.52
14,FeI,5044.21,2.85,69.2,7.48
15,FeI,5060.08,0.0,48.9,7.79
16,FeI,5088.15,4.15,31.4,7.56
17,FeI,5107.45,0.99,106.4,7.65
18,FeI,5107.64,1.56,109.2,7.5
19,FeI,5109.65,4.3,74.3,7.82
20,FeI,5127.36,0.92,93.4,7.49
21,FeI,5131.47,2.22,81.7,7.68
22,FeI,5141.74,2.42,80.3,7.42
23,FeI,5194.94,1.56,112.9,7.21
24,FeI,5197.94,4.3,31.8,7.55
25,FeI,5198.71,2.22,90.2,7.46
26,FeI,5215.18,3.27,111.1,7.39
27,FeI,5217.39,3.21,100.2,7.43
28,FeI,5228.38,4.22,60.2,7.7
29,FeI,5242.49,3.63,84.6,7.51
30,FeI,5243.78,4.26,59.1,7.57
31,FeI,5247.05,0.09,56.7,7.55
32,FeI,5250.21,0.12,58.2,7.56
33,FeI,5250.65,2.2,96.2,7.62
34,FeI,5253.46,3.28,71.6,7.44
35,FeI,5288.52,3.69,56.7,7.5
36,FeI,5293.96,4.14,27.5,7.54
37,FeI,5295.31,4.42,27.3,7.6
38,FeI,5302.3,3.28,119.6,7.35
39,FeI,5321.11,4.43,38.6,7.36
40,FeI,5322.04,2.28,55.5,7.43
41,FeI,5364.87,4.45,114.6,7.34
42,FeI,5365.4,3.57,77.8,7.36
43,FeI,5373.71,4.47,62.5,7.51
44,FeI,5379.57,3.69,59.3,7.55
45,FeI,5386.33,4.15,28.9,7.48
46,FeI,5389.48,4.42,82.0,7.47
47,FeI,5398.28,4.45,73.0,7.55
48,FeI,5417.03,4.42,30.5,7.66
49,FeI,5441.34,4.31,27.8,7.56
50,FeI,5461.55,4.45,22.8,7.72
51,FeI,5464.28,4.14,36.1,7.36
52,FeI,5466.4,4.37,78.1,7.59
53,FeI,5470.09,4.45,24.1,7.66
54,FeI,5473.9,4.15,80.6,7.63
55,FeI,5483.1,4.15,43.5,7.52
56,FeI,5487.15,4.42,34.3,7.59
57,FeI,5494.46,4.08,25.4,7.65
58,FeI,5522.45,4.21,40.6,7.55
59,FeI,5543.94,4.22,62.6,7.58
60,FeI,5546.51,4.37,52.3,7.69
61,FeI,5560.21,4.43,51.7,7.61
62,FeI,5576.09,3.43,102.8,7.4
63,FeI,5587.57,4.14,35.4,7.69
64,FeI,5618.63,4.21,49.0,7.54
65,FeI,5619.6,4.39,31.4,7.67
66,FeI,5624.02,4.39,49.5,7.81
67,FeI,5633.95,4.99,66.7,7.56
68,FeI,5635.82,4.26,32.7,7.77
69,FeI,5638.26,4.22,76.3,7.57
70,FeI,5641.43,4.26,63.1,7.66
71,FeI,5649.99,5.1,35.5,7.61
72,FeI,5652.32,4.26,23.8,7.62
73,FeI,5655.18,5.06,53.9,7.71
74,FeI,5662.52,4.18,90.7,7.59
75,FeI,5667.52,4.18,48.5,7.81
76,FeI,5679.02,4.65,58.5,7.64
77,FeI,5691.5,4.3,39.9,7.59
78,FeI,5701.54,2.56,81.7,7.58
79,FeI,5705.46,4.3,37.1,7.46
80,FeI,5731.76,4.26,57.4,7.67
81,FeI,5741.85,4.26,30.1,7.59
82,FeI,5775.08,4.22,58.0,7.74
83,FeI,5784.66,3.4,22.1,7.47
84,FeI,5883.82,3.96,72.9,7.71
85,FeI,5929.68,4.55,41.0,7.71
86,FeI,6027.05,4.08,75.7,7.78
87,FeI,6151.62,2.18,48.4,7.66
88,FeI,6165.36,4.14,57.3,7.84
89,FeI,6315.81,4.08,22.3,7.16
90,FeI,6330.85,4.73,27.9,7.92
91,FeI,6335.33,2.2,80.9,7.19
92,FeI,6475.62,2.56,44.6,7.55
93,FeII,4993.36,2.81,51.6,7.49
94,FeII,5256.94,2.89,29.7,7.57
95,FeII,5264.81,3.23,64.3,7.59
96,FeII,5325.55,3.22,61.1,7.54
97,FeII,5414.07,3.22,42.0,7.54
98,FeII,5425.26,3.2,59.7,7.54
