,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,67.8,7.58
1,FeI,4788.76,3.24,85.2,7.66
2,FeI,4793.96,3.05,22.7,7.46
3,FeI,4794.35,2.42,34.9,7.59
4,FeI,4808.15,3.25,52.1,7.68
5,FeI,4869.46,3.55,43.6,7.52
6,FeI,4873.75,3.3,26.7,7.37
7,FeI,4875.88,3.33,78.6,7.51
8,FeI,4877.6,3.0,46.9,7.58
9,FeI,4907.73,3.43,80.6,7.56
10,FeI,4950.11,3.42,96.9,7.65
11,FeI,4962.57,4.18,69.6,7.62
12,FeI,5012.69,4.28,53.9,7.73
13,FeI,5023.19,4.28,51.4,7.49
14,FeI,5044.21,2.85,96.4,7.43
15,FeI,5058.5,3.64,24.9,7.55
16,FeI,5088.15,4.15,56.2,7.65
17,FeI,5109.65,4.3,83.6,7.6
18,FeI,5131.47,2.22,113.5,7.64
19,FeI,5141.74,2.42,111.0,7.4
20,FeI,5197.94,4.3,42.1,7.33
21,FeI,5225.53,0.11,113.8,7.7
22,FeI,5228.38,4.22,77.9,7.66
23,FeI,5242.49,3.63,100.9,7.44
24,FeI,5243.78,4.26,75.2,7.5
25,FeI,5247.05,0.09,104.7,7.69
26,FeI,5250.21,0.12,109.1,7.77
27,FeI,5250.65,2.2,129.2,7.46
28,FeI,5253.02,2.28,44.4,7.5
29,FeI,5253.46,3.28,94.4,7.33
30,FeI,5262.88,3.25,40.9,7.24
31,FeI,5285.13,4.43,44.7,7.54
32,FeI,5288.52,3.69,77.1,7.55
33,FeI,5293.96,4.14,49.6,7.64
34,FeI,5294.55,3.64,34.4,7.7
35,FeI,5295.31,4.42,45.8,7.59
36,FeI,5321.11,4.43,58.5,7.37
37,FeI,5322.04,2.28,89.4,7.53
38,FeI,5365.4,3.57,93.3,7.33
39,FeI,5373.71,4.47,77.4,7.45
40,FeI,5379.57,3.69,79.8,7.6
41,FeI,5386.33,4.15,49.4,7.46
42,FeI,5389.48,4.42,92.8,7.29
43,FeI,5395.22,4.45,35.0,7.86
44,FeI,5398.28,4.45,85.3,7.42
45,FeI,5412.78,4.43,34.1,7.47
46,FeI,5417.03,4.42,50.6,7.68
47,FeI,5436.59,2.28,84.0,7.53
48,FeI,5441.34,4.31,50.4,7.62
49,FeI,5464.28,4.14,54.8,7.37
50,FeI,5466.4,4.37,91.4,7.45
51,FeI,5470.09,4.45,43.9,7.7
52,FeI,5473.9,4.15,95.5,7.48
53,FeI,5483.1,4.15,61.8,7.47
54,FeI,5487.15,4.42,55.3,7.62
55,FeI,5491.83,4.19,26.6,7.53
56,FeI,5494.46,4.08,47.5,7.73
57,FeI,5522.45,4.21,60.3,7.55
58,FeI,5536.58,2.83,22.9,7.46
59,FeI,5539.28,3.64,41.1,7.64
60,FeI,5543.94,4.22,80.3,7.53
61,FeI,5546.51,4.37,70.6,7.68
62,FeI,5560.21,4.43,66.2,7.51
63,FeI,5587.57,4.14,60.1,7.88
64,FeI,5618.63,4.21,67.0,7.51
65,FeI,5619.6,4.39,57.1,7.8
