,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,68.1,7.38
1,FeI,4788.76,3.24,85.3,7.35
2,FeI,4793.96,3.05,23.0,7.38
3,FeI,4794.35,2.42,35.2,7.49
4,FeI,4808.15,3.25,51.9,7.5
5,FeI,4869.46,3.55,43.7,7.38
6,FeI,4873.75,3.3,27.0,7.28
7,FeI,4875.88,3.33,78.7,7.3
8,FeI,4877.6,3.0,47.0,7.44
9,FeI,4907.73,3.43,80.4,7.34
10,FeI,4950.11,3.42,96.7,7.45
11,FeI,4962.57,4.18,69.3,7.34
12,FeI,5012.69,4.28,53.9,7.6
13,FeI,5023.19,4.28,51.4,7.37
14,FeI,5044.21,2.85,96.2,7.21
15,FeI,5058.5,3.64,25.1,7.47
16,FeI,5088.15,4.15,56.3,7.51
17,FeI,5109.65,4.3,83.7,7.46
18,FeI,5131.47,2.22,114.4,7.43
19,FeI,5141.74,2.42,110.9,7.17
20,FeI,5197.94,4.3,42.6,7.25
21,FeI,5225.53,0.11,112.9,7.27
22,FeI,5228.38,4.22,78.0,7.5
23,FeI,5242.49,3.63,100.5,7.18
24,FeI,5243.78,4.26,75.1,7.34
25,FeI,5247.05,0.09,103.6,7.25
26,FeI,5250.21,0.12,108.4,7.34
27,FeI,5253.02,2.28,44.5,7.36
28,FeI,5253.46,3.28,94.0,7.12
29,FeI,5262.88,3.25,41.1,7.11
30,FeI,5285.13,4.43,44.8,7.43
31,FeI,5288.52,3.69,77.1,7.31
32,FeI,5293.96,4.14,49.5,7.46
33,FeI,5294.55,3.64,34.3,7.59
34,FeI,5295.31,4.42,45.7,7.48
35,FeI,5321.11,4.43,58.4,7.23
36,FeI,5322.04,2.28,89.0,7.26
37,FeI,5365.4,3.57,93.0,7.04
38,FeI,5373.71,4.47,77.3,7.28
39,FeI,5379.57,3.69,79.7,7.36
40,FeI,5386.33,4.15,49.5,7.35
41,FeI,5389.48,4.42,92.8,7.14
42,FeI,5398.28,4.45,85.4,7.26
43,FeI,5412.78,4.43,34.3,7.39
44,FeI,5417.03,4.42,50.6,7.56
45,FeI,5436.59,2.28,84.0,7.29
46,FeI,5441.34,4.31,49.8,7.49
47,FeI,5464.28,4.14,54.6,7.2
48,FeI,5466.4,4.37,91.3,7.3
49,FeI,5470.09,4.45,43.8,7.59
50,FeI,5473.9,4.15,95.7,7.33
51,FeI,5483.1,4.15,61.7,7.32
52,FeI,5487.15,4.42,55.2,7.5
53,FeI,5491.83,4.19,26.6,7.43
54,FeI,5494.46,4.08,47.3,7.56
55,FeI,5522.45,4.21,60.1,7.39
56,FeI,5536.58,2.83,22.7,7.37
57,FeI,5539.28,3.64,40.9,7.52
58,FeI,5543.94,4.22,80.0,7.36
59,FeI,5546.51,4.37,70.4,7.52
60,FeI,5560.21,4.43,65.9,7.37
61,FeI,5587.57,4.14,60.1,7.65
62,FeI,5618.63,4.21,66.8,7.34
63,FeI,5633.95,4.99,80.0,7.41
64,FeI,5635.82,4.26,53.7,7.65
65,FeI,5636.7,3.64,39.7,7.44
66,FeI,5638.26,4.22,94.3,7.34
67,FeI,5641.43,4.26,88.7,7.59
68,FeI,5649.99,5.1,49.8,7.51
69,FeI,5651.47,4.47,34.3,7.62
70,FeI,5652.32,4.26,45.8,7.57
71,FeI,5655.18,5.06,67.6,7.57
72,FeI,5661.35,4.28,42.4,7.43
73,FeI,5662.52,4.18,110.2,7.33
74,FeI,5679.02,4.65,73.9,7.45
75,FeI,5691.5,4.3,60.1,7.45
76,FeI,5696.09,4.55,26.9,7.35
77,FeI,5698.02,3.64,34.5,7.4
78,FeI,5701.54,2.56,113.3,7.32
79,FeI,5705.46,4.3,58.3,7.35
80,FeI,5731.76,4.26,76.3,7.49
81,FeI,5732.3,4.99,27.8,7.6
82,FeI,5741.85,4.26,51.6,7.49
83,FeI,5742.96,4.18,26.3,7.63
84,FeI,5760.34,3.64,43.7,7.4
85,FeI,5775.08,4.22,77.9,7.58
86,FeI,5778.45,2.59,54.0,7.45
87,FeI,5784.66,3.4,53.1,7.42
88,FeI,5853.15,1.49,33.9,7.55
89,FeI,5916.25,2.45,86.5,7.43
90,FeI,5930.18,4.65,111.4,7.42
91,FeI,5956.69,0.86,95.4,7.41
92,FeI,6012.21,2.22,53.1,7.61
93,FeI,6082.71,2.22,68.5,7.44
94,FeI,6120.25,0.91,29.4,7.57
95,FeI,6127.91,4.14,68.4,7.44
96,FeI,6136.99,2.2,102.9,7.47
97,FeI,6151.62,2.18,81.7,7.39
98,FeI,6173.33,2.22,97.8,7.34
99,FeI,6200.31,2.61,102.6,7.36
100,FeI,6226.73,3.88,34.2,7.17
101,FeI,6229.23,2.85,65.9,7.32
102,FeI,6240.65,2.22,78.6,7.26
103,FeI,6265.13,2.18,119.7,7.33
104,FeI,6270.22,2.86,80.6,7.36
105,FeI,6297.79,2.22,106.9,7.31
106,FeI,6322.69,2.59,107.3,7.45
107,FeI,6338.88,4.8,51.4,7.33
108,FeI,6475.62,2.56,93.6,7.65
109,FeI,6481.87,2.28,99.2,7.48
110,FeI,6498.94,0.96,68.8,7.05
111,FeI,6518.37,2.83,90.6,7.33
112,FeI,6569.21,4.73,72.1,7.05
113,FeI,6574.23,0.99,71.5,7.46
114,FeI,6593.87,2.43,116.8,7.35
115,FeI,6609.11,2.56,100.0,7.48
116,FeI,6703.57,2.76,69.0,7.5
117,FeI,6739.52,1.56,43.6,7.37
118,FeI,6750.15,2.42,105.2,7.33
119,FeII,4993.36,2.81,35.5,7.34
120,FeII,5264.81,3.23,40.0,7.35
121,FeII,5325.55,3.22,38.8,7.34
122,FeII,5414.07,3.22,23.1,7.33
123,FeII,5425.26,3.2,37.9,7.36
124,FeII,5534.85,3.25,50.7,7.37
125,FeII,5991.38,3.15,33.9,7.65
126,FeII,6247.56,3.89,43.7,7.47
