,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,56.5,7.21
1,FeI,4788.76,3.24,76.0,7.2
2,FeI,4802.88,3.64,66.8,7.14
3,FeI,4808.15,3.25,40.4,7.39
4,FeI,4869.46,3.55,31.2,7.24
5,FeI,4875.88,3.33,75.2,7.2
6,FeI,4877.6,3.0,37.7,7.37
7,FeI,4907.73,3.43,75.8,7.22
8,FeI,4924.77,2.28,115.4,7.08
9,FeI,4950.11,3.42,91.9,7.25
10,FeI,4962.57,4.18,62.6,7.33
11,FeI,4969.92,4.22,87.5,7.05
12,FeI,4999.11,4.19,36.8,7.27
13,FeI,5012.69,4.28,45.1,7.49
14,FeI,5023.19,4.28,43.5,7.27
15,FeI,5044.21,2.85,97.5,7.12
16,FeI,5058.5,3.64,18.0,7.4
17,FeI,5060.08,0.0,90.0,7.49
18,FeI,5088.15,4.15,47.0,7.39
19,FeI,5109.65,4.3,84.2,7.34
20,FeI,5115.78,3.57,25.8,7.36
21,FeI,5131.47,2.22,101.8,7.14
22,FeI,5141.74,2.42,108.0,7.02
23,FeI,5197.94,4.3,28.7,7.05
24,FeI,5225.53,0.11,109.0,7.26
25,FeI,5228.38,4.22,75.4,7.39
26,FeI,5242.49,3.63,98.1,7.06
27,FeI,5243.78,4.26,70.6,7.21
28,FeI,5247.05,0.09,93.8,7.16
29,FeI,5250.21,0.12,99.2,7.25
30,FeI,5250.65,2.2,126.0,7.07
31,FeI,5253.02,2.28,31.7,7.25
32,FeI,5253.46,3.28,94.3,7.01
33,FeI,5285.13,4.43,33.9,7.29
34,FeI,5288.52,3.69,66.2,7.14
35,FeI,5293.96,4.14,37.0,7.35
36,FeI,5294.55,3.64,21.3,7.41
37,FeI,5295.31,4.42,34.8,7.34
38,FeI,5321.11,4.43,51.2,7.13
39,FeI,5322.04,2.28,79.7,7.11
40,FeI,5365.4,3.57,89.8,6.97
41,FeI,5373.71,4.47,76.7,7.19
42,FeI,5379.57,3.69,68.6,7.18
43,FeI,5386.33,4.15,37.3,7.18
44,FeI,5389.48,4.42,93.4,6.99
45,FeI,5395.22,4.45,24.7,7.64
46,FeI,5398.28,4.45,83.9,7.13
47,FeI,5412.78,4.43,24.2,7.26
48,FeI,5417.03,4.42,38.6,7.39
