,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,56.8,7.3
1,FeI,4788.76,3.24,76.2,7.41
2,FeI,4802.88,3.64,67.0,7.31
3,FeI,4808.15,3.25,40.7,7.48
4,FeI,4869.46,3.55,30.8,7.29
5,FeI,4875.88,3.33,75.0,7.29
6,FeI,4877.6,3.0,37.6,7.41
7,FeI,4907.73,3.43,75.8,7.31
8,FeI,4924.77,2.28,115.2,7.22
9,FeI,4950.11,3.42,91.9,7.34
10,FeI,4962.57,4.18,62.7,7.34
11,FeI,4969.92,4.22,87.6,7.15
12,FeI,4999.11,4.19,36.5,7.28
13,FeI,5012.69,4.28,44.8,7.53
14,FeI,5023.19,4.28,43.3,7.32
15,FeI,5044.21,2.85,97.5,7.24
16,FeI,5060.08,0.0,89.8,7.83
17,FeI,5088.15,4.15,46.8,7.45
18,FeI,5109.65,4.3,84.3,7.45
19,FeI,5115.78,3.57,26.0,7.4
20,FeI,5131.47,2.22,102.0,7.32
21,FeI,5141.74,2.42,108.2,7.18
22,FeI,5197.94,4.3,28.7,7.08
23,FeI,5225.53,0.11,108.8,7.47
24,FeI,5228.38,4.22,75.2,7.49
25,FeI,5242.49,3.63,97.9,7.2
26,FeI,5243.78,4.26,70.4,7.31
27,FeI,5247.05,0.09,93.7,7.42
28,FeI,5250.21,0.12,99.3,7.49
29,FeI,5253.02,2.28,31.7,7.3
30,FeI,5253.46,3.28,94.3,7.11
31,FeI,5285.13,4.43,34.0,7.32
32,FeI,5288.52,3.69,66.3,7.3
33,FeI,5293.96,4.14,37.0,7.37
34,FeI,5294.55,3.64,21.3,7.44
35,FeI,5295.31,4.42,34.8,7.38
36,FeI,5321.11,4.43,50.9,7.18
37,FeI,5322.04,2.28,79.5,7.3
38,FeI,5365.4,3.57,89.9,7.14
39,FeI,5373.71,4.47,76.7,7.27
40,FeI,5379.57,3.69,68.6,7.33
41,FeI,5386.33,4.15,37.2,7.23
42,FeI,5389.48,4.42,93.3,7.09
43,FeI,5398.28,4.45,83.7,7.21
44,FeI,5412.78,4.43,23.9,7.27
45,FeI,5417.03,4.42,38.4,7.44
46,FeI,5441.34,4.31,37.2,7.37
47,FeI,5464.28,4.14,47.3,7.25
48,FeI,5466.4,4.37,94.0,7.29
49,FeI,5470.09,4.45,33.4,7.5
50,FeI,5473.9,4.15,94.1,7.28
51,FeI,5483.1,4.15,55.5,7.33
52,FeI,5487.15,4.42,44.4,7.4
53,FeI,5494.46,4.08,35.5,7.48
54,FeI,5522.45,4.21,52.7,7.37
55,FeI,5539.28,3.64,25.7,7.36
56,FeI,5543.94,4.22,74.7,7.32
57,FeI,5546.51,4.37,62.9,7.46
58,FeI,5560.21,4.43,59.8,7.34
59,FeI,5618.63,4.21,61.4,7.34
60,FeI,5619.6,4.39,43.6,7.53
61,FeI,5633.95,4.99,74.3,7.36
62,FeI,5636.7,3.64,28.4,7.37
63,FeI,5638.26,4.22,91.6,7.28
64,FeI,5641.43,4.26,78.2,7.45
65,FeI,5649.99,5.1,40.7,7.41
66,FeI,5651.47,4.47,24.0,7.5
67,FeI,5652.32,4.26,34.4,7.47
68,FeI,5655.18,5.06,58.8,7.46
69,FeI,5661.35,4.28,30.4,7.31
70,FeI,5662.52,4.18,111.4,7.25
71,FeI,5679.02,4.65,70.3,7.4
72,FeI,5691.5,4.3,50.3,7.39
73,FeI,5698.02,3.64,23.9,7.32
74,FeI,5701.54,2.56,106.4,7.29
75,FeI,5705.46,4.3,47.7,7.27
76,FeI,5731.76,4.26,70.8,7.46
77,FeI,5741.85,4.26,42.8,7.46
78,FeI,5760.34,3.64,32.8,7.35
79,FeI,5855.08,4.61,26.3,7.27
80,FeI,5883.82,3.96,78.4,7.22
81,FeI,5927.79,4.65,49.6,7.27
82,FeI,5929.68,4.55,47.6,7.47
83,FeI,5930.18,4.65,95.9,7.14
84,FeI,5934.65,3.93,93.4,7.18
85,FeI,5956.69,0.86,80.5,7.47
86,FeI,6003.01,3.88,103.5,7.3
87,FeI,6012.21,2.22,36.5,7.51
88,FeI,6027.05,4.08,73.1,7.34
89,FeI,6079.01,4.65,54.1,7.38
90,FeI,6082.71,2.22,55.6,7.46
91,FeI,6093.64,4.61,36.9,7.42
92,FeI,6096.66,3.98,49.5,7.39
93,FeI,6127.91,4.14,56.5,7.39
94,FeI,6136.99,2.2,95.6,7.56
95,FeI,6151.62,2.18,68.8,7.44
96,FeI,6165.36,4.14,52.6,7.4
97,FeI,6173.33,2.22,89.0,7.42
98,FeI,6187.99,3.94,61.7,7.33
99,FeI,6200.31,2.61,94.3,7.38
100,FeI,6219.28,2.2,116.5,7.31
101,FeI,6226.73,3.88,39.1,7.39
102,FeI,6229.23,2.85,54.1,7.33
103,FeI,6240.65,2.22,68.9,7.36
104,FeI,6265.13,2.18,109.8,7.31
105,FeI,6270.22,2.86,67.5,7.34
106,FeI,6271.28,3.33,36.5,7.34
107,FeI,6297.79,2.22,98.7,7.37
108,FeI,6315.81,4.08,51.5,7.42
109,FeI,6322.69,2.59,95.3,7.41
110,FeI,6338.88,4.8,49.0,7.37
111,FeI,6364.36,4.8,35.2,7.49
112,FeI,6380.74,4.19,59.9,7.48
113,FeI,6475.62,2.56,79.9,7.62
114,FeI,6481.87,2.28,84.7,7.46
115,FeI,6496.47,4.8,72.7,7.3
116,FeI,6498.94,0.96,77.1,7.58
117,FeI,6518.37,2.83,77.4,7.31
118,FeI,6533.93,4.56,47.8,7.5
119,FeI,6569.21,4.73,88.1,7.29
120,FeI,6574.23,0.99,57.2,7.54
121,FeI,6593.87,2.43,109.9,7.36
122,FeI,6597.56,4.8,51.6,7.42
123,FeI,6627.54,4.55,34.7,7.48
124,FeI,6750.15,2.42,93.9,7.32
125,FeI,6786.86,4.19,34.9,7.46
126,FeII,4993.36,2.81,26.8,7.62
127,FeII,5264.81,3.23,25.2,7.45
128,FeII,5325.55,3.22,25.9,7.5
129,FeII,5425.26,3.2,20.4,7.35
130,FeII,5534.85,3.25,34.4,7.49
131,FeII,6247.56,3.89,27.1,7.53
132,FeII,6456.38,3.9,34.9,7.52
