,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.6,7.5
1,FeI,4788.76,3.24,99.3,7.5
2,FeI,4808.15,3.25,61.7,7.55
3,FeI,4869.46,3.55,52.6,7.43
4,FeI,4875.88,3.33,89.7,7.44
5,FeI,4877.6,3.0,53.9,7.45
6,FeI,4907.73,3.43,94.4,7.56
7,FeI,4950.11,3.42,111.8,7.73
8,FeI,4962.57,4.18,81.9,7.49
9,FeI,4969.92,4.22,100.1,7.38
10,FeI,4999.11,4.19,56.9,7.43
11,FeI,5012.69,4.28,65.9,7.74
12,FeI,5023.19,4.28,61.6,7.47
13,FeI,5044.21,2.85,108.7,7.37
14,FeI,5058.5,3.64,33.0,7.55
15,FeI,5088.15,4.15,59.6,7.47
16,FeI,5109.65,4.3,97.1,7.66
17,FeI,5197.94,4.3,58.5,7.45
18,FeI,5223.18,3.63,58.9,6.97
19,FeI,5225.53,0.11,136.2,7.56
20,FeI,5228.38,4.22,93.3,7.71
21,FeI,5242.49,3.63,114.7,7.36
22,FeI,5243.78,4.26,86.7,7.47
23,FeI,5250.65,2.2,148.1,7.46
24,FeI,5253.02,2.28,53.2,7.37
25,FeI,5253.46,3.28,104.8,7.27
26,FeI,5285.13,4.43,54.9,7.54
27,FeI,5288.52,3.69,92.5,7.47
28,FeI,5293.96,4.14,60.6,7.57
29,FeI,5294.55,3.64,38.5,7.57
30,FeI,5295.31,4.42,55.2,7.57
31,FeI,5321.11,4.43,66.6,7.3
32,FeI,5365.4,3.57,109.1,7.22
33,FeI,5373.71,4.47,88.4,7.44
34,FeI,5379.57,3.69,94.5,7.5
35,FeI,5386.33,4.15,59.9,7.43
36,FeI,5389.48,4.42,105.9,7.35
37,FeI,5395.22,4.45,42.8,7.84
38,FeI,5398.28,4.45,96.3,7.42
39,FeI,5412.78,4.43,41.4,7.45
40,FeI,5417.03,4.42,58.9,7.62
41,FeI,5441.34,4.31,57.8,7.53
42,FeI,5461.55,4.45,50.0,7.7
43,FeI,5464.28,4.14,70.0,7.37
44,FeI,5466.4,4.37,104.1,7.48
45,FeI,5470.09,4.45,49.5,7.61
46,FeI,5473.9,4.15,111.5,7.53
47,FeI,5483.1,4.15,77.4,7.5
48,FeI,5487.15,4.42,67.7,7.63
49,FeI,5491.83,4.19,31.5,7.45
50,FeI,5494.46,4.08,57.2,7.63
51,FeI,5522.45,4.21,70.3,7.48
52,FeI,5539.28,3.64,46.1,7.5
53,FeI,5543.94,4.22,91.9,7.48
54,FeI,5546.51,4.37,85.6,7.71
55,FeI,5560.21,4.43,78.0,7.5
56,FeI,5587.57,4.14,68.8,7.69
57,FeI,5618.63,4.21,79.4,7.47
58,FeI,5619.6,4.39,63.4,7.68
59,FeI,5624.02,4.39,79.4,7.76
60,FeI,5633.95,4.99,91.5,7.48
61,FeI,5635.82,4.26,63.5,7.72
62,FeI,5636.7,3.64,49.1,7.49
63,FeI,5638.26,4.22,106.9,7.49
64,FeI,5641.43,4.26,101.0,7.73
65,FeI,5649.99,5.1,59.2,7.6
66,FeI,5651.47,4.47,39.8,7.64
67,FeI,5652.32,4.26,53.6,7.61
68,FeI,5653.87,4.39,67.9,7.69
69,FeI,5661.35,4.28,51.9,7.51
70,FeI,5662.52,4.18,121.2,7.49
71,FeI,5679.02,4.65,83.4,7.57
72,FeI,5691.5,4.3,72.1,7.56
73,FeI,5696.09,4.55,32.7,7.39
74,FeI,5698.02,3.64,42.5,7.44
75,FeI,5701.54,2.56,131.4,7.46
76,FeI,5705.46,4.3,67.9,7.42
77,FeI,5731.76,4.26,89.8,7.63
78,FeI,5732.3,4.99,35.0,7.66
79,FeI,5741.85,4.26,61.2,7.55
80,FeI,5742.96,4.18,34.2,7.7
81,FeI,5760.34,3.64,54.2,7.46
82,FeI,5775.08,4.22,90.5,7.69
83,FeI,5778.45,2.59,64.7,7.47
84,FeI,5784.66,3.4,61.7,7.45
85,FeI,5838.37,3.94,51.3,7.59
86,FeI,5849.68,3.69,27.5,7.5
87,FeI,5853.15,1.49,41.4,7.53
88,FeI,5855.08,4.61,46.6,7.48
89,FeI,5858.78,4.22,33.5,7.48
90,FeI,5902.47,4.59,28.8,7.35
91,FeI,5905.67,4.65,82.9,7.41
92,FeI,5927.79,4.65,69.9,7.47
93,FeI,5929.68,4.55,70.3,7.68
94,FeI,5930.18,4.65,115.7,7.52
95,FeI,5934.65,3.93,109.9,7.48
96,FeI,5940.99,4.18,44.8,7.54
97,FeI,5956.69,0.86,114.4,7.48
98,FeI,6012.21,2.22,70.9,7.74
99,FeI,6027.05,4.08,98.3,7.49
100,FeI,6065.48,2.61,162.5,7.25
101,FeI,6079.01,4.65,74.9,7.57
102,FeI,6093.64,4.61,58.8,7.61
103,FeI,6094.37,4.65,42.5,7.8
104,FeI,6096.66,3.98,72.6,7.59
105,FeI,6120.25,0.91,35.5,7.51
106,FeI,6151.62,2.18,98.5,7.44
107,FeI,6165.36,4.14,78.9,7.55
108,FeI,6173.33,2.22,121.0,7.48
109,FeI,6187.99,3.94,82.6,7.51
110,FeI,6200.31,2.61,121.8,7.5
111,FeI,6219.28,2.2,142.5,7.37
112,FeI,6226.73,3.88,60.1,7.53
113,FeI,6246.32,3.6,142.3,7.3
114,FeI,6252.56,2.4,169.7,7.34
115,FeI,6265.13,2.18,143.4,7.45
116,FeI,6270.22,2.86,99.0,7.47
117,FeI,6271.28,3.33,61.3,7.5
118,FeI,6315.81,4.08,84.7,7.71
119,FeI,6322.69,2.59,126.3,7.57
120,FeI,6335.33,2.2,152.4,7.22
121,FeI,6336.82,3.69,139.5,7.39
122,FeI,6393.6,2.43,183.6,7.28
123,FeI,6411.65,3.65,152.9,7.32
124,FeI,6430.85,2.18,172.3,7.24
125,FeI,6481.87,2.28,119.8,7.57
126,FeI,6496.47,4.8,95.7,7.58
127,FeI,6498.94,0.96,112.6,7.57
128,FeI,6533.93,4.56,66.5,7.62
129,FeI,6574.23,0.99,87.9,7.46
130,FeI,6593.87,2.43,141.6,7.55
131,FeI,6597.56,4.8,71.6,7.59
132,FeI,6609.11,2.56,121.2,7.62
133,FeI,6648.08,1.01,53.9,7.84
134,FeI,6699.14,4.59,23.0,7.57
135,FeI,6703.57,2.76,86.4,7.59
136,FeI,6713.74,4.8,44.9,7.64
137,FeI,6739.52,1.56,52.3,7.33
138,FeI,6810.26,4.61,81.4,7.55
139,FeII,4993.36,2.81,58.8,7.45
140,FeII,5256.94,2.89,41.7,7.66
141,FeII,5264.81,3.23,67.8,7.54
142,FeII,5325.55,3.22,67.7,7.56
143,FeII,5414.07,3.22,47.0,7.52
144,FeII,5425.26,3.2,64.3,7.52
145,FeII,5534.85,3.25,91.5,7.79
146,FeII,5991.38,3.15,62.3,7.85
147,FeII,6084.11,3.2,45.7,7.78
148,FeII,6247.56,3.89,74.9,7.7
149,FeII,6432.68,2.89,69.7,7.62
150,FeII,6456.38,3.9,90.1,7.74
