,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,79.0,7.46
1,FeI,4788.76,3.24,98.7,7.45
2,FeI,4808.15,3.25,60.8,7.5
3,FeI,4869.46,3.55,52.3,7.38
4,FeI,4875.88,3.33,89.5,7.41
5,FeI,4877.6,3.0,54.0,7.42
6,FeI,4907.73,3.43,94.0,7.53
7,FeI,4950.11,3.42,111.4,7.7
8,FeI,4962.57,4.18,81.7,7.47
9,FeI,4969.92,4.22,99.9,7.4
10,FeI,4999.11,4.19,56.0,7.38
11,FeI,5012.69,4.28,65.3,7.72
12,FeI,5023.19,4.28,61.3,7.45
13,FeI,5044.21,2.85,108.4,7.36
14,FeI,5058.5,3.64,32.7,7.5
15,FeI,5088.15,4.15,59.9,7.45
16,FeI,5109.65,4.3,97.0,7.68
17,FeI,5197.94,4.3,58.5,7.44
18,FeI,5223.18,3.63,58.3,6.93
19,FeI,5228.38,4.22,93.0,7.71
20,FeI,5242.49,3.63,114.1,7.33
21,FeI,5243.78,4.26,86.3,7.47
22,FeI,5253.02,2.28,53.0,7.33
23,FeI,5253.46,3.28,104.4,7.25
24,FeI,5285.13,4.43,54.7,7.5
25,FeI,5288.52,3.69,92.2,7.45
26,FeI,5293.96,4.14,60.2,7.53
27,FeI,5294.55,3.64,38.2,7.53
28,FeI,5295.31,4.42,54.8,7.54
29,FeI,5321.11,4.43,66.1,7.28
30,FeI,5365.4,3.57,108.6,7.19
31,FeI,5373.71,4.47,87.9,7.43
32,FeI,5379.57,3.69,93.9,7.48
33,FeI,5386.33,4.15,59.5,7.41
34,FeI,5389.48,4.42,105.4,7.36
35,FeI,5395.22,4.45,42.5,7.81
36,FeI,5398.28,4.45,95.9,7.42
37,FeI,5412.78,4.43,41.2,7.41
38,FeI,5417.03,4.42,58.6,7.59
39,FeI,5441.34,4.31,57.4,7.5
40,FeI,5461.55,4.45,49.6,7.67
41,FeI,5464.28,4.14,69.6,7.34
42,FeI,5466.4,4.37,103.7,7.5
43,FeI,5470.09,4.45,49.1,7.57
44,FeI,5473.9,4.15,111.3,7.58
45,FeI,5483.1,4.15,77.1,7.5
46,FeI,5487.15,4.42,67.3,7.61
47,FeI,5491.83,4.19,31.1,7.41
48,FeI,5494.46,4.08,56.7,7.58
49,FeI,5522.45,4.21,69.9,7.45
50,FeI,5539.28,3.64,46.1,7.46
51,FeI,5543.94,4.22,91.7,7.5
52,FeI,5546.51,4.37,84.3,7.68
53,FeI,5560.21,4.43,77.7,7.5
54,FeI,5587.57,4.14,68.5,7.65
55,FeI,5618.63,4.21,79.1,7.45
56,FeI,5619.6,4.39,63.1,7.66
57,FeI,5624.02,4.39,79.0,7.76
58,FeI,5633.95,4.99,91.2,7.55
59,FeI,5635.82,4.26,63.2,7.7
60,FeI,5636.7,3.64,48.8,7.45
61,FeI,5638.26,4.22,106.6,7.51
62,FeI,5641.43,4.26,100.6,7.74
63,FeI,5649.99,5.1,58.7,7.58
64,FeI,5651.47,4.47,39.3,7.6
65,FeI,5652.32,4.26,53.0,7.57
66,FeI,5661.35,4.28,51.2,7.47
67,FeI,5679.02,4.65,82.7,7.55
68,FeI,5691.5,4.3,71.5,7.54
69,FeI,5696.09,4.55,32.0,7.35
70,FeI,5698.02,3.64,41.8,7.39
71,FeI,5705.46,4.3,67.0,7.39
72,FeI,5731.76,4.26,89.5,7.64
73,FeI,5732.3,4.99,34.7,7.63
74,FeI,5741.85,4.26,60.7,7.53
75,FeI,5742.96,4.18,33.8,7.66
76,FeI,5760.34,3.64,53.6,7.42
77,FeI,5775.08,4.22,89.9,7.7
78,FeI,5778.45,2.59,64.1,7.43
79,FeI,5784.66,3.4,61.2,7.41
80,FeI,5838.37,3.94,27.5,7.09
81,FeI,5849.68,3.69,28.2,7.48
82,FeI,5855.08,4.61,27.7,7.07
83,FeI,5940.99,4.18,22.7,7.05
84,FeI,5956.69,0.86,94.3,7.05
85,FeI,6012.21,2.22,30.7,6.99
86,FeI,6120.25,0.91,26.8,7.3
87,FeI,6173.33,2.22,110.9,7.33
88,FeI,6270.22,2.86,115.3,7.81
89,FeI,6271.28,3.33,64.8,7.54
90,FeI,6481.87,2.28,93.3,7.1
91,FeI,6496.47,4.8,63.9,7.01
92,FeI,6498.94,0.96,97.2,7.27
93,FeI,6648.08,1.01,25.3,7.29
94,FeII,4993.36,2.81,58.0,7.34
95,FeII,5256.94,2.89,41.6,7.56
96,FeII,5264.81,3.23,67.8,7.47
97,FeII,5325.55,3.22,67.3,7.48
98,FeII,5414.07,3.22,46.8,7.44
99,FeII,5425.26,3.2,64.0,7.44
100,FeII,5534.85,3.25,84.3,7.6
101,FeII,5991.38,3.15,57.8,7.67
102,FeII,6247.56,3.89,73.5,7.62
