,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,44.2,7.64
1,FeI,4788.76,3.24,73.6,7.6
2,FeI,4875.88,3.33,55.5,7.49
3,FeI,4924.77,2.28,118.8,7.95
4,FeI,4946.39,3.37,115.3,7.8
5,FeI,4950.11,3.42,94.0,7.97
6,FeI,4962.57,4.18,64.1,7.67
7,FeI,4969.92,4.22,91.1,7.66
8,FeI,4994.13,0.92,114.1,7.41
9,FeI,5044.21,2.85,80.6,7.58
10,FeI,5058.5,3.64,8.4,7.55
11,FeI,5060.08,0.0,67.7,8.06
12,FeI,5088.15,4.15,42.7,7.76
13,FeI,5109.65,4.3,94.3,8.02
14,FeI,5127.36,0.92,111.0,7.6
15,FeI,5131.47,2.22,132.4,8.43
16,FeI,5141.74,2.42,84.3,7.32
17,FeI,5198.71,2.22,100.9,7.44
18,FeI,5217.39,3.21,115.2,7.56
19,FeI,5223.18,3.63,30.8,7.18
20,FeI,5225.53,0.11,86.1,7.79
21,FeI,5228.38,4.22,86.1,8.05
22,FeI,5242.49,3.63,94.5,7.51
23,FeI,5243.78,4.26,69.6,7.66
24,FeI,5247.05,0.09,84.0,7.95
25,FeI,5250.21,0.12,71.8,7.71
26,FeI,5250.65,2.2,116.9,7.78
27,FeI,5253.46,3.28,80.0,7.48
28,FeI,5285.13,4.43,41.3,7.84
29,FeI,5288.52,3.69,70.2,7.65
30,FeI,5293.96,4.14,35.2,7.71
31,FeI,5294.55,3.64,11.4,7.62
32,FeI,5295.31,4.42,33.0,7.72
33,FeI,5321.11,4.43,47.9,7.5
34,FeI,5365.4,3.57,94.5,7.51
35,FeI,5373.71,4.47,76.4,7.68
36,FeI,5379.57,3.69,72.0,7.68
37,FeI,5386.33,4.15,34.2,7.58
38,FeI,5389.48,4.42,99.1,7.63
39,FeI,5395.22,4.45,20.9,7.96
40,FeI,5398.28,4.45,83.8,7.64
41,FeI,5417.03,4.42,35.5,7.75
42,FeI,5441.34,4.31,36.3,7.73
43,FeI,5466.4,4.37,90.7,7.67
44,FeI,5470.09,4.45,28.8,7.78
45,FeI,5473.9,4.15,101.4,7.84
46,FeI,5494.46,4.08,36.4,7.89
47,FeI,5522.45,4.21,47.9,7.66
48,FeI,5539.28,3.64,20.8,7.72
49,FeI,5543.94,4.22,79.1,7.77
50,FeI,5546.51,4.37,66.9,7.88
51,FeI,5560.21,4.43,63.4,7.73
52,FeI,5576.09,3.43,121.5,7.58
53,FeI,5618.63,4.21,60.5,7.69
54,FeI,5619.6,4.39,43.3,7.88
55,FeI,5624.02,4.39,64.4,8.01
56,FeI,5633.95,4.99,80.8,7.68
57,FeI,5635.82,4.26,42.0,7.93
58,FeI,5638.26,4.22,87.1,7.63
59,FeI,5641.43,4.26,76.8,7.8
60,FeI,5651.47,4.47,17.0,7.69
61,FeI,5652.32,4.26,25.8,7.68
62,FeI,5661.35,4.28,24.4,7.58
63,FeI,5662.52,4.18,110.7,7.77
64,FeI,5667.52,4.18,76.9,8.25
65,FeI,5679.02,4.65,68.4,7.75
66,FeI,5691.5,4.3,49.4,7.73
67,FeI,5696.09,4.55,10.9,7.36
68,FeI,5701.54,2.56,95.9,7.65
69,FeI,5705.46,4.3,42.8,7.55
70,FeI,5731.76,4.26,70.8,7.82
71,FeI,5732.3,4.99,22.2,7.86
72,FeI,5741.85,4.26,38.4,7.75
73,FeI,5760.34,3.64,25.5,7.65
74,FeI,5775.08,4.22,72.1,7.9
75,FeI,5778.45,2.59,19.5,7.57
76,FeI,5853.15,1.49,7.6,7.83
77,FeI,5855.08,4.61,25.8,7.61
78,FeI,5883.82,3.96,72.4,7.62
79,FeI,5905.67,4.65,68.5,7.61
80,FeI,5929.68,4.55,55.6,7.93
81,FeI,5930.18,4.65,110.2,7.78
82,FeI,5934.65,3.93,90.9,7.69
83,FeI,5956.69,0.86,54.6,7.72
84,FeI,6003.01,3.88,97.9,7.81
85,FeI,6012.21,2.22,34.5,8.16
86,FeI,6027.05,4.08,81.3,7.73
87,FeI,6065.48,2.61,132.6,7.6
88,FeI,6079.01,4.65,56.9,7.74
89,FeI,6093.64,4.61,38.8,7.78
90,FeI,6094.37,4.65,24.1,7.96
91,FeI,6096.66,3.98,45.6,7.77
92,FeI,6151.62,2.18,52.9,7.69
93,FeI,6165.36,4.14,54.0,7.71
94,FeI,6173.33,2.22,81.1,7.75
95,FeI,6187.99,3.94,53.7,7.65
96,FeI,6200.31,2.61,86.6,7.74
97,FeI,6219.28,2.2,108.1,7.74
98,FeI,6226.73,3.88,37.1,7.81
99,FeI,6232.64,3.65,96.0,7.73
100,FeI,6246.32,3.6,123.3,7.6
101,FeI,6252.56,2.4,132.5,7.64
102,FeI,6265.13,2.18,101.9,7.72
103,FeI,6270.22,2.86,71.9,7.85
104,FeI,6271.28,3.33,33.3,7.82
105,FeI,6297.79,2.22,95.1,7.8
106,FeI,6322.69,2.59,88.7,7.78
107,FeI,6330.85,4.73,39.0,8.13
108,FeI,6335.33,2.2,112.9,7.55
109,FeI,6336.82,3.69,118.5,7.64
110,FeI,6393.6,2.43,145.3,7.61
111,FeI,6411.65,3.65,136.1,7.65
112,FeI,6430.85,2.18,128.6,7.57
113,FeI,6481.87,2.28,84.8,7.94
114,FeI,6498.94,0.96,46.3,7.78
115,FeI,6533.93,4.56,46.9,7.82
116,FeI,6569.21,4.73,101.1,7.84
117,FeI,6574.23,0.99,20.4,7.64
118,FeI,6593.87,2.43,102.1,7.78
119,FeI,6597.56,4.8,56.2,7.79
120,FeI,6609.11,2.56,82.7,7.86
121,FeI,6699.14,4.59,11.3,7.76
122,FeI,6810.26,4.61,62.7,7.74
123,FeII,5256.94,2.89,33.5,7.53
124,FeII,5414.07,3.22,58.4,7.67
125,FeII,5425.26,3.2,74.1,7.57
126,FeII,5534.85,3.25,102.0,7.76
127,FeII,5991.38,3.15,69.2,7.84
128,FeII,6084.11,3.2,49.6,7.78
129,FeII,6113.32,3.22,33.7,7.86
130,FeII,6432.68,2.89,77.4,7.63
131,FeII,6456.38,3.9,116.3,7.85
