,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,45.0,7.68
1,FeI,4788.76,3.24,73.9,7.76
2,FeI,4808.15,3.25,30.0,7.74
3,FeI,4875.88,3.33,50.5,7.44
4,FeI,4924.77,2.28,115.6,8.14
5,FeI,4946.39,3.37,111.1,7.88
6,FeI,4950.11,3.42,93.5,8.12
7,FeI,4962.57,4.18,64.2,7.77
8,FeI,4969.92,4.22,90.7,7.82
9,FeI,4994.13,0.92,108.6,7.57
10,FeI,5044.21,2.85,79.6,7.7
11,FeI,5060.08,0.0,67.5,8.17
12,FeI,5088.15,4.15,36.4,7.66
13,FeI,5109.65,4.3,93.1,8.19
14,FeI,5127.36,0.92,111.0,7.87
15,FeI,5131.47,2.22,104.6,8.18
16,FeI,5141.74,2.42,85.1,7.52
17,FeI,5197.94,4.3,36.2,7.65
18,FeI,5198.71,2.22,100.1,7.67
19,FeI,5217.39,3.21,112.0,7.67
20,FeI,5223.18,3.63,29.1,7.14
21,FeI,5225.53,0.11,84.0,7.95
22,FeI,5228.38,4.22,81.1,8.12
23,FeI,5242.49,3.63,93.2,7.69
24,FeI,5243.78,4.26,68.4,7.76
25,FeI,5247.05,0.09,67.6,7.77
26,FeI,5250.21,0.12,70.7,7.81
27,FeI,5250.65,2.2,115.3,8.01
28,FeI,5253.46,3.28,78.3,7.58
29,FeI,5285.13,4.43,39.9,7.84
30,FeI,5288.52,3.69,68.6,7.75
31,FeI,5293.96,4.14,34.2,7.7
32,FeI,5295.31,4.42,32.1,7.71
33,FeI,5321.11,4.43,46.9,7.52
34,FeI,5365.4,3.57,93.6,7.71
35,FeI,5373.71,4.47,75.4,7.77
36,FeI,5379.57,3.69,70.6,7.79
37,FeI,5386.33,4.15,32.7,7.56
38,FeI,5389.48,4.42,95.4,7.74
39,FeI,5398.28,4.45,81.4,7.73
40,FeI,5417.03,4.42,33.8,7.73
41,FeI,5441.34,4.31,36.2,7.74
42,FeI,5466.4,4.37,89.5,7.83
43,FeI,5470.09,4.45,28.0,7.76
44,FeI,5473.9,4.15,99.8,8.0
45,FeI,5494.46,4.08,35.9,7.88
46,FeI,5522.45,4.21,46.6,7.67
47,FeI,5543.94,4.22,77.7,7.89
48,FeI,5546.51,4.37,65.8,7.96
49,FeI,5560.21,4.43,62.6,7.83
50,FeI,5576.09,3.43,119.6,7.7
51,FeI,5618.63,4.21,60.4,7.77
52,FeI,5619.6,4.39,42.5,7.9
53,FeI,5624.02,4.39,64.7,8.12
54,FeI,5633.95,4.99,80.5,7.83
55,FeI,5635.82,4.26,40.2,7.92
56,FeI,5636.7,3.64,21.2,7.66
57,FeI,5638.26,4.22,86.9,7.79
58,FeI,5641.43,4.26,77.0,7.94
59,FeI,5652.32,4.26,26.6,7.7
60,FeI,5661.35,4.28,25.1,7.59
61,FeI,5662.52,4.18,108.3,7.92
62,FeI,5667.52,4.18,63.8,8.12
63,FeI,5679.02,4.65,67.7,7.83
64,FeI,5691.5,4.3,48.5,7.76
65,FeI,5701.54,2.56,94.9,7.86
66,FeI,5705.46,4.3,42.4,7.57
67,FeI,5731.76,4.26,70.2,7.93
68,FeI,5732.3,4.99,22.2,7.85
69,FeI,5741.85,4.26,38.4,7.77
70,FeI,5760.34,3.64,25.0,7.64
71,FeI,5775.08,4.22,71.6,8.02
72,FeI,5956.69,0.86,37.7,7.46
73,FeI,6173.33,2.22,65.5,7.61
74,FeI,6232.64,3.65,101.2,8.04
75,FeI,6265.13,2.18,70.0,7.31
76,FeI,6270.22,2.86,53.8,7.62
77,FeI,6315.81,4.08,21.4,7.14
78,FeI,6330.85,4.73,36.3,8.11
79,FeI,6336.82,3.69,90.3,7.37
80,FeI,6569.21,4.73,111.5,8.17
81,FeI,6574.23,0.99,49.0,8.22
82,FeI,6699.14,4.59,28.0,8.26
83,FeII,4993.36,2.81,59.5,7.5
84,FeII,5256.94,2.89,32.3,7.49
85,FeII,5414.07,3.22,52.1,7.6
86,FeII,5425.26,3.2,72.8,7.67
87,FeII,5534.85,3.25,100.3,7.96
88,FeII,6113.32,3.22,36.6,7.91
