,element,obs_wavelength,obs_ep,obs_ew,abund
0,FeI,4787.83,3.0,77.1,7.53
1,FeI,4788.76,3.24,96.3,7.55
2,FeI,4802.88,3.64,84.6,7.42
3,FeI,4808.15,3.25,58.1,7.54
4,FeI,4869.46,3.55,50.6,7.44
5,FeI,4875.88,3.33,85.1,7.42
6,FeI,4877.6,3.0,52.1,7.47
7,FeI,4907.73,3.43,90.1,7.55
8,FeI,4950.11,3.42,106.6,7.7
9,FeI,4962.57,4.18,75.7,7.44
10,FeI,4969.92,4.22,96.9,7.37
11,FeI,4985.55,2.87,136.7,7.25
12,FeI,5012.69,4.28,62.6,7.73
13,FeI,5058.5,3.64,30.7,7.53
14,FeI,5088.15,4.15,56.8,7.46
15,FeI,5197.94,4.3,54.6,7.42
16,FeI,5223.18,3.63,56.1,6.98
17,FeI,5225.53,0.11,132.3,7.66
18,FeI,5243.78,4.26,82.8,7.46
19,FeI,5250.65,2.2,144.4,7.49
20,FeI,5253.02,2.28,50.8,7.39
21,FeI,5285.13,4.43,49.8,7.47
22,FeI,5293.96,4.14,56.2,7.53
23,FeI,5294.55,3.64,35.9,7.55
24,FeI,5295.31,4.42,50.9,7.52
25,FeI,5300.4,4.59,11.9,6.84
26,FeI,5364.87,4.45,135.9,7.21
27,FeI,5373.71,4.47,84.6,7.42
28,FeI,5386.33,4.15,55.7,7.4
29,FeI,5395.22,4.45,39.5,7.81
30,FeI,5398.28,4.45,90.6,7.37
31,FeI,5412.78,4.43,39.0,7.43
32,FeI,5415.2,4.39,157.2,6.98
33,FeI,5417.03,4.42,55.5,7.59
34,FeI,5441.34,4.31,54.7,7.52
35,FeI,5461.55,4.45,47.8,7.7
36,FeI,5464.28,4.14,65.5,7.34
37,FeI,5466.4,4.37,99.8,7.46
38,FeI,5470.09,4.45,47.4,7.6
39,FeI,5487.15,4.42,62.6,7.58
40,FeI,5494.46,4.08,52.6,7.59
41,FeI,5522.45,4.21,66.3,7.45
42,FeI,5539.28,3.64,43.5,7.49
43,FeI,5543.94,4.22,85.5,7.42
44,FeI,5546.51,4.37,79.2,7.64
45,FeI,5560.21,4.43,72.8,7.45
46,FeI,5618.63,4.21,75.0,7.45
47,FeI,5619.6,4.39,60.6,7.67
48,FeI,5624.02,4.39,75.5,7.75
49,FeI,5633.95,4.99,86.5,7.44
50,FeI,5635.82,4.26,59.0,7.68
51,FeI,5636.7,3.64,46.6,7.49
52,FeI,5638.26,4.22,101.2,7.45
53,FeI,5649.99,5.1,54.5,7.54
54,FeI,5651.47,4.47,36.5,7.6
55,FeI,5652.32,4.26,49.7,7.57
56,FeI,5653.87,4.39,62.5,7.64
57,FeI,5655.18,5.06,72.1,7.65
58,FeI,5661.35,4.28,48.6,7.49
59,FeI,5662.52,4.18,115.3,7.45
60,FeI,5679.02,4.65,78.9,7.53
61,FeI,5691.5,4.3,67.1,7.52
62,FeI,5696.09,4.55,29.5,7.35
63,FeI,5698.02,3.64,40.3,7.44
64,FeI,5701.54,2.56,125.2,7.46
65,FeI,5705.46,4.3,64.2,7.4
66,FeI,5731.76,4.26,85.5,7.61
67,FeI,5732.3,4.99,33.5,7.65
68,FeI,5741.85,4.26,58.1,7.54
69,FeI,5742.96,4.18,33.6,7.72
70,FeI,5760.34,3.64,52.4,7.48
71,FeI,5775.08,4.22,85.9,7.67
72,FeI,5778.45,2.59,61.9,7.49
73,FeI,5784.66,3.4,58.3,7.44
74,FeI,5835.1,4.26,37.0,7.73
75,FeI,5837.7,4.29,25.6,7.5
76,FeI,5838.37,3.94,47.2,7.55
77,FeI,5849.68,3.69,26.1,7.5
78,FeI,5853.15,1.49,40.2,7.57
79,FeI,5855.08,4.61,43.4,7.45
80,FeI,5858.78,4.22,32.4,7.48
81,FeI,5883.82,3.96,89.3,7.39
82,FeI,5902.47,4.59,28.5,7.36
83,FeI,5905.67,4.65,79.9,7.4
84,FeI,5927.79,4.65,64.2,7.4
85,FeI,5929.68,4.55,65.5,7.63
86,FeI,5930.18,4.65,110.7,7.48
87,FeI,5934.65,3.93,103.7,7.43
88,FeI,5940.99,4.18,42.5,7.53
89,FeI,5956.69,0.86,108.6,7.54
90,FeI,6003.01,3.88,110.6,7.55
91,FeI,6012.21,2.22,65.9,7.74
92,FeI,6027.05,4.08,93.5,7.49
93,FeI,6065.48,2.61,163.5,7.34
94,FeI,6079.01,4.65,70.3,7.54
95,FeI,6082.71,2.22,80.6,7.56
96,FeI,6093.64,4.61,53.4,7.55
97,FeI,6094.37,4.65,40.4,7.79
98,FeI,6096.66,3.98,67.8,7.56
99,FeI,6120.25,0.91,34.7,7.57
100,FeI,6127.91,4.14,78.2,7.56
101,FeI,6136.99,2.2,117.5,7.59
102,FeI,6151.62,2.18,92.2,7.45
103,FeI,6165.36,4.14,73.7,7.52
104,FeI,6173.33,2.22,114.3,7.49
105,FeI,6187.99,3.94,80.1,7.53
106,FeI,6200.31,2.61,118.0,7.55
107,FeI,6219.28,2.2,139.4,7.44
108,FeI,6226.73,3.88,56.7,7.52
109,FeI,6229.23,2.85,80.5,7.48
110,FeI,6232.64,3.65,117.0,7.61
111,FeI,6240.65,2.22,91.4,7.4
112,FeI,6246.32,3.6,139.1,7.3
113,FeI,6252.56,2.4,166.8,7.38
114,FeI,6265.13,2.18,140.1,7.52
115,FeI,6270.22,2.86,93.7,7.49
116,FeI,6271.28,3.33,58.5,7.51
117,FeI,6315.81,4.08,72.6,7.55
118,FeI,6322.69,2.59,120.1,7.59
119,FeI,6330.85,4.73,54.2,7.93
120,FeI,6335.33,2.2,148.4,7.28
121,FeI,6336.82,3.69,135.0,7.37
122,FeI,6338.88,4.8,66.0,7.53
123,FeI,6364.36,4.8,64.7,7.88
124,FeI,6380.74,4.19,83.8,7.66
125,FeI,6393.6,2.43,182.2,7.32
126,FeI,6411.65,3.65,150.1,7.31
127,FeI,6430.85,2.18,169.0,7.3
128,FeI,6475.62,2.56,108.1,7.81
129,FeI,6481.87,2.28,112.2,7.57
130,FeI,6496.47,4.8,90.4,7.54
131,FeI,6498.94,0.96,103.6,7.57
132,FeI,6518.37,2.83,98.7,7.36
133,FeI,6533.93,4.56,64.2,7.62
134,FeI,6569.21,4.73,104.4,7.55
135,FeI,6574.23,0.99,84.0,7.54
136,FeI,6593.87,2.43,136.3,7.59
137,FeI,6597.56,4.8,69.6,7.6
138,FeI,6609.11,2.56,117.0,7.68
139,FeI,6627.54,4.55,55.0,7.67
140,FeI,6648.08,1.01,52.4,7.9
141,FeI,6699.14,4.59,21.1,7.54
